source_id,tier,P_vgrf_below_25,vgrf_default_exact,mc_realisations,orbit_mc_realisations,R_peri_kpc_p16,R_peri_kpc_p50,R_peri_kpc_p84,R_apo_kpc_p16,R_apo_kpc_p50,R_apo_kpc_p84,z_max_kpc_p16,z_max_kpc_p50,z_max_kpc_p84,ecc_p16,ecc_p50,ecc_p84,min_r_sph_kpc_p16,min_r_sph_kpc_p50,min_r_sph_kpc_p84,J_R_p16,J_R_p50,J_R_p84,J_z_p16,J_z_p50,J_z_p84,J_phi_p16,J_phi_p50,J_phi_p84
5593743798340155648,C,0.7158,23.80757000338783,10000,5000,0.10555647850036622,0.12961821258068085,0.16120632469654084,9.222019119262695,9.27262830734253,9.304044570922851,4.538386745452881,4.68500280380249,4.815072803497315,0.9659557747500825,0.972414974299034,0.9773703798194019,0.118007110953331,0.1574629247188568,0.20092405796051022,760.6549166749693,764.7942395750947,769.2380334612119,2.174703411733356,2.335679599087971,2.5063669567449987,51.02750002021571,63.659975597406984,76.551425972096
5599207649580489600,C,0.657,23.14958321947096,10000,5000,0.14826580345630647,0.23407100141048431,0.34006423711776734,10.115173683166503,10.265077590942383,10.431239204406738,0.8978021240234375,4.846094369888306,5.0942447471618655,0.9367333483840787,0.9553723811734391,0.9710915990208971,0.17543713331222535,0.26356302201747894,0.3583493375778198,808.898210710223,823.553824784663,838.670343372694,3.0781811294781116,3.897384340064203,4.952356437958358,71.6057435630714,117.00203792259083,166.7523240301568
5615803987326479232,C,0.5142,24.640175611038373,10000,5000,0.18312344431877137,0.24257999658584595,0.30291066884994505,9.976166000366211,10.044204235076904,10.10708625793457,0.21358544647693634,4.618072509765625,4.971589756011963,0.9417913495069288,0.9528132992666065,0.9639636183944423,0.1945004642009735,0.24937552213668823,0.3097322869300842,795.938594388365,806.2628612802976,816.8511079091767,0.17493300968788383,0.19072405549519117,0.20887060104828142,90.57239167733677,121.72588115839298,152.2625889731764
5634494894711623040,C,0.6392,20.80370929510146,5000,5000,0.16732089400291444,0.3430815637111664,0.5454618525505066,9.175760803222657,9.305091381072998,9.44023696899414,1.0590342998504638,4.331062316894531,4.691589126586914,0.8886429604208503,0.9289202113374495,0.9647798614851376,0.19577950239181519,0.3570481687784195,0.5601901936531066,658.9990479085923,708.2685394695372,754.8850816829181,6.54945055312554,8.499924178046847,11.407015106320921,-251.85288772093946,-165.42729466522474,-80.2956373056105
5646312784989058688,C,0.7576,23.84974602503388,10000,5000,0.16239658653736114,0.25137877464294434,0.32926753044128415,8.22501277923584,8.238341331481934,8.248133621215821,3.502303943634033,4.046079397201538,4.204267692565918,0.923040273802085,0.9407742419945734,0.9613509201606535,0.18471648156642914,0.27365973591804504,0.3490379226207733,621.8646361954567,641.2006336362615,660.4626813759234,2.368839503583259,2.695105406922462,3.0563714655679686,-154.31217503195552,-117.09016773057084,-79.48228965961427
5655187840986439680,C,0.778,17.783003536156283,500,5000,0.23856739640235902,0.39335542917251587,0.5603866124153137,10.449082565307616,10.670254707336426,10.941116218566895,4.464661254882812,4.67651629447937,4.894544525146484,0.8991228380579225,0.9288977340635807,0.957013452148937,0.40242117404937744,0.5182909965515137,0.6334319019317627,769.2802247903886,821.8618771203232,872.9649809330951,17.495090970015802,19.340505805475726,22.38899248600191,-255.5299474586184,-182.8555675897053,-111.42233740795423
5670576811886417664,C,0.7865,23.94108228507301,10000,5000,0.28830137610435486,0.3216064125299454,0.35377504825592043,8.520368881225586,8.561736583709717,8.6189262008667,3.9398732471466062,4.169774532318115,4.302804126739502,0.9206614450789709,0.9276484561619422,0.9348121987972892,0.3031871247291565,0.33637818694114685,0.3700044965744018,645.4324704413464,652.4161383113437,659.2386464102807,7.285695286095943,7.462026085376284,7.737279327813538,134.6749392885597,149.33764322942625,164.54055545932763
5673744539245877888,C,0.736,22.133111699786586,500,5000,0.17401563107967377,0.27342161536216736,0.3893437576293945,8.561237258911133,8.617230415344238,8.641640968322754,2.871255836486818,4.179490566253662,4.392315368652344,0.91331839403066,0.9386355951062515,0.9604018781960183,0.20611182987689972,0.2973816692829132,0.3995036244392395,631.9719561354054,661.0784082179262,688.4374955899925,7.22665222398737,8.31912525380529,9.980572907268941,-184.7774592142078,-132.1173153128408,-81.07293197966506
5675967098922897664,C,0.776,20.968994495396764,500,5000,0.311510808467865,0.41919051110744476,0.537325758934021,10.371657104492188,10.505744457244873,10.649099349975586,4.380696983337402,4.447716236114502,4.5000047111511225,0.9037686868064184,0.9230946108506652,0.9419632684756373,0.47280517816543577,0.60662841796875,0.6917109990119934,779.9128301341544,797.893928801938,815.2908306819724,24.230294089705666,24.811484792084464,25.500029199983153,143.8018810663765,194.1013708058585,245.24883661312847
5685646477738606848,C,0.5128,21.99760167436074,5000,5000,0.09588468104600907,0.2616487443447113,0.4223197388648987,10.44958713531494,10.887544631958008,11.970581169128417,4.0377662658691404,4.406585693359375,5.91963186264038,0.9236304923730668,0.9533167350633474,0.9837101020881224,0.3578414309024811,0.6485794186592102,0.7703327918052674,794.0163581314496,850.5392646323667,912.0878961384402,48.280279335065075,60.32283688121599,110.526665611274,-177.41784585327002,-98.472631851856,48.80557225925923
5687611786053705472,C,0.5926,17.859181874995365,5000,5000,0.06528521835803985,0.19637994468212128,0.4367490231990813,10.2605179977417,10.85300588607788,11.512221717834473,3.7409605598449707,4.009854316711426,4.742835483551025,0.9194098455033236,0.9650898757220987,0.9882597024940062,0.5804525518417358,0.7373635172843933,0.833777379989624,770.5485952959087,873.7701515476767,915.3953007153308,61.15782776614085,71.57287656611342,91.6497249724697,-187.65303456130914,-55.0144092238899,51.41517277159831
