source_id,R_peri_kpc_4gyr,R_peri_kpc_8gyr,R_peri_kpc_delta_8minus4,R_peri_kpc_abs_delta,R_apo_kpc_4gyr,R_apo_kpc_8gyr,R_apo_kpc_delta_8minus4,R_apo_kpc_abs_delta,z_max_kpc_4gyr,z_max_kpc_8gyr,z_max_kpc_delta_8minus4,z_max_kpc_abs_delta
231283683952040960,0.06088685616850853,0.06913394307459107,0.008247086906082543,0.008247086906082543,9.629227638244629,9.618159053378895,-0.011068584865734366,0.011068584865734366,5.005349636077881,5.0825605392456055,0.07721090316772461,0.07721090316772461
366349822607618944,0.013248937204480171,0.01801236662952436,0.00476342942504419,0.00476342942504419,8.858475685119629,8.858489658500336,1.3973380706744365e-05,1.3973380706744365e-05,4.649840831756592,4.691670894622803,0.04183006286621094,0.04183006286621094
523562736800603392,0.014527605846524239,0.01643027221566205,0.0019026663691378114,0.0019026663691378114,9.352182388305664,9.349060321436623,-0.0031220668690412623,0.0031220668690412623,5.049829483032227,5.042892932891846,-0.006936550140380859,0.006936550140380859
643909953807675008,0.13385607302188873,0.12235515381918502,-0.011500919202703713,0.011500919202703713,9.443596839904785,9.4435722038177,-2.463608708502818e-05,2.463608708502818e-05,4.075417518615723,4.077958106994629,0.00254058837890625,0.00254058837890625
653284836625084800,0.040733881294727325,0.042360035438008266,0.0016261541432809404,0.0016261541432809404,10.931648254394531,10.93706978187776,0.005421527483228772,0.005421527483228772,5.478759288787842,5.552974700927734,0.07421541213989258,0.07421541213989258
711230886115419264,0.2509080469608307,0.25090957095950994,1.5239986792536797e-06,1.5239986792536797e-06,8.843612670898438,8.843612204039152,-4.668592854528697e-07,4.668592854528697e-07,4.314863204956055,4.446165084838867,0.1313018798828125,0.1313018798828125
823565034185868416,0.0057042124681174755,0.0006434459052679291,-0.005060766562849546,0.005060766562849546,9.387778282165527,9.385299949522933,-0.0024783326425943386,0.0024783326425943386,4.515280246734619,4.514120101928711,-0.0011601448059082031,0.0011601448059082031
1080715442139486720,0.19430585205554962,0.19428685189261766,-1.9000162931964715e-05,1.9000162931964715e-05,8.30034351348877,8.305993431794667,0.005649918305897117,0.005649918305897117,4.147488594055176,4.1473612785339355,-0.00012731552124023438,0.00012731552124023438
1110075499275305472,0.07800377160310745,0.07751777296655207,-0.0004859986365553792,0.0004859986365553792,8.984444618225098,9.042967509677936,0.05852289145283862,0.05852289145283862,4.706342697143555,4.707221984863281,0.0008792877197265625,0.0008792877197265625
1347177897539700736,0.13910099864006042,0.13910732900602946,6.330365969031693e-06,6.330365969031693e-06,8.068228721618652,8.068228488199384,-2.3341926791431433e-07,2.3341926791431433e-07,4.146764278411865,4.306731700897217,0.15996742248535156,0.15996742248535156
1362491586253153408,0.16202080249786377,0.16201326629997367,-7.5361978900956306e-06,7.5361978900956306e-06,8.45095157623291,8.444284666286297,-0.006666909946613231,0.006666909946613231,3.081981658935547,3.0780112743377686,-0.00397038459777832,0.00397038459777832
1388416077571124096,0.1079421117901802,0.1079899629371857,4.7851147005492645e-05,4.7851147005492645e-05,8.13399600982666,8.122266060495493,-0.011729949331167333,0.011729949331167333,4.1831536293029785,4.24353551864624,0.06038188934326172,0.06038188934326172
1421789824591048320,0.14011840522289276,0.14738186744277074,0.007263462219877975,0.007263462219877975,8.303555488586426,8.306858173312342,0.0033026847259165493,0.0033026847259165493,4.061869144439697,4.229002952575684,0.16713380813598633,0.16713380813598633
1451327659011167232,0.04818699508905411,0.047838806023457615,-0.00034818906559649226,0.00034818906559649226,8.004405975341797,7.996957588688378,-0.007448386653418737,0.007448386653418737,4.011299133300781,4.004880905151367,-0.0064182281494140625,0.0064182281494140625
1680346722667252480,0.07086681574583054,0.06919795472383404,-0.0016688610219964956,0.0016688610219964956,9.183991432189941,9.183985021538575,-6.410651366195452e-06,6.410651366195452e-06,4.29996395111084,4.303444862365723,0.0034809112548828125,0.0034809112548828125
1762596205380921856,0.13613474369049072,0.13668264716821468,0.00054790347772396,0.00054790347772396,7.133368015289307,7.133366154014231,-1.8612750753987939e-06,1.8612750753987939e-06,3.2670111656188965,3.2670023441314697,-8.821487426757812e-06,8.821487426757812e-06
1846633734516771840,0.00979586411267519,0.02604666050874594,0.01625079639607075,0.01625079639607075,7.9731125831604,7.964168781661013,-0.008943801499387227,0.008943801499387227,4.367248058319092,4.476461410522461,0.10921335220336914,0.10921335220336914
1853427857385706496,0.17696256935596466,0.174555004329232,-0.002407565026732672,0.002407565026732672,8.84081745147705,8.83931505828194,-0.0015023931951105851,0.0015023931951105851,4.2268877029418945,4.226892471313477,4.76837158203125e-06,4.76837158203125e-06
1860794585300451328,0.1679278314113617,0.17526335915671554,0.0073355277453538426,0.0073355277453538426,7.78075647354126,7.782055692183137,0.001299218641877431,0.001299218641877431,4.07171630859375,4.0295209884643555,-0.04219532012939453,0.04219532012939453
