source_id,tier,x_current_kpc,y_current_kpc,z_current_kpc,R_current_kpc,x_peri_kpc,y_peri_kpc,z_peri_kpc,R_peri_kpc,x_apo_kpc,y_apo_kpc,z_apo_kpc,R_apo_kpc,x_zmax_kpc,y_zmax_kpc,z_zmax_kpc,R_zmax_kpc,abs_zmax_kpc
1454381071520615168,A,-7.765107775674044,0.5638059915158665,2.2925657534059454,7.785549175485483,0.021492481231689453,-0.018482597544789314,-0.7787731885910034,0.028346659615635872,-7.76510763168335,0.5638059973716736,2.2925658226013184,7.785549163818359,6.578061580657959,3.581360340118408,2.8301467895507812,7.489795684814453,2.8301467895507812
4098367886797895552,C,-3.2717936728021377,1.3357820242238119,-0.5873789917674381,3.5339704941648233,0.0008535287925042212,0.0005094765219837427,0.09269247204065323,0.00099402095656842,-3.2613236904144287,1.735144019126892,-0.1925993710756302,3.694178819656372,-2.139981985092163,1.2498914003372192,-1.848297119140625,2.4782557487487793,1.848297119140625
2564595173682576256,C,-10.38612402925704,2.3302017340981775,-4.809407816240337,10.64431362149315,-0.02388714998960495,0.034311845898628235,0.5922726392745972,0.0418078787624836,-8.504301071166992,-8.192831993103027,-2.0993034839630127,11.808710098266602,-10.386123657226562,2.3302016258239746,-4.809407711029053,10.644312858581543,4.809407711029053
1246301072944807168,C,-6.534732540059096,0.4190960558225647,4.904801614225862,6.548157822938696,0.0009494887199252844,0.004167077597230673,-0.25571030378341675,0.004273881670087576,8.704331398010254,-2.3511528968811035,0.11198624223470688,9.016280174255371,-6.5351104736328125,0.41918158531188965,4.9048991203308105,6.5485405921936035,4.9048991203308105
4627302725674241536,B,-7.241716906402268,-2.330908454229686,-1.8943478563282594,7.6076013285707775,-0.00689178891479969,0.02751603163778782,0.7056851387023926,0.028365978971123695,7.389219284057617,-1.8184771537780762,-1.890507698059082,7.609692573547363,-6.73351526260376,-1.8156934976577759,-3.019242763519287,6.974020957946777,3.019242763519287
1605770800325684992,A,-8.184305007342152,0.581964683346059,0.9035306950579008,8.204969917426139,0.008144187740981579,-0.011770880781114101,-0.261730432510376,0.014313680119812489,-8.184305191040039,0.5819646716117859,0.9035307168960571,8.204970359802246,-6.154177188873291,-0.9662550091743469,4.295835018157959,6.229570388793945,4.295835018157959
4403308915493808000,C,-3.540146298957996,0.535334441893068,3.629058633733447,3.5803936630911077,0.011487279087305069,0.0013660963159054518,0.02333085611462593,0.011568224057555199,3.8259117603302,3.8081603050231934,0.15430697798728943,5.398118495941162,-1.1033053398132324,-2.6753180027008057,-4.044265270233154,2.8938915729522705,4.044265270233154
4080139491484995456,C,-2.7291925305475107,1.33344164757343,-0.7439574634227707,3.0375250610126114,0.0003881356096826494,0.0012756880605593324,0.3556746244430542,0.0013334276154637337,2.7954273223876953,-1.1941767930984497,-0.7409790754318237,3.0398144721984863,2.463176965713501,-1.148208737373352,-1.169387936592102,2.7176504135131836,1.169387936592102
4823853627575696768,B,-12.199446443843728,-6.8985087243551515,-5.960771291139338,14.014846276581686,0.06440990418195724,-0.007876241579651833,0.5416915416717529,0.06488968431949615,9.538496017456055,11.969993591308594,-2.3701274394989014,15.305673599243164,-12.199446678161621,-6.898508548736572,-5.960771083831787,14.014846801757812,5.960771083831787
4045563527285331584,C,-1.224513187631479,0.06554052594246605,-1.0421186612504632,1.226265920273503,-0.00625402107834816,-0.007510083727538586,-0.22998741269111633,0.00977313332259655,0.3661285638809204,1.6716252565383911,0.0035732374526560307,1.7112513780593872,-0.43583986163139343,0.903308093547821,1.175627589225769,1.0029566287994385,1.175627589225769
