variant,R_peri_kpc,R_apo_kpc,z_max_kpc,min_r_sph_kpc,ecc,EJ_drift_rel
static_halo_0p85,0.02957981430154149,7.785549163818359,3.18866229057312,0.8025674223899841,0.9924301148747879,
static_halo_0p85,0.0011446377331258222,3.697505235671997,1.8948285579681396,0.07781009376049042,0.9993810510471097,
static_halo_0p85,0.044933455364599625,11.620728492736816,4.810328006744385,0.7406386733055115,0.9922964585182562,
static_halo_0p85,0.004646598169543031,8.942530632019043,5.382077217102051,0.017963310703635216,0.9989613264496728,
static_halo_0p85,0.029391467781328326,7.6092705726623535,3.3423330783843994,0.6993659138679504,0.9923045508164355,
static_halo_0p85,0.01351284698250862,8.347551345825195,4.411742687225342,0.017607571557164192,0.9967676729490647,
static_halo_0p85,0.00897166741527538,6.123159408569336,3.6625735759735107,0.014314202591776848,0.9970738826994707,
static_halo_0p85,0.001430430206998856,3.039606809616089,1.242901086807251,0.3591393530368805,0.9990592484772846,
static_halo_0p85,0.07002160010336017,15.108470916748047,5.960771083831787,0.6947774291038513,0.9907735764898101,
static_halo_0p85,0.009910901315862822,1.7229657173156738,1.208447813987732,0.12745332717895508,0.988561330669128,
static_halo_0p85,0.08509007357889461,13.210107803344727,4.752147674560547,0.8595232963562012,0.9871998785777254,
static_halo_0p85,0.09366163973919012,12.662758827209473,5.313076496124268,0.6882959604263306,0.9853153727596446,
static_halo_0p85,0.00731329617657969,2.6426613330841064,1.7010407447814941,0.012798100709915161,0.9944804783443381,
static_halo_0p85,0.07771877394154555,10.693034172058105,4.704462051391602,0.6605451703071594,0.9855685532234937,
static_halo_0p85,0.003519322834568208,6.5609588623046875,3.640423059463501,0.13505378365516663,0.9989277676807473,
static_halo_0p85,0.039097362769912034,5.554192543029785,2.368170976638794,0.6861830949783325,0.9860199047686151,
static_halo_0p85,0.011817582525472456,11.274004936218262,5.906646251678467,0.016907762736082077,0.99790576495318,
static_halo_0p85,0.025250523203380386,8.929190635681152,5.1279520988464355,0.026933202520012856,0.9943602235459825,
static_halo_0p85,0.038505111562793216,4.9953131675720215,2.8110849857330322,0.0423208624124527,0.984701429639446,
static_halo_0p85,0.009258897619977951,5.8193039894104,2.4531242847442627,0.7102776169776917,0.9968229226313811,
static_halo_0p85,0.05773590721209155,8.24534797668457,4.1596903800964355,0.42510080337524414,0.9860929004164184,
static_halo_0p85,0.06972986496257061,10.922601699829102,6.0482587814331055,0.07603032141923904,0.9873129982385328,
static_halo_0p85,0.01502034147512387,11.18188190460205,4.594599723815918,0.758576512336731,0.9973170541021047,
static_halo_0p85,0.007039902042750349,9.712772369384766,4.30391263961792,0.6599057912826538,0.9985514325079209,
static_halo_0p85,0.011078081939874935,2.9876649379730225,1.5823575258255005,0.014477692544460297,0.9926115163144612,
static_halo_0p85,0.03507364038618428,4.5722880363464355,2.344527244567871,0.24927841126918793,0.9847749567552693,
static_halo_0p85,0.04067303861922105,3.36018443107605,1.446731448173523,0.38337695598602295,0.9760807155362112,
static_halo_0p85,0.07387452656392642,8.045626640319824,4.27750301361084,0.07580431550741196,0.9818031859234821,
static_halo_0p85,0.027230739389622612,2.3969357013702393,0.8812352418899536,0.23758678138256073,0.9775339358455213,
static_halo_0p85,0.019462897382066056,3.729390859603882,1.518796682357788,0.5335008502006531,0.9896166142273237,
static_halo_0p85,0.027568840811925354,2.4638736248016357,1.8110113143920898,0.1280374675989151,0.9778691732260122,
static_halo_0p85,0.05554905985613537,8.725607872009277,4.170738220214844,0.5401613116264343,0.9873481227389169,
static_halo_0p85,0.01976820052459107,4.258982181549072,1.8354356288909912,0.5491368770599365,0.9907598252950619,
static_halo_0p85,0.027800336187850334,2.9315319061279297,1.0812699794769287,0.4364430606365204,0.9812117505494444,
static_halo_0p85,0.07091180266711022,11.248047828674316,4.044506072998047,0.9029647707939148,0.9874702614062232,
static_halo_0p85,0.04434178216389328,5.595010757446289,3.195788860321045,0.04589197784662247,0.9842741584774347,
static_halo_0p85,0.00829625372887156,3.5127182006835938,1.7741526365280151,0.07355467230081558,0.9952875775795381,
static_halo_0p85,0.013839385614506849,3.632521629333496,1.477387547492981,0.5149549245834351,0.992409207120319,
static_halo_0p85,0.07004305305087401,5.026961326599121,2.1938459873199463,0.6195299625396729,0.9725159925973288,
static_halo_0p85,0.10000726764334157,9.475935935974121,4.698155879974365,0.4519178569316864,0.9791128110272077,
static_halo_0p85,0.041652337061038554,3.2413883209228516,1.2439073324203491,0.4871079623699188,0.9746257561813948,
static_halo_0p85,0.004507184787275891,6.493677616119385,3.41169810295105,0.31219905614852905,0.9986127865164295,
static_halo_0p85,0.007356550165892953,5.133769512176514,2.305483102798462,0.5825227499008179,0.9971381560861625,
static_halo_0p85,0.05454512142191182,5.093270778656006,2.1315383911132812,0.6781268119812012,0.9788084412960121,
static_halo_0p85,0.012996793147146867,4.77254056930542,2.5818324089050293,0.02239161729812622,0.9945683035518141,
static_halo_0p85,0.08172370208748796,8.906627655029297,4.869726181030273,0.082447350025177,0.981815641413977,
static_halo_0p85,0.03174723157062796,3.395465612411499,1.5107364654541016,0.33026549220085144,0.9814734403634294,
static_halo_0p85,0.06502860997188577,9.03909969329834,4.905749320983887,0.06913187354803085,0.9857144785737416,
static_halo_0p85,0.10110621954355205,10.044720649719238,4.698564529418945,0.5622121095657349,0.9800693978230876,
static_halo_0p85,0.012635522029923756,4.737917423248291,1.9844030141830444,0.6435297727584839,0.9946803994501386,
static_halo_0p85,0.08669821651447053,7.638194561004639,3.0178287029266357,0.8457859754562378,0.9775535482468368,
static_halo_0p85,0.04162168120581513,2.930415630340576,1.0968248844146729,0.42269954085350037,0.9719911448997531,
