variant,kind,n,trajsize,pericentre_method,median_R_peri_pc,median_R_apo_kpc,median_ecc,e_gt_0p95_pct,n_R_peri_lt_100pc,n_bridgers,EJ_drift_p84,bar_angle_deg,q_z
bar_omega24,barred_omega,1835,40001,parabola-interpolated cylindrical R minimum at dR=0,13.580773075046501,8.001962661743164,0.9956918978350222,93.67847411444141,1540,6,1.0936997424166974e-06,,
bar_omega28,barred_omega,1835,40001,parabola-interpolated cylindrical R minimum at dR=0,14.387933926578068,7.995734214782715,0.9957546626834731,92.9700272479564,1524,6,1.0389647432805227e-06,,
bar_angle20,bar_angle,1835,40001,parabola-interpolated cylindrical R minimum at dR=0,14.611276517259885,8.301926612854004,0.9955693327718044,91.00817438692098,1513,17,1.0465732388053149e-06,20.0,
bar_angle25,bar_angle,1835,40001,parabola-interpolated cylindrical R minimum at dR=0,14.113711490667775,8.372092247009277,0.9957979418506467,92.26158038147139,1543,18,1.0351810811197166e-06,25.0,
bar_angle30,bar_angle,1835,40001,parabola-interpolated cylindrical R minimum at dR=0,13.971514183303588,8.422022819519043,0.9959698072135003,93.89645776566758,1580,21,1.0602180535944873e-06,30.0,
bar_angle35,bar_angle,1835,40001,parabola-interpolated cylindrical R minimum at dR=0,13.359284827034331,8.445941925048828,0.996028496200609,95.36784741144415,1615,22,1.0731426369856338e-06,35.0,
halo_qz0p80,halo_flattening,1835,40001,parabola-interpolated cylindrical R minimum at dR=0,115.29088051562897,7.44983434677124,0.962753374333732,65.88555858310626,801,3,,,0.8
halo_qz0p95,halo_flattening,1835,40001,parabola-interpolated cylindrical R minimum at dR=0,113.15219329609418,7.4404520988464355,0.9636819471438398,67.46594005449592,823,3,,,0.95
halo_qz1p05,halo_flattening,1835,40001,parabola-interpolated cylindrical R minimum at dR=0,111.60480064999031,7.431596279144287,0.9638589908819727,67.79291553133515,827,3,,,1.05
