source_id,tier,potential,n_realisations,grid_min_rsph_pc_p16,grid_min_rsph_pc_p50,grid_min_rsph_pc_p84,interp_min_rsph_pc_p16,interp_min_rsph_pc_p50,interp_min_rsph_pc_p84,interp_minus_grid_pc_p16,interp_minus_grid_pc_p50,interp_minus_grid_pc_p84,interp_minus_grid_pc_min,interp_minus_grid_pc_max,grid_P_lt_10pc,interp_P_lt_10pc,grid_P_lt_100pc,interp_P_lt_100pc,grid_P_lt_1kpc,interp_P_lt_1kpc,quadratic_used_fraction,n_cross_10pc_grid_to_interp,n_cross_100pc_grid_to_interp,det_grid_min_rsph_pc,det_interp_min_rsph_pc,det_interp_minus_grid_pc,det_grid_t_myr,det_interp_t_myr,det_quadratic_used,point_min_rsph_pc,point_R_peri_pc
2071829452678601472,A,static,5000,15.114568956196308,26.874455623328686,47.42738321423529,12.053432395106018,24.22316409281025,45.70361719766157,-4.8362103410374955,-1.1962949708247874,-0.1133616195337753,-18.038364054846618,8.379872004637967e-07,0.0564,0.1074,0.9986,0.9988,1.0,1.0,1.0,255,1,6.044693756848574,4.792188103644454,-1.2525056532041194,3613.9,3613.9063604975768,True,6.044693756848574,1.3489637546284572
4112655451932785152,C,barred,5000,18.45723621547222,33.18982385098934,65.7599288225174,14.470725645016767,30.72637916532117,64.97672280868292,-4.607292907246188,-1.2158603257508873,-0.11911583866410586,-14.946296975112459,-1.5209146719818989e-06,0.0278,0.0706,0.9218,0.9226,1.0,1.0,1.0,214,4,6.704175379127264,5.800961671070555,-0.9032137080567095,256.1,256.0926153011468,True,6.704175379127264,6.0686702832540025
5602125925243507840,B,barred,5000,35.90204954147339,70.02799957990646,136.42036139965055,31.507534466759918,68.11034944943752,135.471996432758,-4.6999017738991355,-1.1539811554455022,-0.10336970996684088,-21.375099219804877,2.0531636946152787e-05,0.0052,0.0136,0.678,0.6894,0.9996,0.9996,1.0,42,57,8.769875392317772,5.784329555986312,-2.9855458363314598,2053.2000000000003,2053.189472482144,True,8.769875392317772,6.309363883667164
6743739021463974912,C,barred,5000,33.233058005571365,72.439543902874,154.59876954555511,29.704215849132122,71.2181776599229,154.2961286668582,-3.4290385156521372,-0.8571678088041754,-0.08959282270095736,-18.321361712055985,3.44158473941647e-06,0.0062,0.0172,0.6582,0.6614,1.0,1.0,1.0,55,16,8.772563189268112,7.566823270222422,-1.2057399190456901,3740.1000000000004,3740.0917025649806,True,8.772563189268112,4.553980657909572
3673477423666158080,B,barred,5000,33.0256986618042,71.68512046337128,252.70773649215693,29.18345901630741,70.09938557566751,252.46840912428348,-4.2398621211844265,-0.8503750431088086,-0.07132642512382883,-18.80475584033288,2.1500365932070054e-05,0.0086,0.0266,0.637,0.6392,1.0,1.0,1.0,90,11,5.007344298064709,3.75088798863185,-1.2564563094328591,125.80000000000001,125.7942705045984,True,5.007344298064709,2.0265152246067597
4656611002687082496,C,static,5000,26.18282027542591,69.22242417931557,193.77492666244507,23.5660454261651,67.91720117288659,193.38068558967123,-2.4623833881299872,-0.5894253818003112,-0.055935014869623045,-19.734730665815395,2.5751220877889835e-06,0.0276,0.0478,0.636,0.6386,1.0,1.0,0.9998,101,13,8.152821101248264,8.128494842624573,-0.02432625862369177,2534.7000000000003,2534.7010853609736,True,8.152821101248264,8.01301871142504
5884580841726690688,C,barred,5000,36.54851019382477,102.62235254049301,159.36731815338135,33.38314297486206,101.61148205489653,158.78923326500248,-2.7802179325187883,-0.740605484366566,-0.07433701456470493,-17.736294646548348,2.747695349025747e-06,0.0046,0.0124,0.4888,0.492,1.0,1.0,1.0,39,16,8.918684907257557,8.91867696276647,-7.944491085820626e-06,2816.6000000000004,2816.600022195573,True,8.918684907257557,4.341630906892632
4125438271037670272,C,static,5000,21.61845937371254,152.26946771144867,275.07678866386414,20.697613564837344,152.17873632779774,274.97886888756375,-0.5963327245653388,-0.08568025874362839,-0.006598886314157506,-12.453273481135827,1.1136542132916816e-05,0.0596,0.0708,0.3582,0.3588,1.0,1.0,1.0,56,3,3.2908327411860228,2.623574943052881,-0.6672577981331417,496.1,496.09591033354246,True,3.2908327411860228,1.6174056476168146
197752599391374208,B,static,5000,50.3059321641922,180.33749610185623,389.56276655197144,48.954870641950535,179.59695303124315,389.47779042555635,-1.4844724545214487,-0.3281994404019106,-0.03172993516582736,-20.53443988157858,1.3806442489272541e-05,0.0064,0.0142,0.276,0.2796,0.9972,0.9972,1.0,39,18,5.443593021482229,5.442576546128934,-0.0010164753532953055,772.5,772.5001728249697,True,5.443593021482229,5.181179996544861
4109059847125694848,C,static,5000,84.62744295597078,289.92609679698944,411.3113331794739,83.38048981303251,289.9012694571336,411.11606248646933,-0.6250269160248306,-0.11055256958120846,-0.008108060969365116,-12.00692351824781,2.6077941805979776e-05,0.0092,0.012,0.2068,0.2086,0.9986,0.9986,1.0,14,9,10.792800225317478,7.713263875338793,-3.0795363499786848,3550.5,3550.4850504993947,True,10.792800225317478,1.9267806324400139
