sample,n_unweighted,n_valid_sf,n_prior_mean,V_eff_excluding_prior_mean,V_eff_including_prior_mean,including_to_excluding_ratio
Tier A+B,517,511,224,396.02842273185365,844.0284227318537,2.131231937621143
Tier A+B+C,1835,1772,888,1392.05432375321,3168.0543237532097,2.2758122795176616
