variant,source_id,tier,R_peri_kpc,R_apo_kpc,z_max_kpc,min_r_sph_kpc,ecc,EJ_drift_rel
portail17_barred,1454381071520615168,A,0.0454319454688261,7.785549163818359,4.2411346435546875,0.29685521125793457,0.9883968701150497,3.133893736849428e-06
portail17_barred,4098367886797895552,C,0.12030314738572565,4.149352073669434,1.705804705619812,0.18626143038272858,0.9436473714353005,9.983822464046715e-07
portail17_barred,2564595173682576256,C,0.08974577238261995,11.849631309509277,5.47899055480957,0.1744111180305481,0.9849664229939206,1.500137551439766e-06
portail17_barred,1246301072944807168,C,0.012757901279768334,9.02876091003418,6.45428466796875,0.1064104437828064,0.9971779296054102,3.0759506911192625e-09
portail17_barred,4627302725674241536,B,0.01802547435955246,8.684865951538086,3.1408987045288086,0.6300832033157349,0.9958575895119378,9.616440056675637e-08
portail17_barred,1605770800325684992,A,0.012083463579859895,8.706116676330566,4.0155463218688965,0.12920920550823212,0.9972279912399479,7.28389805958549e-07
portail17_barred,4403308915493808000,C,0.006885633025323955,6.884426116943359,3.629058599472046,0.0402643121778965,0.9980016480823537,2.83665062836116e-07
portail17_barred,4080139491484995456,C,0.10651543437155629,3.267360210418701,1.3233009576797485,0.2380509227514267,0.9368587075602319,2.1945101172096556e-06
portail17_barred,4823853627575696768,B,0.021581056922773234,16.117589950561523,5.960771083831787,0.0279769878834486,0.997325630057112,6.000217116125984e-07
portail17_barred,4045563527285331584,C,0.00967573406883888,1.8012646436691284,1.122536540031433,0.023828569799661636,0.9893141329358123,1.5906639483789818e-06
portail17_barred,30465165103355904,C,0.13969301941510637,13.701919555664062,4.295848369598389,0.8284129500389099,0.9798154992913738,2.4844835580432112e-08
portail17_barred,907765016165268096,B,0.13858232853508992,13.019307136535645,5.213741302490234,0.5279881358146667,0.978935477623068,1.018471198395e-07
portail17_barred,6735586756923018368,C,0.0017643337007395396,2.334901809692383,1.7231853008270264,0.03980759531259537,0.998489870959334,1.2682069311745278e-06
portail17_barred,1134163222058515200,B,0.002853933409389472,10.754779815673828,4.189175128936768,0.6662055850028992,0.9994694124235951,3.891123313840675e-07
portail17_barred,4364961111010691712,A,0.07898146678479638,7.507776737213135,4.057356834411621,0.11472190171480179,0.979179126403903,1.4467092707969898e-06
portail17_barred,4397483324932801280,B,0.019640776172999534,6.185283184051514,2.766597270965576,0.6405845880508423,0.9936692935162774,1.0522820182610743e-06
portail17_barred,5605836330306291968,B,0.009017408714654125,11.227737426757812,5.230679035186768,0.15431492030620575,0.998395015492162,8.028720900103048e-07
portail17_barred,609201945132157312,A,0.02756597110803332,9.211922645568848,4.458843231201172,0.15487752854824066,0.994033009346799,7.779355068217312e-07
portail17_barred,4065262966083493248,B,0.006240051435432521,4.961544036865234,3.3066751956939697,0.11669696122407913,0.9974877928168704,8.307606689341367e-07
portail17_barred,4446549203122721024,C,0.017052280224666323,7.104589462280273,3.8494746685028076,0.08232549577951431,0.9952111378692665,1.8112496320016834e-06
portail17_barred,1622238254693785344,A,0.008329800681104118,8.618099212646484,3.8110837936401367,0.18043668568134308,0.9980687719870565,6.299370240864649e-07
portail17_barred,5576846709795882368,A,0.016529585954574957,10.852143287658691,4.85861349105835,0.2194758802652359,0.9969583064746191,1.272091069518001e-06
portail17_barred,4803516579472199296,B,0.02806153519358349,12.465423583984375,6.034430503845215,0.18850131332874298,0.9955078130840357,1.0354798391749937e-06
