variant,source_id,tier,R_peri_kpc,R_apo_kpc,z_max_kpc,min_r_sph_kpc,ecc,EJ_drift_rel
bar_omega24,1454381071520615168,A,0.003828751819620228,8.46891975402832,3.2510828971862793,0.7053375840187073,0.999096219646558,5.946711051799587e-07
bar_omega24,4098367886797895552,C,0.011033180239268078,3.8215925693511963,1.8793174028396606,0.012613392435014248,0.994242495375163,3.861804630252225e-07
bar_omega24,2564595173682576256,C,0.016004906251591757,11.902494430541992,5.103827476501465,0.3761460483074188,0.9973142749268471,3.901396939703638e-08
bar_omega24,1246301072944807168,C,0.014761153865753763,9.928495407104492,4.904898166656494,0.04912249743938446,0.9970309216552462,6.835788808724134e-08
bar_omega24,4627302725674241536,B,0.00635349347430431,8.274643898010254,3.2491259574890137,0.7121750712394714,0.9984655245802064,3.752470883792241e-08
bar_omega24,1605770800325684992,A,0.014071193303880793,8.783199310302734,4.918600559234619,0.10240065306425095,0.996801009290754,1.2817612731264518e-06
bar_omega24,4403308915493808000,C,0.008524637933134458,6.500837802886963,3.629058599472046,0.029061269015073776,0.9973808071034188,9.535704170448555e-07
bar_omega24,4080139491484995456,C,0.022063254650254965,3.3786818981170654,1.5541514158248901,0.06398556381464005,0.9870244586647129,2.734843077396936e-07
bar_omega24,4823853627575696768,B,0.01225414304596781,16.11186981201172,6.793004035949707,0.03551719710230827,0.9984800237110402,6.453347634208844e-07
bar_omega24,4045563527285331584,C,0.007835449534074501,1.7576824426651,1.2349622249603271,0.05877327173948288,0.9911239080966612,5.738649132674613e-07
bar_omega24,30465165103355904,C,0.10315101879276321,13.535457611083984,6.096920013427734,0.2942034900188446,0.9848736742006364,3.0235063322094063e-07
bar_omega24,907765016165268096,B,0.020935665884916285,12.922204971313477,5.348684310913086,0.5708200931549072,0.9967649789998035,6.616367565192299e-07
bar_omega24,6735586756923018368,C,0.004822215137314769,2.0789732933044434,1.7590394020080566,0.07760699093341827,0.9953717002289529,1.6476780143296561e-06
bar_omega24,1134163222058515200,B,0.00819107679302795,12.858817100524902,4.120945453643799,0.7084310054779053,0.9987268094214059,3.1822842121356845e-07
bar_omega24,4364961111010691712,A,0.002899036245393038,7.034438133239746,5.304154872894287,0.02400052733719349,0.9991760985226164,2.0175964853707344e-07
bar_omega24,4397483324932801280,B,0.013202798120555343,6.310332775115967,3.148876428604126,0.05659250542521477,0.9958242353608528,1.1151667772972051e-07
bar_omega24,5605836330306291968,B,0.0259890497812239,11.552151679992676,4.806571960449219,0.11853702366352081,0.9955106695646925,7.103196293658297e-08
bar_omega24,609201945132157312,A,0.012462150296202462,9.906800270080566,4.943140983581543,0.15561558306217194,0.9974872828708307,5.219941435863303e-07
bar_omega24,4065262966083493248,B,0.003858578030826203,5.205524921417236,2.82194185256958,0.030903197824954987,0.9985186047326964,2.1790403805179572e-07
bar_omega24,4446549203122721024,C,0.009621632067474375,6.218404769897461,4.279790878295898,0.15384678542613983,0.9969102147465404,6.191290370748581e-07
bar_omega24,1622238254693785344,A,0.014371768873410596,8.754024505615234,3.6537208557128906,0.4910854995250702,0.9967219162037135,9.792601199242133e-08
bar_omega24,5576846709795882368,A,0.098596129905207,13.342272758483887,4.577038764953613,0.48817333579063416,0.9853289053373061,1.160961131147837e-06
bar_omega24,4803516579472199296,B,0.03707779483156138,13.38075065612793,4.65767765045166,0.5924935340881348,0.9944733538713697,4.438081283310175e-07
bar_omega24,2260725447217651968,A,0.04485122656968442,10.844634056091309,3.7847206592559814,0.6997331380844116,0.9917624707861812,1.204590065825881e-06
bar_omega24,6737191807708281472,C,0.012046733480777696,3.0049684047698975,1.420196533203125,0.03218187391757965,0.9920141378622565,6.272044505777385e-07
bar_omega24,5889762633872508288,C,0.01248995759581193,5.041680812835693,2.6315951347351074,0.13663537800312042,0.9950575640740585,2.1701172932193997e-07
bar_omega24,4122681593586124032,C,0.00824518550397101,3.6319611072540283,1.9587043523788452,0.06580187380313873,0.9954699350306744,1.9902363317299307e-07
bar_omega24,5816763754765392384,A,0.008973365962000636,8.712257385253906,4.577789783477783,0.012237668968737125,0.9979421789841416,3.288195308179586e-08
bar_omega24,4038020740082070400,C,0.004039376963820914,2.5642712116241455,1.4233993291854858,0.05710601806640625,0.9968544482261847,1.0079609968229572e-06
bar_omega24,6760231043066168320,C,0.057939783962532077,4.516137599945068,2.2240331172943115,0.11947264522314072,0.9746660237247518,8.88668421014335e-07
bar_omega24,6735304392903260544,C,0.0009172596234350314,2.9527900218963623,1.6815451383590698,0.043676748871803284,0.9993789095966455,5.808728629740664e-07
bar_omega24,4780282558746990080,A,0.010477120096631844,9.611388206481934,3.6263365745544434,0.5819535851478577,0.9978222268258754,7.285996171143304e-07
bar_omega24,5916045256703964544,C,0.018658730691670806,4.678147792816162,3.2704265117645264,0.07308493554592133,0.9920547160721725,1.0198633306080277e-06
bar_omega24,4044913307943727360,C,0.01929562390201058,3.6794676780700684,1.7995414733886719,0.07297130674123764,0.9895664456864689,3.8623616858264857e-07
bar_omega24,810445730162365312,C,0.0515208986735474,12.105164527893066,4.735519886016846,0.6023276448249817,0.9915238575539749,8.586668041543491e-08
bar_omega24,5876158823216894336,C,0.03308601287744183,5.593935012817383,4.033525466918945,0.06270530819892883,0.9882403094900977,3.032229431411889e-07
bar_omega24,6763544936741265280,C,0.011976520606927868,3.4982080459594727,1.9866327047348022,0.0561356283724308,0.9931761305539308,8.956289201438119e-07
bar_omega24,6763240234575156352,C,0.012303057190356058,4.031393527984619,1.972847819328308,0.12025659531354904,0.9939149454311378,1.7199888302405505e-07
bar_omega24,4233747897318977664,C,0.0039101975093192454,5.276157379150391,2.2795448303222656,0.567161500453949,0.9985188835360349,4.70740043463596e-07
bar_omega24,4987471265709771520,B,0.021191011193117382,10.129903793334961,4.939435958862305,0.10647276788949966,0.9958248816307647,1.3455570103291612e-06
bar_omega24,6733060564550315008,C,0.0036598278125924864,3.499563694000244,2.131525993347168,0.10922414064407349,0.9979105941771602,3.671093161878698e-07
bar_omega24,6333908397352626176,B,0.018870098564322632,7.159762382507324,3.996845245361328,0.12229909747838974,0.9947427038188461,1.1504383755766056e-06
bar_omega24,6207005544120495872,B,0.02068902409854073,5.41674280166626,4.209389686584473,0.13251107931137085,0.9923901485990104,2.5748330616054364e-07
bar_omega24,6688282163217863936,B,0.007302489236167301,5.639147758483887,2.7845144271850586,0.18009458482265472,0.9974134229769878,6.255127172174243e-07
bar_omega24,4254009869393663744,C,0.002210701654248979,5.018397331237793,2.6030163764953613,0.02903401292860508,0.9991193490351105,6.166757984732341e-07
bar_omega24,3232335246724699904,A,0.0045078317020055105,9.360491752624512,4.814794063568115,0.07018781453371048,0.9990373023166921,1.5125773274703103e-06
bar_omega24,4148968064748132352,C,0.00196296166434546,3.507002830505371,1.8662396669387817,0.04751168563961983,0.9988811736673378,2.7656813852109167e-07
bar_omega24,1110075499275305472,A,0.017227361978015894,10.355128288269043,4.840640544891357,0.12422578781843185,0.9966782161046309,1.2401917868372018e-07
bar_omega24,3262320754175934336,B,0.014148712345303632,11.495645523071289,4.007963180541992,0.6371082663536072,0.9975414482559963,3.9171856588878574e-07
bar_omega24,5814050228778275712,C,0.008533287571461238,5.3111395835876465,3.3228209018707275,0.14279283583164215,0.9967917998801297,5.688865591042016e-07
bar_omega24,2308195315557676416,B,0.028566395612305256,8.49808120727539,3.1901209354400635,0.7015513777732849,0.993299501294593,5.777297036513414e-07
bar_omega24,6725956723035542016,C,0.0029234222958271533,3.4458839893341064,2.0385959148406982,0.039325181394815445,0.9983046764014895,8.149250362762152e-07
bar_omega24,4161659486910404736,C,0.01828901778309304,3.2276322841644287,1.965850830078125,0.05840279534459114,0.9887310775081825,1.0229906235885064e-07
