source_id,tier,potential,draw,grid_min_rsph_pc,interp_min_rsph_pc,delta_interp_minus_grid_pc,grid_t_myr,interp_t_myr,grid_index,interp_grid_index,quadratic_used,point_min_rsph_pc,point_R_peri_pc
4125438271037670272,C,static,-1,3.2908327411860228,2.623574943052881,-0.6672577981331417,496.1,496.09591033354246,4961,4961,True,3.2908327411860228,1.6174056476168146
197752599391374208,B,static,-1,5.443593021482229,5.442576546128934,-0.0010164753532953055,772.5,772.5001728249697,7725,7725,True,5.443593021482229,5.181179996544861
2071829452678601472,A,static,-1,6.044693756848574,4.792188103644454,-1.2525056532041194,3613.9,3613.9063604975768,36139,36139,True,6.044693756848574,1.3489637546284572
4656611002687082496,C,static,-1,8.152821101248264,8.128494842624573,-0.02432625862369177,2534.7000000000003,2534.7010853609736,25347,25347,True,8.152821101248264,8.01301871142504
4109059847125694848,C,static,-1,10.792800225317478,7.713263875338793,-3.0795363499786848,3550.5,3550.4850504993947,35505,35505,True,10.792800225317478,1.9267806324400139
3673477423666158080,B,barred,-1,5.007344298064709,3.75088798863185,-1.2564563094328591,125.80000000000001,125.7942705045984,1258,1258,True,5.007344298064709,2.0265152246067597
4112655451932785152,C,barred,-1,6.704175379127264,5.800961671070555,-0.9032137080567095,256.1,256.0926153011468,2561,2561,True,6.704175379127264,6.0686702832540025
5602125925243507840,B,barred,-1,8.769875392317772,5.784329555986312,-2.9855458363314598,2053.2000000000003,2053.189472482144,20532,20532,True,8.769875392317772,6.309363883667164
6743739021463974912,C,barred,-1,8.772563189268112,7.566823270222422,-1.2057399190456901,3740.1000000000004,3740.0917025649806,37401,37401,True,8.772563189268112,4.553980657909572
5884580841726690688,C,barred,-1,8.918684907257557,8.91867696276647,-7.944491085820626e-06,2816.6000000000004,2816.600022195573,28166,28166,True,8.918684907257557,4.341630906892632
