source_id,tier,wp5_group,barred_R_peri_kpc,static_R_peri_kpc,barred_ftlyap_norm,barred_ftlyap_tchaos_periods
231283683952040960,A,tierA_control,0.07094842195510864,0.06088685616850853,0.07894048003005723,0.0
366349822607618944,A,tierA_control,0.045917827636003494,0.013248937204480171,0.6696025505621673,4.6661758101837005
523562736800603392,A,tierA_control,0.016263939440250397,0.014527605846524239,0.7704409015495761,0.0
643909953807675008,A,tierA_control,0.006008556578308344,0.13385607302188873,0.6988060320767554,0.0
653284836625084800,A,tierA_control,0.04565748572349548,0.040733881294727325,0.2393148850919601,0.0
711230886115419264,A,tierA_control,0.16791905462741852,0.2509080469608307,0.36995267051018194,0.0
823565034185868416,A,tierA_control,0.03239690512418747,0.0057042124681174755,0.33967256307575483,4.112866132302973
1080715442139486720,A,tierA_control,0.10565411299467087,0.19430585205554962,0.48726333389568804,0.0
1107943030834943360,C,static_bridger,0.20142240822315216,0.365585595369339,0.5636808146249039,1.1081007877861868
1110075499275305472,A,tierA_control,0.052522435784339905,0.07800377160310745,0.14990593292960547,0.0
1347177897539700736,A,tierA_control,0.10205468535423279,0.13910099864006042,0.7444749115370244,0.0
1362491586253153408,A,tierA_control,0.02506214939057827,0.16202080249786377,0.8869457997952694,9.674926668971029
1388416077571124096,A,tierA_control,0.0697646215558052,0.1079421117901802,0.6386662673420166,3.9690240504170156
1421789824591048320,A,tierA_control,0.07082702964544296,0.14011840522289276,0.7581916222190156,0.0
1451327659011167232,A,tierA_control,0.14787769317626953,0.04818699508905411,0.6738239395257974,0.0
1680346722667252480,A,tierA_control,0.07369847595691681,0.07086681574583054,0.13935940763554694,6.460007093172706
1762596205380921856,A,tierA_control,0.050427138805389404,0.13613474369049072,0.10592423647828209,0.0
1846633734516771840,A,tierA_control,0.10795927792787552,0.00979586411267519,0.192866130121509,9.080296644537578
1853427857385706496,A,tierA_control,0.02577301673591137,0.17696256935596466,0.1454063116805214,6.63273875449178
1860794585300451328,A,tierA_control,0.25223448872566223,0.1679278314113617,0.6713408356566136,8.804635060991442
1864137238090044160,A,tierA_control,0.044157132506370544,0.0918964073061943,1.0144139482530168,0.0
1871905145997313280,A,tierA_control,0.10751500725746155,0.3468490242958069,0.07176150797720976,0.0
1896464151243451904,A,tierA_control,0.04334240034222603,0.008329855278134346,0.4649142996773714,8.73106116888772
1906717921807774464,A,tierA_control,0.15614742040634155,0.21087518334388733,0.3248460082053708,1.968809639511155
1926255277061978624,A,tierA_control,0.030459310859441757,0.048149265348911285,0.41844053843379264,3.9878018439054927
2000611267027733632,A,tierA_control,0.04768717288970947,0.28676965832710266,0.7286474297260851,0.0
2026085920679467136,A,tierA_control,0.06256015598773956,0.09841857850551605,0.19865653680056256,0.0
2035869443841846144,A,tierA_control,0.12888184189796448,0.265838623046875,0.0,inf
2040754058596128896,A,tierA_control,0.0166355948895216,0.03378032520413399,0.4358018172591583,6.354210320231317
2088349133825350400,A,tierA_control,0.08824434131383896,0.10845181345939636,0.9011550041359275,12.038071355558579
2108506549210276992,A,tierA_control,0.19560211896896362,0.04219949617981911,0.7643572243695917,6.0613409647012855
2138093067083833216,A,tierA_control,0.06619011610746384,0.2602987289428711,0.33054407046243844,19.78896325870578
2158380259204306432,A,tierA_control,0.16448000073432922,0.383477121591568,0.4367786416273403,11.067619168854648
2168778340678417792,A,tierA_control,0.1258798986673355,0.1764240264892578,1.112309756322018,0.0
2415127489987805824,A,tierA_control,0.03248484805226326,0.14179277420043945,0.30905594171653455,0.0
2560193656837956864,A,tierA_control,0.04384147748351097,0.10405194014310837,0.1337422031516036,0.0
2728314787225296000,A,tierA_control,0.04221189767122269,0.03556688874959946,0.7073189213720208,11.505159724939096
2801519382344973824,A,tierA_control,0.08642745018005371,0.05109294876456261,0.8720290450364635,0.0
2821270906148391296,A,tierA_control,0.10327222943305969,0.07796424627304077,0.4950954725220001,0.0
2826770250994112512,A,tierA_control,0.10716463625431061,0.30440518260002136,0.9266812047052493,9.757284864337327
2896872638481186560,A,tierA_control,0.07940102368593216,0.060791417956352234,0.3599048734131042,6.78543533207913
2901583461689356032,A,tierA_control,0.04594424366950989,0.22189249098300934,0.4065564926823906,7.762815660052832
2942363145373747584,A,tierA_control,0.03738859295845032,0.23784473538398743,0.2729822001783453,0.0
3063785306803993856,A,tierA_control,0.07922414690256119,0.12811031937599182,0.3846562986776543,8.310916304923285
3139433115547037440,A,tierA_control,0.06044982001185417,0.08627472817897797,0.544018046423696,0.0
3207133104484108928,A,tierA_control,0.0732283964753151,0.11183546483516693,0.2308239377117496,0.0
3254098468785655808,A,tierA_control,0.017131520435214043,0.04144258052110672,0.4899968341593259,5.1060738036506494
