source_id,tier,x_peri_kpc,y_peri_kpc,z_peri_kpc,R_peri_kpc,fine_R_peri_kpc
10283049355584128,B,0.07327413558959961,0.04710232838988304,0.1163318008184433,0.0871075689792633,0.0871075689792633
19320583963797632,B,-0.010567823424935341,-0.11888623982667923,0.4690565764904022,0.11935500055551529,0.11935500055551529
47180254402996480,A,-0.03484680503606796,-0.11439977586269379,-0.04117613658308983,0.11958933621644974,0.11958933621644974
66601512401466368,C,-0.09590523689985275,-0.3369496166706085,-0.0017844398971647024,0.35033249855041504,0.35033249855041504
77358206452039808,B,0.07854381948709488,-0.1758485734462738,0.5066887736320496,0.19259244203567505,0.19259244203567505
78171462803918464,B,0.12028086930513382,0.12227308750152588,0.5298368334770203,0.17151732742786407,0.17151732742786407
132425700141447168,C,-0.03761625289916992,-0.03202886879444122,0.012903586961328983,0.04940476641058922,0.04940476641058922
203521290228598656,A,0.09477879106998444,0.07863567769527435,-0.0062044239602983,0.1231527030467987,0.1231527030467987
205004836352089472,C,0.3460787534713745,0.15750767290592194,0.042304627597332,0.3802356719970703,0.3802356719970703
231283683952040960,A,0.05863305181264877,0.015599304810166359,0.03339584171772003,0.06067267060279846,0.06067267060279846
262676695131174784,A,-0.20155330002307892,0.05678211525082588,-0.062046170234680176,0.2093989998102188,0.2093989998102188
301944417182112640,C,0.12837648391723633,0.4221947491168976,0.4183170199394226,0.4412809908390045,0.4412809908390045
347579131898942336,B,-0.2063382863998413,-0.04482700303196907,0.042370572686195374,0.21115148067474365,0.21115148067474365
360119435674339840,B,0.05679410696029663,0.17198722064495087,0.028407210484147072,0.18112199008464813,0.18112199008464813
366349822607618944,A,-0.004274538718163967,0.011534000746905804,0.09639567881822586,0.012300604023039341,0.012300604023039341
370667364252099712,B,0.11455818265676498,-0.25674968957901,0.011565565131604671,0.28114762902259827,0.28114762902259827
391429820279708288,A,0.07276618480682373,-0.014638727530837059,-0.02011522464454174,0.07422405481338501,0.07422405481338501
396883466671182720,C,-0.29526275396347046,-0.009305624291300774,0.021900221705436707,0.29540935158729553,0.29540935158729553
399840156517573760,C,-0.11392423510551453,-0.1969406008720398,0.003836257616057992,0.227517768740654,0.227517768740654
424780206976678144,C,-0.31373488903045654,-0.21783208847045898,0.038414184004068375,0.3819429278373718,0.3819429278373718
431014850227388672,B,0.08165616542100906,-0.12726488709449768,-0.07896743714809418,0.15120872855186462,0.15120872855186462
456736447287786624,C,0.06442324817180634,0.17196738719940186,-0.06953828781843185,0.18363860249519348,0.18363860249519348
467577906816705664,C,-0.09383679926395416,0.488681823015213,0.035526927560567856,0.49760955572128296,0.49760955572128296
480133401884559488,C,-0.06119586154818535,-0.043305110186338425,-0.024474408477544785,0.07496843487024307,0.07496843487024307
