source_id,tier,P_vgrf_below_25,vgrf_default,vgrf_mc_p50_kms,vgrf_mc_width_kms,vgrf_mc_sigma_kms,static_Lz_kpc_kms,static_E_mean,retrograde_flag,width_quartile,E_tertile
1260940417433621120,C,0.748800,23.912140,24.018749,1.330326,1.358820,-129.008530,-144396.626405,1,1,2
1284502779818086528,A,1.000000,11.193365,11.270797,2.192011,2.268317,-41.869736,-144395.892696,1,1,2
1289705840640686720,B,0.850000,13.017614,13.771260,7.892344,7.641595,-85.659340,-142856.267430,1,4,2
1291384760535820544,C,0.792000,21.331697,21.713678,2.966868,3.275078,88.225815,-144750.023437,0,2,2
1300331521011739008,B,0.944000,19.930963,20.649346,1.434284,1.940395,-84.180016,-150208.051429,1,1,1
1305217716325351680,B,0.938000,17.520357,17.695994,4.352984,4.368131,-107.002937,-148003.521832,1,3,1
1310861131553399680,C,0.670200,23.027319,23.139638,3.861458,3.896020,129.573822,-146550.115143,0,2,2
1317987238211656064,A,1.000000,16.228345,16.291943,1.069870,1.080726,34.882294,-145693.530726,0,1,2
1338748491647110400,A,1.000000,22.638098,22.640936,0.842585,0.845871,-99.556404,-144529.169217,1,1,2
1344863597361993984,A,1.000000,11.809602,12.259273,1.196667,1.232992,80.431198,-146294.586392,0,1,2
1347177897539700736,A,1.000000,16.021813,15.993198,2.794786,2.756094,67.329605,-144927.336896,0,2,2
1380366823526081152,C,0.656100,23.359731,24.104917,2.139599,2.157640,-124.518959,-145329.082041,1,1,2
1385605004296190208,C,0.521600,19.839415,23.477710,12.926693,12.856341,-119.409698,-137776.798666,1,4,3
1386599375124328320,B,0.856000,19.114039,19.492717,3.589616,4.358443,-29.299683,-137890.660353,1,2,3
1388416077571124096,A,0.980000,20.148948,20.462651,1.539472,1.671666,-54.252422,-144688.119464,1,1,2
1398007014421198208,C,0.776000,22.766346,22.847532,2.677697,2.693688,-93.266136,-144045.261007,1,2,2
1410864394158949760,B,0.946000,16.440036,18.066376,3.403162,3.740127,11.055704,-140830.759344,0,2,3
1421789824591048320,A,1.000000,16.615855,16.728723,1.350755,1.341269,-69.216995,-143468.451747,1,1,2
1433572401648673664,C,0.670600,19.481122,20.495616,8.999731,9.213792,-157.256409,-141577.510229,1,4,3
1436495350231739776,B,0.950000,19.403452,19.497284,2.432199,2.637287,128.218399,-143892.339868,0,1,2
1438146507459250560,A,1.000000,17.627896,17.631042,0.451027,0.455984,57.871651,-143689.291473,0,1,2
1442473841628325376,C,0.571600,24.044149,24.290157,3.201801,3.227833,-73.666878,-144107.540855,1,2,2
1444930322403826304,A,1.000000,9.154579,10.374358,2.080086,2.143303,47.179703,-144410.788721,0,1,2
1446401812558862336,C,0.782000,13.018130,17.234050,8.799005,8.910610,-74.084381,-141352.043347,1,4,3
1447056090696792960,B,0.890000,19.605072,20.170252,5.162715,5.178472,-156.626465,-143286.140635,1,3,2
1451327659011167232,A,1.000000,11.173838,11.773913,1.718910,1.733093,-19.894722,-144265.701809,1,1,2
1454381071520615168,A,0.994000,1.599992,5.939306,5.189819,5.215582,12.141909,-142399.618540,0,3,2
1481772070834162816,C,0.736000,22.689459,22.963240,3.580157,3.535712,-148.570053,-143225.048541,1,2,2
1483606021868470144,C,0.778000,21.901416,22.742722,2.204251,2.637783,-108.207756,-144232.983204,1,1,2
1506596947444170880,A,0.998000,15.589601,15.538576,2.252140,2.326493,-58.866928,-144114.352311,1,1,2
1511010421478640256,A,0.996000,19.920117,20.081455,1.591192,1.598745,-122.458977,-143735.656488,1,1,2
1524238989468731264,C,0.721200,23.652165,23.793065,1.849875,1.889757,90.055420,-143886.241189,0,1,2
1528927066531942656,A,1.000000,8.854272,8.963283,1.091071,1.109591,34.834160,-143527.433640,0,1,2
1547115909436052352,C,0.504400,24.730013,25.017935,8.687861,8.434962,-231.082047,-130127.370668,1,4,3
1571936589859484032,C,0.505600,24.911998,24.826063,9.383956,9.007360,-201.005585,-124590.830702,1,4,3
1577609799276802048,C,0.738000,18.013807,18.996374,6.539339,6.819734,36.506428,-141119.944236,0,3,3
1580277420643770624,C,0.683600,20.702012,21.768455,6.146791,6.192964,-145.678818,-133590.127938,1,3,3
1590327094361257856,B,0.860000,18.706179,18.961930,4.629180,4.680950,-45.196369,-136872.918216,1,3,3
1592068063648300800,C,0.521600,24.593747,24.614681,8.616912,8.368209,-189.553879,-135003.383108,1,4,3
1599773960828386944,C,0.762000,21.041093,21.613895,3.553833,3.765109,-163.143082,-136930.900921,1,2,3
1605770800325684992,A,1.000000,2.975116,3.727746,1.366551,1.648082,6.757642,-143201.223273,0,1,2
1618619899365529216,A,0.974000,19.567124,19.974542,1.535233,1.667792,66.624924,-143094.693177,0,1,2
1622238254693785344,A,1.000000,4.691732,5.193526,1.703087,1.749136,-25.205879,-142154.914368,1,1,2
1624282521687619200,C,0.796200,23.676158,23.742640,1.302386,1.384742,77.026443,-140556.785398,0,1,3
1629480394188789632,C,0.614400,20.483005,22.346672,8.742429,9.164536,-12.494047,-129069.366137,1,4,3
1636186487405423744,A,0.966000,20.256939,20.514693,2.407958,2.452390,-73.500046,-143006.729784,1,1,2
1647165793906986752,C,0.792000,21.553935,22.065924,3.341521,3.441566,-169.532806,-142537.292931,1,2,2
1663528863390894080,A,1.000000,12.216141,12.753152,2.810382,2.966617,-84.132080,-136224.870658,1,2,3
1680346722667252480,A,0.962000,22.237234,22.258861,1.139370,1.185057,-31.208147,-136905.744584,1,1,3
1692468013729660544,A,0.972000,21.929335,21.907919,1.428916,1.444260,-127.774689,-143210.353292,1,1,2
1697445537228565248,B,0.912000,12.694954,13.442461,6.953360,6.770676,-73.411003,-122173.913633,1,3,3
1718009565763783680,A,0.972000,15.520224,15.732489,4.534833,4.288539,-79.037003,-130701.652893,1,3,3
1729842505606079488,A,0.954000,19.925830,20.113205,3.335751,3.241144,-99.706253,-147598.400667,1,2,1
1730505652852601472,B,0.878000,16.908506,18.010877,6.083578,5.989539,127.723106,-147180.710175,0,3,1
1733702792147740416,B,0.926000,18.151496,18.851342,3.063166,3.256583,-44.917416,-149327.027537,1,2,1
1737028333785716096,C,0.609400,20.402617,21.214618,11.537781,11.196923,-11.310585,-148865.719047,1,4,1
1743825377229583744,C,0.553900,23.690125,24.095263,9.199245,8.670607,-34.129280,-148201.495050,1,4,1
1746708227998202752,C,0.531800,18.786394,24.514894,9.476204,9.899517,98.362732,-146023.899758,0,4,2
1747918854725040896,C,0.743400,24.430526,24.467233,0.812595,0.829216,-114.553345,-145789.688607,1,1,2
1748949234558638336,B,0.924000,16.785236,16.763992,5.553572,5.305083,42.338192,-152894.967552,0,3,1
1764739565859765760,A,1.000000,11.691592,12.373057,1.057613,1.274940,2.734969,-147232.705470,0,1,1
