p_bin,n,predicted_mean,true_slow_fraction,true_slow_fraction_lo,true_slow_fraction_hi,residual_true_minus_predicted
0--0.10,19868,0.002182202536742501,0.005788202134084961,0.005274326423772922,0.006351824867182838,0.00360599959734246
0.10--0.30,897,0.19227647714604237,0.36789297658862874,0.3519471252714262,0.38413305290229305,0.17561649944258637
0.30--0.50,733,0.39896316507503404,0.6275579809004093,0.609538691743113,0.6452297006274592,0.22859481582537522
0.50--0.70,843,0.6024009489916963,0.8054567022538552,0.7914643065036348,0.8187252669560807,0.20305575326215897
0.70--0.84,800,0.7765075,0.89,0.8784469762526637,0.9005792409758009,0.1134925
0.84--0.95,1200,0.9011983333333334,0.9558333333333333,0.9495128509667363,0.9613947260524145,0.05463499999999988
0.95--1.00,3511,0.990309313585873,0.9971518086015381,0.9960999114758731,0.9979205896630793,0.006842495015665029
