source_id,tier,potential,n_realisations,grid_min_rsph_pc_p16,grid_min_rsph_pc_p50,grid_min_rsph_pc_p84,interp_min_rsph_pc_p16,interp_min_rsph_pc_p50,interp_min_rsph_pc_p84,interp_minus_grid_pc_p16,interp_minus_grid_pc_p50,interp_minus_grid_pc_p84,interp_minus_grid_pc_min,interp_minus_grid_pc_max,grid_P_lt_10pc,interp_P_lt_10pc,grid_P_lt_100pc,interp_P_lt_100pc,grid_P_lt_1kpc,interp_P_lt_1kpc,quadratic_used_fraction,n_cross_10pc_grid_to_interp,n_cross_100pc_grid_to_interp,det_grid_min_rsph_pc,det_interp_min_rsph_pc,det_interp_minus_grid_pc,det_grid_t_myr,det_interp_t_myr,det_quadratic_used,phase6_P_lt_10pc,phase6_P_lt_100pc,phase6_min_rsph_pc_p50,grid_minus_phase6_P_lt_10pc,grid_minus_phase6_P_lt_100pc,grid_minus_phase6_p50_pc
1846633734516771840,A,static,5000,14.881337694823742,26.262274011969566,43.551863729953766,11.772599758412664,24.01768291744375,41.945626246513605,-4.56560084509204,-1.1358874911400993,-0.10447334917485243,-19.602750019494536,-2.4199138526359576e-07,0.0614,0.116,0.9998,0.9998,1.0,1.0,1.0,273,0,9.96678601950407,8.588712590273223,-1.3780734292308476,3982.8,3982.7912246140027,True,0.0614,0.9998,26.262274011969566,0.0,0.0,0.0
431014850227388672,B,barred,5000,35.39894953370094,104.56665605306625,233.15159559249875,31.279952110172985,103.40238262807614,232.57012211055766,-3.608679134358787,-0.7745674239407265,-0.08355371393994104,-22.044371543493256,1.6360061083631194e-06,0.005,0.0202,0.482,0.4872,0.9996,0.9996,1.0,76,26,3.1608848366886377,1.7538622925904517,-1.407022544098186,3487.6000000000004,3487.6042744117576,True,0.005,0.482,104.56665605306625,0.0,0.0,0.0
3738499345877271808,A,barred,5000,24.523446708917618,43.87378692626953,82.35150516033171,19.17669798735689,41.04687701221471,80.93413081495297,-6.019807391657307,-1.729322141031742,-0.17140687480204178,-19.80111368955789,9.563853042848791e-07,0.0138,0.0414,0.9006,0.9042,1.0,1.0,1.0,138,18,9.164940565824509,7.122283514696116,-2.042657051128392,329.70000000000005,329.7100194347216,True,0.0138,0.9006,43.87378692626953,0.0,0.0,0.0
4287640292264861056,B,barred,5000,40.846212953329086,99.83054548501968,197.42055654525754,37.317651691713166,98.81187483894561,196.96730501510373,-3.2103386708061854,-0.8079252695888106,-0.08367137423684454,-19.721824475559444,1.5876386871838122e-06,0.0054,0.0126,0.501,0.5058,1.0,1.0,1.0,36,24,7.224515546113253,6.73306397176621,-0.49145157434704256,2810.3,2810.295557379945,True,0.0054,0.501,99.83054548501968,0.0,0.0,0.0
