sample,rank,source_id_1,tier_1,vgrf_1_kms,source_id_2,tier_2,vgrf_2_kms,sep_pc,dv_kms
tierAB_headline,1,2826770250994112512,A,18.359145310967254,2826770250994112640,A,15.975827224761415,38.93790860171215,6.132473632567834
tierAB_headline,2,4741714714501659008,A,16.205573557706877,4936212102342356736,A,18.159338964735635,62.54248833301792,19.849143963805577
tierAB_headline,3,5465519061538436352,A,7.332354023021708,5661244569508760064,A,24.432151479452532,64.04478042746926,17.511689856942546
tierAB_headline,4,2067929587982279552,A,10.351119135141644,2069119053409349760,B,21.32183713240909,74.39913410086587,15.721342170098822
tierAB_headline,5,2020424226064132608,A,14.132932718005128,2728314787225296000,A,23.16017615412458,75.37651640277761,26.72733483627674
tierAB_headline,6,1506596947444170880,A,15.58960091934974,1511010421478640256,A,19.920116899963492,79.36550546083065,8.372430221645754
tierAB_headline,7,1338748491647110400,A,22.63809841711559,2020424226064132608,A,14.132932718005128,81.94714771286239,34.802709641290484
tierAB_headline,8,2944504890945973760,B,20.77506006282636,3100026206493299968,A,15.276537002258426,82.42020559712792,26.944413986343978
tierAB_headline,9,2067490779766225408,B,13.996241053886488,2067929587982279552,A,10.351119135141644,86.81553208896523,17.677259271075155
tierAB_headline,10,5816763754765392384,A,5.287273557796577,6025048640456450688,A,15.721305242664595,93.85974498201668,18.81765425831384
tierAB_headline,11,1080715442139486720,A,18.194878857625117,1692468013729660544,A,21.929335438735972,95.74883446059667,19.510205564567123
tierAB_headline,12,3506183087368009216,A,11.223885821857722,6157933103219224064,A,13.738880421887286,101.811810621358,23.556151786725486
tierAB_headline,13,3566782705092606208,A,11.328619668956257,5661244569508760064,A,24.432151479452532,102.01186917702657,23.354656324047166
tierAB_headline,14,3566782705092606208,A,11.328619668956257,5465519061538436352,A,7.332354023021708,102.57668566490115,12.745957772932002
tierAB_headline,15,4948654828757666432,A,16.50742540096047,4966393593445830528,B,18.793415202124248,105.95191303015196,14.772715785224163
tierAB_headline,16,3799290794021416832,A,18.528801577941728,3896383443190677376,A,16.920702098892328,109.8879382216281,4.382368802527248
tierAB_headline,17,1438146507459250560,A,17.627896458337794,1636186487405423744,A,20.256939478765293,110.69979574090772,31.147356525469455
tierAB_headline,18,77358206452039808,B,13.156631497423154,78171462803918464,B,11.641166564526493,112.4473034378864,12.10164361628695
tierAB_headline,19,3506183087368009216,A,11.223885821857722,3566782705092606208,A,11.328619668956257,113.2611792004857,15.865110049455133
tierAB_headline,20,3139433115547037440,A,22.551551957316427,5465519061538436352,A,7.332354023021708,116.69638272417495,16.660773902323157
tierABC_statistical,1,2826770250994112512,A,18.359145310967254,2826770250994112640,A,15.975827224761415,38.93790860171215,6.132473632567834
tierABC_statistical,2,5465519061538436352,A,7.332354023021708,5646312784989058688,C,23.849746025033877,44.17982353929687,29.857897724074697
tierABC_statistical,3,2067806477040504192,C,12.545429997201472,2067929587982279552,A,10.351119135141644,56.51264073188299,19.468452497977076
tierABC_statistical,4,1291384760535820544,C,21.331696625501753,1388416077571124096,A,20.148947806206984,57.43973379267661,19.15050894644817
tierABC_statistical,5,4741714714501659008,A,16.205573557706877,4936212102342356736,A,18.159338964735635,62.54248833301792,19.849143963805577
tierABC_statistical,6,2221777481188424320,A,15.028563561122928,2247088479377521920,C,23.492801125965496,62.60313550541843,32.03406999560219
tierABC_statistical,7,5465519061538436352,A,7.332354023021708,5661244569508760064,A,24.432151479452532,64.04478042746926,17.511689856942546
tierABC_statistical,8,1772492325424795904,A,6.752925610413481,1773036549320985088,C,22.85971809988432,68.22456103252088,22.435325279935345
tierABC_statistical,9,1483606021868470144,C,21.90141581969813,1524238989468731264,C,23.652164596057354,70.73087226958401,43.1280227970756
tierABC_statistical,10,2067929587982279552,A,10.351119135141644,2069119053409349760,B,21.32183713240909,74.39913410086587,15.721342170098822
tierABC_statistical,11,2020424226064132608,A,14.132932718005128,2728314787225296000,A,23.16017615412458,75.37651640277761,26.72733483627674
tierABC_statistical,12,5646312784989058688,C,23.849746025033877,5661244569508760064,A,24.432151479452532,76.40844582655704,42.87277030873816
