source_id,GALAH,RVgalah,e_RVgalah,redflag,snrc1iraf,snrc2iraf,snrc3iraf,snrc4iraf
56993395681126272,161006005901114,-8.557,0.147,0,29.5656,39.6635,45.2869,48.8733
609201945132157312,160112002301035,113.544998,0.314,0,37.6763,49.9744,63.7508,65.4631
611725599195677184,160331002701217,110.561996,0.098,0,33.8832,40.7168,56.4089,73.7889
653770752045220608,160109002701234,102.959999,0.204,0,20.962,19.0222,23.6371,27.7951
2581881592415406592,161107002101012,-116.560997,0.093,0,20.4971,31.6628,46.6797,48.559
2621237610403621632,170723003601233,-116.446602,0.377911,1,25.4885,49.9236,73.5266,95.0431
3181152499415837056,181222001801006,116.776001,0.095,0,10.6441,26.9819,54.5894,
3185620781529427328,171001003401181,95.491997,0.062,0,46.4896,69.464,95.6396,103.0884
3198192769278928896,161211002601039,92.158997,0.097,0,20.6183,30.6388,41.7177,52.4479
3203188743957945344,160815004801137,69.655998,0.327,0,19.977,28.7624,27.4244,30.8659
3254098468785655808,160923004701384,51.624001,0.143,0,22.394,18.2536,22.9733,17.1282
3287575368035203456,161104003801232,40.161999,0.15,1,48.2409,51.9443,85.7194,84.2577
3462381464696611840,150207004101258,174.960999,0.103,1,34.301,51.3472,64.9676,84.8805
3582334231916457728,190209003601220,122.025726,0.688547,0,4.044,9.8497,26.1768,23.9312
3583275654387487488,170127003001067,130.669006,0.086,0,20.2659,31.3571,38.9628,52.9056
3799290794021416832,150409005601348,125.491997,0.076,0,31.5639,35.6517,43.5336,59.947
4247141258918067584,160524006601078,-156.817993,0.083,0,35.1852,40.9729,42.3116,53.6352
4324878002304008448,150604003901116,-1.536,0.09,0,14.8785,22.4174,27.685,28.1512
4395596661758440960,170711002501149,-9.962,0.105,0,41.6492,70.8493,94.8288,101.3318
4432618322075745664,160814000101030,-70.657997,0.071,0,34.8786,53.8244,71.1442,87.7121
4622378047453302016,160919004601169,178.589996,0.102,0,18.6642,31.2519,36.2176,44.7028
4635714784197377408,140708007101104,139.059006,0.076,0,42.2471,63.3109,68.8142,83.833
4662597225031152768,161115002701308,178.257004,0.145,0,26.1478,20.8721,35.7984,58.7318
4697418105437236864,171102003301385,158.772995,0.105,0,21.6217,44.253,64.5294,76.3631
4775486282867457792,150108001001334,202.738007,0.094,0,74.6586,94.9346,111.4571,140.6995
4800353834274758144,151225002701377,179.472,0.158,0,36.8412,32.1163,37.17,47.7322
4818793915582515200,161119004201318,186.613007,0.105,0,22.0596,26.7827,37.0955,51.5847
4823751441713753216,161118004701203,166.962006,0.146,0,18.4164,26.3116,31.1117,49.2125
4906531782382508800,171106003001028,115.101997,0.097,0,65.7591,89.7185,110.5823,117.8024
5014129887197566720,161115001601009,36.965,0.114,0,12.9339,15.1814,20.8765,29.5382
5293589252937639040,131216002101155,212.938995,0.137,0,17.5164,31.6201,52.3793,41.7118
5376610455375993216,160519002601186,232.205597,0.338302,0,36.2661,62.1864,100.3854,111.6593
5432536491547215872,170104003501095,225.530259,0.596733,0,6.0325,15.7627,30.2688,32.5252
5482681613414539136,131119001201344,196.304001,0.264,0,9.8953,35.8167,63.612,70.5716
5566151760193226496,161118005201009,234.319,0.12,0,14.2419,26.9001,29.4311,31.7699
5671614093732317952,170216002801326,205.956684,0.322066,0,39.2857,74.6081,115.7681,160.1203
5675967098922897664,160328001101315,240.675995,0.214,0,9.2936,12.8946,15.8643,19.4071
5762804461404900352,190223002301206,183.766924,0.477806,0,10.8955,24.782,41.5852,47.9969
5912386837915305984,170416005301013,101.767998,0.065,0,21.5742,34.753,49.865,49.9276
5914627814420204544,170515005101236,111.009003,0.087,0,24.974,25.7983,32.2241,47.2891
6025048640456450688,170516003101255,51.382,0.154,0,21.3638,23.4306,25.8924,32.561
6031768924247221376,140413004901153,27.948,0.229,0,18.9125,34.4931,44.3938,46.1036
6046794437838417152,150413004101159,-11.470771,0.327311,0,34.5668,75.4941,102.4502,137.901
6166772081491957120,160515003401067,143.837006,0.293,0,5.8489,8.9147,10.4923,9.91
6182909540636386432,170513003501334,141.606995,0.088,0,21.8347,26.677,31.4727,48.6255
6192851977609915520,170512001301194,144.662003,0.102,0,17.2023,21.6787,29.2246,35.0234
6209300057387126144,170601003601035,78.791,0.077,0,20.2145,28.3531,46.6494,50.2989
6241854328941178752,170724002101149,32.880001,0.165,0,18.2807,31.4678,47.5163,48.7753
6249378248352660864,150604003401084,18.091,0.139,0,16.154,26.7019,34.6426,39.4127
6381350915342053760,140805004201206,134.533395,0.364778,0,34.0204,57.1255,73.3064,107.7474
6484181572100359040,160919003001209,4.142,0.051,0,22.553,32.0022,36.6064,55.3878
6585559739636072064,160811002901398,-27.103001,0.093,0,13.3791,12.9192,27.3355,32.4696
6629405132318802176,150408005901386,126.061996,0.169,0,59.0534,56.1409,76.3094,72.5626
6645984084039062656,170712004201187,40.638,0.094,0,12.1887,21.8088,23.8973,24.1793
6683096174889953536,160723002601305,-28.222,0.074,0,5.3931,7.2427,11.3696,15.888
6695777460966929664,140812003201320,-12.345,0.066,0,24.0485,28.7288,34.6595,58.3489
6695816940306321536,140812003201255,-24.32,0.061,0,32.753,35.426,45.3222,71.4194
6698908943100392576,170507011701121,-16.841,0.069,0,30.6841,38.2504,39.0798,45.3417
6714984112338622336,140707002101166,9.380605,0.328637,0,41.2505,85.2147,112.8638,151.8696
6726963394620177408,170712003601029,-6.606,0.16,0,14.0249,18.9371,24.5266,23.53
6784118757789092224,171003002601363,-33.799,0.096,0,22.6574,24.2871,29.3288,38.1086
6888772091291221888,170912002402194,-121.609588,0.278198,0,80.5201,133.66,189.5347,192.4789
