external_survey,source_id,tier,P_vgrf_below_25,vgrf_default,radial_velocity,radial_velocity_error,external_rv_kms,external_rv_error_kms,delta_rv_kms,APOGEE,GALAH,Nvis,FlRV,SNR,redflag
APOGEE,2417169076922869376,C,0.5891,23.449140072746975,-57.031536,2.7100844,-57.8691,0.2066,0.8375640000000004,2M00171331-1419550,,5.0,0.0,105.776,
APOGEE,2621237610403621632,C,0.601,14.954478168061152,-115.14248,0.6012054,-114.9756,0.0207,-0.16688000000000613,2M22325317-0852205,,1.0,0.0,401.995,
APOGEE,2712478319387225600,A,1.0,7.117114387160339,-161.81107,2.1321514,-163.1129,0.4381,1.3018299999999954,2M22520586+0706104,,1.0,0.0,4.824,
APOGEE,2713355489148180480,C,0.6164,19.962115386075677,-148.44476,4.3682528,-148.6099,0.0781,0.16514000000000806,2M22510228+0853285,,4.0,0.0,99.539,
APOGEE,2728314787225296000,B,0.9491,23.60848874463828,-202.65321,0.56685245,-203.4446,0.1248,0.7913900000000069,2M22054069+1222364,,3.0,0.0,56.877,
APOGEE,2729064001321068160,A,0.994,10.31026112729796,-195.92523,2.3533838,-195.4534,0.0431,-0.4718300000000113,2M22060988+1332228,,3.0,0.0,128.384,
APOGEE,2770680108412906496,C,0.5351,24.608109740932463,-177.92772,0.38945535,-178.1332,0.0285,0.20547999999999433,2M23522499+1452082,,2.0,0.0,360.855,
APOGEE,3614617954891437824,C,0.736,19.31030352186182,77.75641,2.1728528,79.2405,0.0374,-1.4840899999999948,2M14044776-1009104,,2.0,0.0,106.675,
APOGEE,3681811580070393344,B,0.928,20.920891214270277,84.6531,1.6691574,84.8685,0.0373,-0.21540000000000248,2M12452637-0355347,,3.0,0.0,209.24,
APOGEE,3682235927134907392,A,0.97,13.423826592418134,100.39376,7.4490395,96.05,0.4198,4.343760000000003,2M12453906-0239497,,14.0,0.0,91.51,
APOGEE,3760901822278397952,C,0.5326,17.145728285175053,160.34262,0.9696712,163.4562,0.0371,-3.1135799999999847,2M10390728-1036514,,4.0,0.0,297.867,
APOGEE,3802309331396474752,C,0.5929,23.438578234838435,143.02385,2.1373515,147.5906,0.041,-4.566749999999985,2M10492460-0252290,,6.0,0.0,244.731,
APOGEE,3945215125401978240,C,0.5878,21.467530832453715,44.42824,6.0365553,12.8418,0.088,31.586440000000003,2M12234848+1507014,,3.0,0.0,68.779,
APOGEE,3960170579483242496,C,0.712,13.09195841791229,8.276813,2.9072216,8.9761,0.0491,-0.699287,2M12242300+2445121,,5.0,0.0,146.422,
APOGEE,3992121768910622464,B,0.852,12.119506819693292,56.796623,0.36168635,56.5806,0.0282,0.21602299999999985,2M11160253+2330163,,2.0,0.0,316.238,
APOGEE,4138335134426278144,C,0.6794,14.197995832038009,-44.77098,0.9405929,-43.5843,0.022,-1.1866800000000026,2M17240946-1353224,,6.0,0.0,444.031,
APOGEE,4138358395969702272,C,0.5536,22.7508263207986,-56.066498,1.3113451,-56.8773,0.0379,0.8108019999999954,2M17260795-1339155,,3.0,0.0,142.875,
APOGEE,4179691786828215424,C,0.5154,18.68788877202561,-98.24875,6.0596776,-98.8952,0.0631,0.6464500000000015,2M19283840-1757290,,1.0,0.0,42.37,
APOGEE,4449881101308578048,C,0.794,21.57430582189833,-59.34638,1.9049686,-58.9741,0.0731,-0.3722800000000035,2M16055218+0553537,,3.0,0.0,144.263,
APOGEE,4574214529012009344,C,0.6408,20.39749285405314,-169.85432,0.41324282,-170.063,0.0245,0.20867999999998688,2M17220405+2735069,,3.0,0.0,397.454,
APOGEE,4650154155016136960,C,0.719,22.204717856488504,201.9148,1.9242821,203.3682,0.0609,-1.4533999999999878,2M05593947-7353144,,1.0,0.0,91.32,
APOGEE,4662597225031152768,C,0.778,21.25721285776209,179.38292,1.5722357,179.1075,0.0465,0.2754200000000253,2M04422641-6607498,,1.0,0.0,167.189,
APOGEE,4665621874133566592,C,0.6158,22.10214450267216,206.65874,0.4674334,206.7555,0.0467,-0.0967600000000175,2M04511166-6119088,,1.0,0.0,203.726,
