source_id,APOGEE,HRV,e_HRV,s_HRV,Nvis,FlRV,SNR
3614617954891437824,2M14044776-1009104,79.2405,0.0374,0.0115,2,0,106.675
3681811580070393344,2M12452637-0355347,84.8685,0.0373,0.0574,3,0,209.24
3682235927134907392,2M12453906-0239497,96.05,0.4198,0.8762,14,0,91.51
3760901822278397952,2M10390728-1036514,163.4562,0.0371,0.4704,4,0,297.867
3802309331396474752,2M10492460-0252290,147.5906,0.041,1.822,6,0,244.731
3945215125401978240,2M12234848+1507014,12.8418,0.088,4.4075,3,0,68.779
3960170579483242496,2M12242300+2445121,8.9761,0.0491,0.0805,5,0,146.422
3992121768910622464,2M11160253+2330163,56.5806,0.0282,0.0062,2,0,316.238
4138335134426278144,2M17240946-1353224,-43.5843,0.022,0.2636,6,0,444.031
4138358395969702272,2M17260795-1339155,-56.8773,0.0379,0.1054,3,0,142.875
4179691786828215424,2M19283840-1757290,-98.8952,0.0631,0.0,1,0,42.37
