variant,source_id,tier,R_peri_kpc,R_apo_kpc,z_max_kpc,min_r_sph_kpc,ecc,EJ_drift_rel
portail17_barred,1454381071520615168,A,0.023591885052230366,8.134702682495117,3.5494816303253174,0.4394746720790863,0.99421646647914,4.795175545512504e-07
portail17_barred,4098367886797895552,C,0.009075647281527053,3.7912819385528564,2.484550952911377,0.12175869196653366,0.9952237929844517,1.4111748974637497e-06
portail17_barred,2564595173682576256,C,0.163012420791419,12.01816463470459,5.320075035095215,0.26992136240005493,0.9732353581187181,1.208641293575573e-06
portail17_barred,1246301072944807168,C,0.015262860621086886,9.820783615112305,5.50524377822876,0.04218354821205139,0.9968965456479405,1.0278785470311585e-06
portail17_barred,4627302725674241536,B,0.023967299114792458,8.446148872375488,3.11869215965271,0.6007402539253235,0.9943407389864464,2.345736135745196e-07
portail17_barred,1605770800325684992,A,0.018113331208655388,8.717352867126465,3.541640281677246,0.40342938899993896,0.9958529216878873,1.8333868233017534e-06
portail17_barred,4403308915493808000,C,0.03501179302264903,6.909905433654785,4.242794990539551,0.07074037939310074,0.9899172900468391,2.125002156774826e-06
portail17_barred,4080139491484995456,C,0.07448488660920476,3.3585121631622314,1.3054249286651611,0.2240380495786667,0.9566064954153317,1.2440567755626527e-06
portail17_barred,4823853627575696768,B,0.012935634992416106,15.9503812789917,5.960771083831787,0.18383829295635223,0.9983793299272177,7.490987593814522e-07
portail17_barred,4045563527285331584,C,0.0035011650188531535,2.003056287765503,1.073564887046814,0.07243972271680832,0.9965102768286102,6.393445615827194e-07
portail17_barred,30465165103355904,C,0.03353194090123812,16.917924880981445,5.106177806854248,0.5579431653022766,0.9960437688331364,7.717792471860947e-07
portail17_barred,907765016165268096,C,0.18923879778164962,12.961677551269531,4.336604595184326,0.6528202891349792,0.9712204392821184,2.8744378645329864e-07
portail17_barred,6735586756923018368,C,0.003377632583807753,2.303145170211792,1.8458068370819092,0.037788115441799164,0.9970712341714427,7.445502413605327e-08
portail17_barred,1134163222058515200,B,0.010374149425724764,11.844380378723145,4.821809768676758,0.1480604112148285,0.9982497909339091,4.196709544830447e-07
portail17_barred,4364961111010691712,A,0.0049350063857947195,7.364738464355469,4.440128326416016,0.015388931147754192,0.9986607259045093,2.2225740463287628e-08
portail17_barred,4397483324932801280,C,0.01751031487490408,6.668430805206299,3.2234718799591064,0.30842337012290955,0.9947620493329467,4.996605493281514e-07
portail17_barred,5605836330306291968,B,0.01946849239508107,11.227737426757812,5.504190444946289,0.16559191048145294,0.9965380748721017,8.561668202810964e-08
portail17_barred,609201945132157312,A,0.004381839025921856,8.929190635681152,4.657568454742432,0.07375992834568024,0.9990190175233196,3.7696697054989055e-07
portail17_barred,4065262966083493248,B,0.0077671526354177135,5.26432466506958,3.129041910171509,0.07115377485752106,0.9970534835492305,1.208448078011722e-06
portail17_barred,4446549203122721024,C,0.12458031239714457,6.987655162811279,3.2279648780822754,0.48891356587409973,0.9649673262840067,9.82844276022599e-09
portail17_barred,1622238254693785344,A,0.004318066028791164,8.279690742492676,3.312371253967285,0.5457832217216492,0.9989574936172572,8.096019598404832e-07
portail17_barred,5576846709795882368,A,0.1345326554463722,10.775028228759766,5.130063056945801,0.2343161553144455,0.9753367423539224,1.86431661555464e-06
portail17_barred,4803516579472199296,B,0.01091909993785546,12.067065238952637,4.725196838378906,0.5056101083755493,0.9981919002986789,6.236501874275477e-07
portail17_barred,2260725447217651968,A,0.009251943231348828,10.679604530334473,4.670646667480469,0.33503788709640503,0.9982688619209681,1.9845214241190854e-07
portail17_barred,6737191807708281472,C,0.010001878804800772,3.0111277103424072,1.8967660665512085,0.060274384915828705,0.9933787158017117,1.9798188410669407e-06
portail17_barred,5889762633872508288,C,0.008691851572703935,4.905657768249512,3.559465169906616,0.05369321256875992,0.9964626645456217,2.298679823729138e-06
portail17_barred,4122681593586124032,C,0.03113876534724509,3.83566951751709,2.2011337280273438,0.058105647563934326,0.9838943319299094,4.866351402167374e-07
portail17_barred,5816763754765392384,A,0.013729263907529432,8.925187110900879,4.727181911468506,0.06450621783733368,0.9969282039719665,6.38827036679551e-09
portail17_barred,4038020740082070400,C,0.010874802881650178,2.907413959503174,1.651794672012329,0.051764726638793945,0.9925471371977848,1.0208273953657978e-08
portail17_barred,6760231043066168320,C,0.005099279340238759,4.4895405769348145,2.43670392036438,0.10487797111272812,0.9977309508644528,5.939750140261618e-07
portail17_barred,6735304392903260544,C,0.003096481181461303,2.582364559173584,2.061664342880249,0.06773411482572556,0.9976046970864153,3.129782570959518e-07
portail17_barred,4780282558746990080,A,0.014492693278344555,9.151314735412598,4.263768672943115,0.08194760233163834,0.9968376614082075,4.455130668443958e-08
portail17_barred,5916045256703964544,C,0.006209856612953775,5.254793643951416,3.192538022994995,0.06040622293949127,0.9976392881653517,1.4176985837090847e-07
portail17_barred,4044913307943727360,C,0.007378835504226789,3.5222690105438232,2.289231061935425,0.05445091053843498,0.9958189395508742,1.2766986015298745e-06
portail17_barred,810445730162365312,C,0.1646123559340504,11.81699275970459,4.05369234085083,0.6788498759269714,0.97252248687128,3.746545446494435e-07
portail17_barred,5876158823216894336,C,0.0025071472068767045,5.581215858459473,4.187054634094238,0.09279076009988785,0.9991019800930913,5.11745025177125e-07
portail17_barred,6763544936741265280,C,0.02639357413103375,3.626884698867798,1.972773790359497,0.07040587812662125,0.9855507452984859,8.216332058092318e-07
portail17_barred,6763240234575156352,C,0.013626628481126451,4.534541606903076,2.3547065258026123,0.16712908446788788,0.9940078608459939,2.1542914420434785e-07
portail17_barred,4233747897318977664,C,0.00641355867898429,5.518160820007324,2.551347017288208,0.5213067531585693,0.9976781709361259,6.148015056335113e-07
portail17_barred,4987471265709771520,C,0.009269115324388193,9.778733253479004,4.698068618774414,0.15391205251216888,0.9981060251162319,1.3079954931379146e-06
portail17_barred,6733060564550315008,C,0.004142674180296767,3.529780864715576,2.5307064056396484,0.1325749009847641,0.9976554817133417,5.787438389056494e-07
portail17_barred,6333908397352626176,B,0.011118630511918252,7.635550498962402,3.9390676021575928,0.1065424457192421,0.9970919022848626,1.2581954974378654e-07
portail17_barred,6207005544120495872,B,0.009878717583574791,5.606174468994141,2.6165456771850586,0.5111668109893799,0.9964819715001331,1.0779245319953567e-06
portail17_barred,6688282163217863936,B,0.0017667791747075035,5.6700334548950195,2.8127224445343018,0.4445061981678009,0.9993769952742358,1.5330494010227097e-06
portail17_barred,4254009869393663744,C,0.0029307732617233828,5.369738578796387,3.161994457244873,0.06320708990097046,0.9989090066521215,4.3874750808675327e-07
portail17_barred,3232335246724699904,A,0.030969882695537878,9.056830406188965,6.044159412384033,0.03581344708800316,0.9931842950524741,2.6389728032476396e-06
