sample,n_unweighted,n_valid_sf,n_invalid_sf,sf_value_p16,sf_value_p50,sf_value_p84,sum_inverse_sf_weight,median_inverse_sf_weight,n_low_parent_count,frac_low_parent_count_pct,sum_inverse_sf_weight_low_parent_count,frac_inverse_sf_weight_low_parent_count_pct
expanded_candidate_pool,20829,19999,830,0.5,0.5,0.8571428571428571,37256.25682388359,2.0,17204,86.02430121506076,33286.57261904762,89.34491936857395
Tier A,289,287,2,0.5,0.6666666666666666,0.9182051282051281,457.39674713404713,1.5,234,81.53310104529616,400.34444444444443,87.52673624220536
Tier B,252,249,3,0.5,0.5,0.8888888888888888,427.611346919438,2.0,212,85.14056224899599,385.0043650793651,90.036049757094
Tier C,1411,1353,58,0.5,0.5,0.8333333333333334,2520.7800394079313,2.0,1176,86.9179600886918,2270.1313492063496,90.05670124790211
Tier A+B,541,536,5,0.5,0.6666666666666666,0.9090909090909091,885.0080940534851,1.5,446,83.2089552238806,785.3488095238095,88.73916688454007
Tier A+B+C,1952,1889,63,0.5,0.5,0.875,3405.7881334614167,2.0,1622,85.86553732133405,3055.4801587301586,89.71433450925709
