source_id,R_peri_kpc_4gyr,R_peri_kpc_8gyr,R_peri_kpc_delta_8minus4,R_peri_kpc_abs_delta,R_apo_kpc_4gyr,R_apo_kpc_8gyr,R_apo_kpc_delta_8minus4,R_apo_kpc_abs_delta,z_max_kpc_4gyr,z_max_kpc_8gyr,z_max_kpc_delta_8minus4,z_max_kpc_abs_delta
231283683952040960,0.11482404577371169,0.1215133818003626,0.006689336026650908,0.006689336026650908,9.62881088256836,9.618159053378895,-0.010651829189464834,0.010651829189464834,4.644883155822754,5.108911037445068,0.46402788162231445,0.46402788162231445
347579131898942336,0.15464029475347446,0.15907132576964852,0.004431031016174064,0.004431031016174064,9.097979545593262,9.096372054347963,-0.0016074912452985757,0.0016074912452985757,4.666532039642334,4.705151557922363,0.0386195182800293,0.0386195182800293
366349822607618944,0.05847047113361915,0.06355259265614374,0.005082121522524595,0.005082121522524595,8.85734748840332,8.845914653691363,-0.01143283471195744,0.01143283471195744,4.634219169616699,4.853969573974609,0.21975040435791016,0.21975040435791016
528886469017207424,0.08328169182796769,0.0859970834752086,0.002715391647240911,0.002715391647240911,10.433213233947754,10.431076760296513,-0.002136473651241033,0.002136473651241033,5.010955333709717,5.365622520446777,0.35466718673706055,0.35466718673706055
609201945132157312,0.025815198273924953,0.02879987797790016,0.0029846797039752085,0.0029846797039752085,8.983916282653809,8.965414225877533,-0.01850205677627592,0.01850205677627592,4.529381275177002,4.62065315246582,0.09127187728881836,0.09127187728881836
627195418560263808,0.15410060328915942,0.15397586499287674,-0.00012473829628267818,0.00012473829628267818,8.564569473266602,8.566471567569808,0.0019020943032064253,0.0019020943032064253,4.394472599029541,4.469788551330566,0.07531595230102539,0.07531595230102539
643909953807675008,0.05263596579493717,0.05622017751465953,0.003584211719722362,0.003584211719722362,9.447175025939941,9.443755454362933,-0.0034195715770088952,0.0034195715770088952,4.0894575119018555,4.091618061065674,0.0021605491638183594,0.0021605491638183594
823565034185868416,0.05933687716155318,0.06419956087899031,0.004862683717437137,0.004862683717437137,9.384108543395996,9.382436610740738,-0.0016719326552578906,0.0016719326552578906,4.505438327789307,4.50400447845459,-0.0014338493347167969,0.0014338493347167969
1059923131798151168,0.09969276506826207,0.10462748809981333,0.004934723031551264,0.004934723031551264,12.153924942016602,12.153474863947059,-0.0004500780695426698,0.0004500780695426698,4.436727523803711,4.436348915100098,-0.00037860870361328125,0.00037860870361328125
1317987238211656064,0.11144083592681164,0.1224859837273634,0.011045147800551755,0.011045147800551755,7.9809441566467285,7.974905628974858,-0.0060385276718708525,0.0060385276718708525,4.16265869140625,4.158593654632568,-0.004065036773681641,0.004065036773681641
