band,label,n,median_R_peri_pc,median_R_apo_kpc,median_ecc,olr_frac_pct,four_to_one_frac_pct,weight_note
slow,slow Tier A+B+C,1952,115.51599569080035,7.353044509887695,0.9638635259438799,1.8442622950819672,1.331967213114754,unweighted expanded slow sample
vgrf_25_50,control 25-50,1955,132.64886938938872,3.161053697934166,0.9209440984560269,1.234986678007582,0.13208081372642558,expanded slow-sample kernel weights
vgrf_50_100,control 50-100,2586,408.17365829665334,3.694985570264619,0.7913480197550042,0.520986283255768,0.5101706469548508,expanded slow-sample kernel weights
vgrf_100_200,control 100-200,2788,1362.1351166323093,3.9775737644828895,0.46201013657520607,2.5938235224046,1.1852002654778244,expanded slow-sample kernel weights
vgrf_200_260,control 200-260,2749,2246.17484446673,4.806677040162614,0.3247869531482182,2.8066474761583806,1.0783392578634532,expanded slow-sample kernel weights
