source_id,tier,wp5_group,barred_R_peri_kpc,static_R_peri_kpc,barred_ftlyap_norm,barred_ftlyap_tchaos_periods
231283683952040960,A,tierA_control,0.005025174163365665,0.11482404577371169,0.09473643983663836,0.0
347579131898942336,A,tierA_control,0.014671522201829018,0.15464029475347446,0.5982509765006698,4.924864555373713
366349822607618944,A,tierA_control,0.010361323051359691,0.05847047113361915,0.23056119533101546,0.0
528886469017207424,A,tierA_control,0.01797649312780065,0.08328169182796769,0.536453999512363,9.78933381813838
609201945132157312,A,tierA_control,0.0061246519472080525,0.025815198273924953,0.0,inf
627195418560263808,A,tierA_control,0.010003013164372231,0.15410060328915942,0.5284768857518927,0.0
643909953807675008,A,tierA_control,0.015218045218620562,0.05263596579493717,0.5979322349663723,0.0
823565034185868416,A,tierA_control,0.01508318843455555,0.05933687716155318,0.9268222223944728,0.0
1059923131798151168,A,tierA_control,0.00937769580519092,0.09969276506826207,0.0,inf
1107943030834943360,C,static_bridger,0.009359934530804357,0.4625507512793323,0.6269204459710319,2.1594174666788257
1317987238211656064,A,tierA_control,0.017726538996368946,0.11144083592681164,0.40265055993792565,0.0
1344863597361993984,A,tierA_control,0.016178733785648793,0.22742153920267932,0.44471466253773095,12.973602783984274
1347177897539700736,A,tierA_control,0.010810777342089205,0.18151424846462635,0.5024255258062172,6.772932175079128
1362491586253153408,A,tierA_control,0.016266669167682955,0.1137285919842654,0.5030832214018894,15.255472918172595
1444930322403826304,A,tierA_control,0.03925833233518656,0.13779783081451277,0.47660776274658895,12.374600663082358
1663528863390894080,A,tierA_control,0.04150086418986733,0.12940994457483662,0.3235323246657092,20.62594674437008
1718009565763783680,A,tierA_control,0.005316466758213594,0.10552801273262027,0.08077305469224676,0.0
1747918854725040896,A,tierA_control,0.01974020497379423,0.1799948795686795,0.5027980401997648,0.0
1772492325424795904,A,tierA_control,0.014089242184959869,0.02717606728393651,0.32868584941861945,0.0
1846633734516771840,A,tierA_control,0.015025447304018925,0.03814795739325355,0.2710215207283819,5.602628233339945
1853427857385706496,A,tierA_control,0.010009265228246,0.1269447659413537,0.35032243044084665,19.877139770626112
1863195815616129536,A,tierA_control,0.015971341452703246,0.08236827976164401,0.7289466024718351,0.0
1864137238090044160,A,tierA_control,0.003730639513317088,0.13915766078253933,0.4512920084328218,13.013317703871596
1871905145997313280,A,tierA_control,0.008313065455664839,0.28965660329483395,0.5718800305481766,0.0
1926255277061978624,A,tierA_control,0.01592364775124326,0.04671581920315223,0.7919264702035909,0.0
1958311371069950080,A,tierA_control,0.016258954590321856,0.10169612041151177,0.3627206155069987,0.0
1994900983444750848,A,tierA_control,0.10522028360648325,0.19082864181014159,0.42758755597102316,0.0
2000611267027733632,A,tierA_control,0.0360909977789851,0.22411955124894167,1.2073161696492536,2.6501214434519733
2067929587982279552,A,tierA_control,0.04112866550857038,0.17976112647548967,0.8455876229614121,4.942125900551671
2074704228890789504,A,tierA_control,0.01813308998570747,0.10844782902199787,1.048846303857302,11.80350326608134
2096996208656812160,A,tierA_control,0.03513970254806038,0.2648885757522436,0.0594483119533217,0.0
2100351230949905280,A,tierA_control,0.22490881905919174,0.16968822729707497,0.40136963109575907,25.365480745929652
2135290927342520448,A,tierA_control,0.02494829206705787,0.3506635196658168,0.507398947758517,10.70214872624826
2140901838255266688,A,tierA_control,0.0644067269861431,0.25025533951686146,0.8245621944976997,12.0914542744469
2145508517097287936,A,tierA_control,0.028110119275142252,0.05365513876589637,0.3682060939789264,14.556823459997156
2281103241675421824,A,tierA_control,0.038923464172673276,0.21070798456498127,0.39753784473810905,6.849813908416864
2308195315557676416,A,tierA_control,0.006036442638018549,0.02919454912176832,0.3360054737314652,4.861375493756245
2560193656837956864,A,tierA_control,0.011430254627029388,0.049008247994734355,0.4008906313152933,2.5595077284192667
2639947316874830848,A,tierA_control,0.011613581114185078,0.1451306775240353,0.0928966287464181,0.0
2729064001321068160,A,tierA_control,0.03664849736778461,0.021279099220954948,0.3244533599266762,2.7947882539931808
2739862584191154688,A,tierA_control,0.008210486734093789,0.10669660858877665,0.34975450675736164,0.0
2826770250994112512,A,tierA_control,0.009275898414018737,0.2465272097854473,0.49921781433686574,3.237687824985243
2826770250994112640,A,tierA_control,0.00435373962684793,0.16847391621735644,0.09868709850250705,0.0
2844072990602159872,A,tierA_control,0.028800868258991797,0.06265637317141423,0.36020207957698275,7.605222393204509
