band,covariate,label,smd_raw,smd_kernel,smd_ipw,smd_ebal
vgrf_25_50,G,$G$,0.4736178482342738,0.5615003627945969,-0.32367315076465225,-2.1088469262558075e-15
vgrf_25_50,logd,$\log_{10}(d/\mathrm{pc})$,0.6052420541213875,0.7773695397450804,-0.7109137412414384,-5.802590530725187e-14
vgrf_25_50,abs_sin_b,$|\sin b|$,-0.5360974556779381,-0.6945150119779812,0.3907651716739971,-5.816752005669821e-15
vgrf_25_50,sin_l,$\sin l$,0.027016681299630946,0.043734602074950765,-0.25570680183678907,-2.3692957908319073e-14
vgrf_25_50,cos_l,$\cos l$,0.6694641284406267,0.8085906361452266,-0.8052918929717485,-2.154939428218551e-14
vgrf_25_50,bp_rp,$BP-RP$,0.4438835353248584,0.4993564486160324,-0.35415426613148304,-2.6651631534595137e-14
vgrf_25_50,log_ruwe,"$\ln\,\mathrm{RUWE}$",-0.1591508584374211,-0.21213558734974136,0.6962138638067827,3.173416550853066e-13
vgrf_25_50,log_plx_snr,$\log_{10}(\varpi/\sigma_\varpi)$,-0.5360915383582525,-0.7167741676776216,0.5543317156610458,-7.378761354438822e-15
vgrf_25_50,grvs,$G_\mathrm{RVS}$,0.2957468742974217,0.3599930608309235,-0.1638664643072139,3.904784790484225e-15
vgrf_50_100,G,$G$,0.3517182372818246,0.4870933576122634,-0.20926115131002895,-3.0490453266910114e-14
vgrf_50_100,logd,$\log_{10}(d/\mathrm{pc})$,0.4314257541754953,0.6856119908494265,-0.3664355393268196,-1.5935745066685482e-12
vgrf_50_100,abs_sin_b,$|\sin b|$,-0.3500571289314271,-0.5715852893913539,0.16086674622099756,4.0334271821846757e-13
vgrf_50_100,sin_l,$\sin l$,0.028307325373411418,0.02764038067929288,0.0004175839152815711,-1.1019555317923278e-13
vgrf_50_100,cos_l,$\cos l$,0.4449284264360218,0.6097157609878018,-0.26861406195429033,-9.66658961648786e-13
vgrf_50_100,bp_rp,$BP-RP$,0.331334353679576,0.43968392516117805,-0.17117088660685617,-5.123939886458938e-13
vgrf_50_100,log_ruwe,"$\ln\,\mathrm{RUWE}$",-0.12134842970801923,-0.20567296388397277,0.19124673002663695,8.537649992685042e-12
vgrf_50_100,log_plx_snr,$\log_{10}(\varpi/\sigma_\varpi)$,-0.3325363514219277,-0.5930246424632428,0.35172633214135923,-4.020242117518623e-13
vgrf_50_100,grvs,$G_\mathrm{RVS}$,0.22768104042356255,0.3189116299168329,-0.1323690567122588,9.50735116290894e-15
vgrf_100_200,G,$G$,0.267835202842968,0.4597908668574021,-0.5051232771004586,-1.361640465857338e-12
vgrf_100_200,logd,$\log_{10}(d/\mathrm{pc})$,0.3414865450695557,0.6432874641720508,-0.35555207513436365,-9.695377317788645e-13
vgrf_100_200,abs_sin_b,$|\sin b|$,-0.31121863425879415,-0.5568529482658807,0.15540279594913253,7.116112066340892e-14
vgrf_100_200,sin_l,$\sin l$,0.022786216326657276,0.02339760781070952,0.019586742936734323,-5.634509733176954e-14
vgrf_100_200,cos_l,$\cos l$,0.3608918300615642,0.534429782142053,-0.18672884272957696,-1.7315005345517086e-13
vgrf_100_200,bp_rp,$BP-RP$,0.325655969087325,0.41809350337740947,-0.046394044023731915,-8.608182100875295e-14
vgrf_100_200,log_ruwe,"$\ln\,\mathrm{RUWE}$",-0.055157259159780994,-0.1657290213450456,0.185055760129398,3.0335481517730203e-12
vgrf_100_200,log_plx_snr,$\log_{10}(\varpi/\sigma_\varpi)$,-0.24888403167225945,-0.5518972892455246,0.32547367750402223,2.8963612654089546e-13
vgrf_100_200,grvs,$G_\mathrm{RVS}$,0.15135484894928838,0.30652498015809543,-0.44402524418286365,-1.2462689003204637e-12
vgrf_200_260,G,$G$,0.2617361604477422,0.4548737376373317,-0.39915026869763237,0.0
vgrf_200_260,logd,$\log_{10}(d/\mathrm{pc})$,0.30064573225681446,0.6174939562511998,-0.3661406414083611,-1.3034341413463556e-15
vgrf_200_260,abs_sin_b,$|\sin b|$,-0.3530192793584953,-0.5892710317058255,0.14313094447849303,2.1867972860758042e-16
vgrf_200_260,sin_l,$\sin l$,0.019297647801411667,0.01600228793944254,0.022870377251775518,-2.989793524581168e-17
vgrf_200_260,cos_l,$\cos l$,0.36924133880635135,0.5431108774094225,-0.17678744292189838,2.724845736573327e-16
vgrf_200_260,bp_rp,$BP-RP$,0.32424851180909736,0.4143105608611817,-0.07872785541595646,0.0
vgrf_200_260,log_ruwe,"$\ln\,\mathrm{RUWE}$",-0.07501484789740488,-0.18561617436948485,0.05767519645822557,0.0
vgrf_200_260,log_plx_snr,$\log_{10}(\varpi/\sigma_\varpi)$,-0.2174381967539222,-0.5355868895840317,0.3607681156647156,0.0
vgrf_200_260,grvs,$G_\mathrm{RVS}$,0.1485844958453364,0.30494694022406493,-0.33467557978816426,-1.813830907624815e-15
