source_id,tier,potential,n_realisations,point_min_rsph_pc,interp_min_rsph_pc_p16,interp_min_rsph_pc_p50,interp_min_rsph_pc_p84,interp_P_lt_10pc,interp_P_lt_100pc,grid_P_lt_10pc,grid_P_lt_100pc
3673477423666158080,B,barred,5000,5.0073442980647,29.18345901630741,70.09938557566751,252.46840912428348,0.0266,0.6392,0.0086,0.637
4112655451932785152,C,barred,5000,6.7041753791272,14.470725645016767,30.72637916532117,64.97672280868292,0.0706,0.9226,0.0278,0.9218
5602125925243507840,B,barred,5000,8.7698753923177,31.507534466759918,68.11034944943752,135.471996432758,0.0136,0.6894,0.0052,0.678
6743739021463974912,C,barred,5000,8.7725631892681,29.704215849132126,71.2181776599229,154.2961286668582,0.0172,0.6614,0.0062,0.6582
5884580841726690688,C,barred,5000,8.9186849072575,33.38314297486206,101.61148205489654,158.78923326500248,0.0124,0.492,0.0046,0.4888
3607697903584145024,C,barred,5000,9.2446040362119,16.49653913837388,43.50614296425549,111.11948390449342,0.0604,0.808,0.0174,0.8056
4047928370636723968,C,barred,5000,9.925527498126,13.315109968585661,29.15187370905383,58.57979528842359,0.082,0.9536,0.0328,0.9528
909975790451805568,C,barred,5000,10.1279700174927,66.9751495199063,185.1634397586783,336.7845158176584,0.006,0.2546,0.0016,0.2508
4065165929822667136,C,barred,5000,10.5511201545596,22.986286365482105,53.91743121045057,132.96787974172292,0.0318,0.7622,0.0114,0.76
4038533769713922944,C,barred,5000,10.6594525277614,13.5996945165671,28.27564942837273,55.327283408482344,0.0854,0.9576,0.0332,0.9572
4111001236689256832,C,barred,5000,10.9784435480833,23.205912923992226,54.42482833195132,131.75301594626595,0.0268,0.7734,0.0088,0.771
4045686780079451392,C,barred,5000,11.2029230222105,14.515305830891744,30.05842781542475,58.21452654188701,0.073,0.961,0.0256,0.96
4051445163000749184,C,barred,5000,12.0262447744607,12.160554032051992,25.50182577212734,52.18993216418509,0.106,0.9476,0.0446,0.9468
6707982765897294080,C,barred,5000,12.275516055524301,21.5077169867245,46.99471932247474,92.63551844095521,0.0294,0.8644,0.0106,0.8624
2820482865549001600,A,barred,5000,12.512168847024402,53.81827796218843,167.15419889427176,257.5662786648034,0.0052,0.328,0.0026,0.3252
3551540072318111616,C,barred,5000,12.7885239198803,34.50702495278102,59.54129213649292,91.37864194469418,0.011,0.8924,0.0042,0.8864
5687611786053705472,C,barred,5000,13.0767570808529,82.36778364800436,255.95678770643036,448.45946338748655,0.0048,0.2056,0.0014,0.2024
4046305285315873280,C,barred,5000,13.571985997259599,14.652533672009781,30.40201054466386,59.1404302549154,0.0684,0.95,0.0268,0.9496
3105087361594055808,C,barred,5000,14.2152328044176,37.83709811334408,106.3039078483672,256.18168656443817,0.0078,0.4782,0.0032,0.4744
4049838158028311424,C,barred,5000,14.3219474703073,17.03308024819424,37.80252609481174,79.1095865367248,0.053,0.8924,0.0214,0.8918
4125438271037670272,C,static,5000,3.290832741186,20.697613564837344,152.17873632779774,274.97886888756375,0.0708,0.3588,0.0596,0.3582
197752599391374208,B,static,5000,5.4435930214822,48.954870641950535,179.59695303124315,389.47779042555635,0.0142,0.2796,0.0064,0.276
2071829452678601472,A,static,5000,6.0446937568485,12.053432395106018,24.22316409281025,45.70361719766157,0.1074,0.9988,0.0564,0.9986
4656611002687082496,C,static,5000,8.1528211012482,23.5660454261651,67.91720117288659,193.38068558967123,0.0478,0.6386,0.0276,0.636
4109059847125694848,C,static,5000,10.7928002253174,83.38048981303251,289.90126945713365,411.11606248646933,0.012,0.2086,0.0092,0.2068
4038757589074380800,C,static,5000,11.9724133983254,24.02956580075544,133.4523212521147,349.9795785855231,0.0534,0.4608,0.0414,0.4604
6662931307732689152,C,static,5000,12.6600712537765,34.892305661479654,132.09298469576876,400.242238605892,0.0278,0.403,0.02,0.401
3617059489180390144,B,static,5000,12.678754515945899,38.90222045763253,105.34841209068377,236.81170460803298,0.0116,0.4764,0.0062,0.4724
6658131046125804032,C,static,5000,13.1361447274684,31.84593189205106,115.95831341159669,363.64037656736076,0.0378,0.4518,0.0284,0.449
4036336430101629568,C,static,5000,13.1446085870265,17.808408839254476,119.99997564896762,339.50576349309915,0.0768,0.4486,0.0666,0.4484
5884326785803277952,C,static,5000,13.6649161577224,17.018958917927446,48.912658390984205,119.37398712499848,0.0682,0.7708,0.0406,0.7696
6764310604845535616,C,static,5000,13.706741854548401,31.26917831479954,81.10692711596488,195.0283219676551,0.017,0.5592,0.0116,0.5588
4158036694857592192,C,static,5000,13.994524255394898,80.79652325170298,192.38923535662786,323.04364783741846,0.004,0.2498,0.003,0.2482
252650798352384640,C,static,5000,14.005153439938999,36.698111887107586,123.59465761860079,261.51602732358515,0.0148,0.426,0.0054,0.423
529566723120575232,C,static,5000,14.2282294109463,22.747735137280422,71.70050973142914,149.09247055488513,0.0438,0.6536,0.0234,0.649
6030168997474631808,C,static,5000,14.2343072220683,16.357141148571458,92.74646334730419,242.89136758993573,0.0836,0.522,0.0708,0.5212
1246301072944807168,C,static,5000,14.725776389241199,63.667313942959204,238.8787147189616,554.6079601980205,0.012,0.2424,0.0058,0.2408
4046672144244076160,C,static,5000,14.9448197335004,58.648676781415546,192.9945305793668,377.35931687587276,0.018,0.2476,0.0136,0.2474
2296727890317731840,A,static,5000,15.027733519673301,21.430379706395374,61.6676998881696,122.9097397912523,0.034,0.743,0.0144,0.7392
523562736800603392,A,static,5000,15.1240583509206,15.608385040017472,48.49265694277132,105.03666554193393,0.0822,0.8188,0.0358,0.8146
