variant,R_peri_kpc,R_apo_kpc,z_max_kpc,min_r_sph_kpc,ecc
mcmillan17,0.08436795297526098,7.785549163818359,2.71486234664917,0.7754489779472351,0.9785593795402933
mcmillan17,0.026070538549506833,3.566455602645874,1.5751079320907593,0.24807073175907135,0.9854862358547335
mcmillan17,0.1056170066553847,11.8932523727417,4.825791358947754,0.3648450970649719,0.9823955068905514
mcmillan17,0.04620272644162645,8.330434799194336,4.904897689819336,0.04732440412044525,0.9889686699943201
mcmillan17,0.022830398290000588,7.6096038818359375,2.9444398880004883,0.6843727231025696,0.9940175316413928
mcmillan17,0.0647736817591868,8.248109817504883,4.1282267570495605,0.06593377143144608,0.9844160737330384
mcmillan17,0.04802451970443418,5.195950031280518,3.7349331378936768,0.2163374274969101,0.9816839234296384
mcmillan17,0.025723864970139197,3.0400493144989014,1.221029281616211,0.4045414924621582,0.9832186770095012
mcmillan17,0.13448754045655095,15.393942832946777,6.0087890625,0.2537282407283783,0.9826785403002615
mcmillan17,0.027573611084569048,1.6603572368621826,1.0421730279922485,0.028216538950800896,0.9673285062381431
mcmillan17,0.1622278788768013,13.399523735046387,3.892124652862549,0.7411336302757263,0.9760756746628141
mcmillan17,0.16955907420411748,12.662758827209473,4.131601333618164,0.6898906826972961,0.9735731181994113
mcmillan17,0.0006356222582667893,1.8548939228057861,1.7010407447814941,0.00597415491938591,0.9993148885611035
mcmillan17,0.14251799170369853,10.692998886108398,3.860431432723999,0.6688411831855774,0.9736942882723882
mcmillan17,0.04008987415096471,6.655638694763184,3.5037434101104736,0.04228506237268448,0.9880252391540817
mcmillan17,0.0759802238472091,5.661619186401367,2.3697073459625244,0.5946779251098633,0.9735149778105834
mcmillan17,0.04778825342269243,11.263891220092773,5.021733283996582,0.053758881986141205,0.9915506351581864
mcmillan17,0.02847300616422706,8.997265815734863,1.1238439083099365,0.02887713350355625,0.9936907090430885
mcmillan17,0.008877410123499407,4.961544036865234,2.424440860748291,0.014837667346000671,0.9964279044671844
mcmillan17,0.02942348097033436,5.9419426918029785,2.4728825092315674,0.6050246357917786,0.9901451426293394
