source_id,adopted_P,adopted_tier,P_independent,P_copula,delta_P,tier_independent,tier_copula
5205618461472512640,0.992,A,0.9865,0.9895,0.0030000000000000027,A,A
5207879091736225024,0.6117,C,0.615,0.604,-0.01100000000000001,C,C
5208650536582846080,0.98,A,0.976,0.9765,0.000500000000000056,A,A
5209886559450626816,0.5363,C,0.5305,0.5435,0.013000000000000012,C,C
5210751080531157888,0.818,C,0.849,0.8215,-0.02749999999999997,B,C
5214466987453260544,0.705,C,0.7065,0.7075,0.0010000000000000009,C,C
5218536142551410432,0.5157,C,0.5275,0.526,-0.0014999999999999458,C,C
5219760276947902080,1.0,A,1.0,1.0,0.0,A,A
5221291033355891968,0.4431,D,0.448,0.439,-0.009000000000000008,subC,subC
5221809457385826304,0.74,C,0.7735,0.763,-0.010499999999999954,C,C
5224570434164170752,0.932,B,0.94,0.9525,0.012500000000000067,B,A
5224778688538392832,0.5636,C,0.5525,0.555,0.0025000000000000577,C,C
5225702759341555712,0.5396,C,0.525,0.552,0.027000000000000024,C,C
5231872840648235776,0.3368,X,0.3305,0.3435,0.013000000000000012,subC,subC
5232178504879353088,0.908,B,0.9345,0.92,-0.014499999999999957,B,B
5233782898509213952,0.6328,C,0.632,0.64,0.008000000000000007,C,C
5233847318704309120,0.77,C,0.7695,0.7535,-0.016000000000000014,C,C
5241331148942594944,1.0,A,1.0,1.0,0.0,A,A
5242086375954046976,0.71,C,0.6775,0.689,0.011499999999999955,C,C
5243651736909824384,0.533,C,0.5345,0.543,0.008500000000000063,C,C
5245930784001036800,0.4592,D,0.465,0.4685,0.003500000000000003,subC,subC
5245991806896769152,0.6068,C,0.6,0.586,-0.014000000000000012,C,C
5247884272561214976,0.4781,D,0.4585,0.464,0.005500000000000005,subC,subC
5248569160927735296,0.708,C,0.7215,0.7155,-0.006000000000000005,C,C
5248805422789911936,0.992,A,0.987,0.9895,0.0025000000000000577,A,A
5250949607909373440,0.838,C,0.848,0.841,-0.007000000000000006,B,B
5259819363901979008,0.3222,X,0.317,0.332,0.015000000000000013,subC,subC
5269723116106466688,1.0,A,1.0,1.0,0.0,A,A
5278007970583242880,0.6888,C,0.689,0.685,-0.0039999999999998925,C,C
5278771031656439424,0.4618,D,0.482,0.4775,-0.004500000000000004,subC,subC
5279183554671687680,0.724,C,0.686,0.7135,0.02749999999999997,C,C
5283409699413136768,0.7253,C,0.7125,0.7235,0.01100000000000001,C,C
5286951535600233472,0.6776,C,0.6685,0.7015,0.03300000000000003,C,C
5290465746565304704,0.878,B,0.8895,0.889,-0.0004999999999999449,B,B
5293589252937639040,0.996,A,0.9925,0.991,-0.0015000000000000568,A,A
5295731342108117888,0.6169,C,0.6155,0.6125,-0.0030000000000000027,C,C
5298601754661212544,0.766,C,0.771,0.7925,0.021499999999999964,C,C
5311556471239016320,0.8,C,0.8045,0.776,-0.02849999999999997,C,C
5313832705112563712,0.956,A,0.958,0.964,0.006000000000000005,A,A
5331671937678928640,1.0,A,1.0,1.0,0.0,A,A
5335267375114224768,0.3117,X,0.3025,0.3145,0.01200000000000001,subC,subC
5335614752064948224,0.6552,C,0.665,0.6555,-0.009500000000000064,C,C
5337419840908283520,0.6412,C,0.628,0.641,0.013000000000000012,C,C
5338175613378523776,0.782,C,0.804,0.7865,-0.01750000000000007,C,C
5339179334399893120,0.4546,D,0.439,0.448,0.009000000000000008,subC,subC
5342091528370176128,0.3334,X,0.315,0.335,0.020000000000000018,subC,subC
5343549377698526720,0.91,B,0.91,0.9005,-0.009500000000000064,B,B
5347352687178469504,1.0,A,1.0,1.0,0.0,A,A
5349696708534530432,0.3665,X,0.3575,0.358,0.0005000000000000004,subC,subC
5350363772817768448,0.591,C,0.595,0.6005,0.00550000000000006,C,C
5350402668043764480,0.7,C,0.689,0.7045,0.01550000000000007,C,C
5350491178724440576,0.5304,C,0.528,0.524,-0.0040000000000000036,C,C
5350548937445540608,0.4967,D,0.491,0.485,-0.006000000000000005,subC,subC
5350675965394990976,0.5261,C,0.5135,0.52,0.006500000000000061,C,C
5350997258995085824,0.6378,C,0.651,0.6475,-0.0035000000000000586,C,C
5351202803273422848,0.5307,C,0.519,0.512,-0.007000000000000006,C,C
5361561955126549504,0.74,C,0.763,0.7745,0.011499999999999955,C,C
5361579508648966400,0.804,C,0.799,0.7885,-0.010500000000000065,C,C
5363539426785394816,0.998,A,0.996,0.997,0.0010000000000000009,A,A
5365282015283382272,1.0,A,1.0,1.0,0.0,A,A
5366205948641534976,0.4795,D,0.462,0.489,0.02699999999999997,subC,subC
5371124648273002496,0.4578,X,0.461,0.4655,0.004500000000000004,subC,subC
5371720343055762432,0.456,X,0.454,0.472,0.01799999999999996,subC,subC
5372697259133093376,0.73,C,0.6955,0.7035,0.008000000000000007,C,C
5376446456343950464,0.5846,C,0.5945,0.5685,-0.026000000000000023,C,C
5376610455375993216,0.948,B,0.9555,0.9435,-0.01200000000000001,A,B
5377881044139551232,0.4331,X,0.4265,0.42,-0.006500000000000006,subC,subC
5379515880491866368,0.88,B,0.871,0.865,-0.006000000000000005,B,B
5382652507990243584,0.6,C,0.5655,0.5915,0.026000000000000023,C,C
5383288064367539968,0.976,A,0.9815,0.979,-0.0025000000000000577,A,A
5393675563031498496,1.0,A,1.0,1.0,0.0,A,A
5414173345994587904,0.6336,C,0.653,0.6295,-0.023500000000000076,C,C
5417544757880982144,0.766,C,0.7895,0.7805,-0.009000000000000008,C,C
5417729544554281088,0.976,A,0.9745,0.977,0.0024999999999999467,A,A
5418454741194007296,1.0,A,1.0,1.0,0.0,A,A
5420169807533714432,0.4027,X,0.419,0.408,-0.01100000000000001,subC,subC
5427954178063913344,0.94,B,0.9295,0.9255,-0.0040000000000000036,B,B
5428948205293775104,0.718,C,0.7205,0.72,-0.000500000000000056,C,C
5432536491547215872,0.5082,C,0.517,0.4965,-0.020500000000000018,C,subC
5435711851067877376,0.998,A,0.9975,0.9945,-0.0030000000000000027,A,A
5435970648617675264,1.0,A,0.999,1.0,0.0010000000000000009,A,A
5436609293074804224,1.0,A,1.0,1.0,0.0,A,A
5438217741146151808,0.888,B,0.8925,0.891,-0.0014999999999999458,B,B
5438787906644840192,0.98,A,0.9745,0.9765,0.0020000000000000018,A,A
5439188712992418816,0.5457,C,0.556,0.5465,-0.009500000000000064,C,C
5443731998117302400,0.6122,C,0.605,0.61,0.0050000000000000044,C,C
5446239022067635840,0.75,C,0.7615,0.769,0.007500000000000062,C,C
5447028437056579072,0.75,C,0.746,0.7665,0.020499999999999963,C,C
5451033202001300608,0.96,A,0.9405,0.946,0.005499999999999949,B,B
5452338219224302208,0.892,B,0.8735,0.895,0.021499999999999964,B,B
5454407500107980544,0.858,B,0.838,0.85,0.01200000000000001,C,B
5457973628633589376,0.768,C,0.781,0.791,0.010000000000000009,C,C
5458242905902254848,0.4423,D,0.4385,0.434,-0.004500000000000004,subC,subC
5459274728848445440,0.996,A,0.9965,0.9985,0.0020000000000000018,A,A
5461639091162745216,0.748,C,0.7725,0.7505,-0.02200000000000002,C,C
5461921596931681152,0.6046,C,0.6025,0.6045,0.0020000000000000018,C,C
5465519061538436352,1.0,A,1.0,1.0,0.0,A,A
5467297590316228224,0.3464,X,0.355,0.3345,-0.020499999999999963,subC,subC
5475463766253835904,0.812,C,0.8225,0.808,-0.014499999999999957,C,C
5475596566642395904,0.7054,C,0.6925,0.679,-0.013499999999999956,C,C
5477609772437107712,0.834,C,0.822,0.8225,0.000500000000000056,C,C
5481258192533175552,0.5806,C,0.588,0.5815,-0.00649999999999995,C,C
5482476554495650176,0.305,X,0.3025,0.3005,-0.0020000000000000018,subC,subC
5482681613414539136,0.5912,C,0.577,0.577,0.0,C,C
5490659910304696192,0.345,X,0.3355,0.322,-0.013500000000000012,subC,subC
5491934794036770944,0.56,C,0.561,0.576,0.014999999999999902,C,C
5493444560942326784,0.772,C,0.735,0.7515,0.01649999999999996,C,C
5493732186312467968,0.4907,D,0.503,0.472,-0.031000000000000028,C,subC
5494481537843688192,0.988,A,0.996,0.9945,-0.0014999999999999458,A,A
5495094962252842112,0.99,A,0.9905,0.9865,-0.0040000000000000036,A,A
5499247057459764608,1.0,A,1.0,0.9995,-0.0004999999999999449,A,A
5502772847653534464,0.916,B,0.914,0.904,-0.010000000000000009,B,B
5507141928905316736,0.998,A,0.9935,0.994,0.0004999999999999449,A,A
5507736219238568064,0.4945,D,0.5075,0.5075,0.0,C,C
5508454337768873344,0.804,C,0.8245,0.8125,-0.01200000000000001,C,C
5511289187984360832,0.998,A,0.995,0.997,0.0020000000000000018,A,A
5511378832541469696,0.6704,C,0.643,0.6635,0.020499999999999963,C,C
5516010937598299392,1.0,A,1.0,1.0,0.0,A,A
5551471974290966400,0.914,B,0.897,0.892,-0.0050000000000000044,B,B
5555649465641351936,0.968,A,0.9715,0.9745,0.0030000000000000027,A,A
5565366983768870144,1.0,A,0.999,0.999,0.0,A,A
5566151760193226496,0.93,B,0.921,0.9225,0.0014999999999999458,B,B
5569360650518152576,0.892,B,0.8785,0.8825,0.0040000000000000036,B,B
5569590379728716288,0.3754,X,0.389,0.393,0.0040000000000000036,subC,subC
5572405060775591936,0.846,B,0.8425,0.868,0.025499999999999967,B,B
5575260526833489152,0.3307,X,0.345,0.3175,-0.02749999999999997,subC,subC
5576846709795882368,1.0,A,1.0,1.0,0.0,A,A
5576915772869845248,0.7196,C,0.6955,0.7045,0.009000000000000008,C,C
5580533337923969536,1.0,A,0.9955,0.997,0.0014999999999999458,A,A
5580533784600551680,0.6695,C,0.654,0.6565,0.0024999999999999467,C,C
5580668818372690176,0.974,A,0.9725,0.978,0.005499999999999949,A,A
5581224862017718272,0.4941,D,0.4865,0.5015,0.014999999999999958,subC,C
5587900649951249280,0.994,A,0.992,0.993,0.0010000000000000009,A,A
5590490343427548672,0.76,C,0.751,0.7725,0.021499999999999964,C,C
5593438065394196608,0.94,B,0.9405,0.9415,0.0010000000000000009,B,B
5593743798340155648,0.6296,C,0.6435,0.639,-0.0044999999999999485,C,C
5598623534026709632,0.816,C,0.811,0.8245,0.013499999999999956,C,C
5599207649580489600,0.3565,X,0.364,0.353,-0.01100000000000001,subC,subC
5602125925243507840,0.908,B,0.909,0.902,-0.007000000000000006,B,B
5603412663072782848,0.976,A,0.9695,0.971,0.0014999999999999458,A,A
5605836330306291968,0.864,B,0.8695,0.862,-0.007500000000000062,B,B
5620185987839436160,1.0,A,1.0,1.0,0.0,A,A
5634494894711623040,0.75,C,0.7215,0.7265,0.0050000000000000044,C,C
5646312784989058688,0.956,A,0.9595,0.9575,-0.0020000000000000018,A,A
5655187840986439680,0.866,B,0.8845,0.883,-0.0014999999999999458,B,B
5658262831413017344,0.45,X,0.444,0.431,-0.013000000000000012,subC,subC
5668087620640416768,0.3598,X,0.365,0.368,0.0030000000000000027,subC,subC
5671614093732317952,0.908,B,0.9255,0.922,-0.0034999999999999476,B,B
5673744539245877888,0.874,B,0.854,0.86,0.006000000000000005,B,B
5675967098922897664,0.5779,C,0.5585,0.57,0.011499999999999955,C,C
5676643259917534720,0.4546,X,0.4575,0.4695,0.011999999999999955,subC,subC
5677015002223255296,0.5171,C,0.51,0.5105,0.0004999999999999449,C,C
5678102281784142464,0.63,C,0.6305,0.6145,-0.015999999999999903,C,C
5682208506741953664,0.6452,C,0.654,0.653,-0.0010000000000000009,C,C
5685646477738606848,0.542,C,0.549,0.54,-0.009000000000000008,C,C
5687611786053705472,0.56,C,0.563,0.5615,-0.0014999999999999458,C,C
5689889149512765568,0.3,X,0.275,0.292,0.01699999999999996,subC,subC
5690154097455223168,0.758,C,0.749,0.7375,-0.011499999999999955,C,C
5690806726325702656,0.673,C,0.676,0.6895,0.013499999999999956,C,C
5695814348959164672,0.5168,C,0.5115,0.516,0.0045000000000000595,C,C
5706615710670771456,0.6556,C,0.6415,0.671,0.02950000000000008,C,C
5711119069789486464,0.5466,C,0.546,0.555,0.009000000000000008,C,C
5727016526150639232,0.982,A,0.986,0.9865,0.000500000000000056,A,A
5731897365641654912,0.862,B,0.8635,0.868,0.0044999999999999485,B,B
5734715925043634560,1.0,A,1.0,1.0,0.0,A,A
5735348281669661568,0.4274,D,0.4455,0.431,-0.014500000000000013,subC,subC
5736224798594344448,0.864,B,0.88,0.8795,-0.000500000000000056,B,B
5747637596148048768,0.3329,X,0.323,0.3205,-0.0025000000000000022,subC,subC
5748088567714623872,0.778,C,0.7775,0.7615,-0.016000000000000014,C,C
5752530796552512768,0.408,X,0.402,0.408,0.00599999999999995,subC,subC
5755727630906247168,0.4308,D,0.436,0.4275,-0.008500000000000008,subC,subC
5760555071067924352,0.3494,X,0.34,0.3445,0.0044999999999999485,subC,subC
5762804461404900352,0.504,C,0.4955,0.498,0.0025000000000000022,subC,subC
5763141294214631296,0.998,A,0.992,0.991,-0.0010000000000000009,A,A
5769570791539890176,0.6134,C,0.6165,0.6125,-0.0040000000000000036,C,C
5773732374330774528,0.6035,C,0.602,0.5945,-0.007499999999999951,C,C
5775586185296458880,0.73,C,0.716,0.706,-0.010000000000000009,C,C
5777289912923470976,0.3088,X,0.308,0.3165,0.008500000000000008,subC,subC
5779760068876425728,0.3428,D,0.332,0.353,0.020999999999999963,subC,subC
5780908577491001088,0.4932,X,0.4875,0.487,-0.0005000000000000004,subC,subC
5781323986728492672,0.708,C,0.6485,0.662,0.013500000000000068,C,C
5782292793912512640,0.4944,D,0.4985,0.514,0.015500000000000014,subC,C
5782598045830881664,0.512,C,0.5015,0.54,0.03850000000000009,C,C
5783014245334461440,0.954,A,0.966,0.951,-0.015000000000000013,A,A
5784074827379395328,0.848,B,0.8655,0.869,0.0034999999999999476,B,B
5791792333857146240,0.5214,C,0.5365,0.5075,-0.029000000000000026,C,C
5792532133385259136,0.3808,X,0.394,0.3825,-0.01150000000000001,subC,subC
5794228404950250752,0.714,C,0.698,0.69,-0.008000000000000007,C,C
5794407350469133568,0.5751,C,0.571,0.5905,0.019500000000000073,C,C
5797170354474113152,0.481,X,0.5015,0.4825,-0.01899999999999996,C,subC
5800526407576098304,0.774,C,0.753,0.7645,0.011499999999999955,C,C
5801450066035923200,0.826,C,0.8335,0.8195,-0.014000000000000012,C,C
5802472783649080832,0.814,C,0.797,0.7975,0.0004999999999999449,C,C
5805223074548304512,0.92,B,0.9155,0.911,-0.0044999999999999485,B,B
5807717179240222464,0.736,C,0.6755,0.7155,0.040000000000000036,C,C
5808278514287531392,0.6446,C,0.653,0.6375,-0.01550000000000007,C,C
5810715684887952512,0.5944,C,0.585,0.5955,0.010500000000000065,C,C
5811341925478455680,0.349,X,0.336,0.356,0.019999999999999962,subC,subC
5813562079977152768,0.5054,C,0.486,0.4945,0.008500000000000008,subC,subC
5813725907205259904,0.343,X,0.346,0.3395,-0.00649999999999995,subC,subC
5813833796785259264,0.892,B,0.8905,0.9005,0.010000000000000009,B,B
5814050228778275712,0.704,C,0.7155,0.739,0.023499999999999965,C,C
5814721996024392960,0.776,C,0.75,0.7455,-0.0044999999999999485,C,C
5815651152077075072,0.946,B,0.953,0.9415,-0.011499999999999955,A,B
5816474514486049536,0.6401,C,0.639,0.638,-0.0010000000000000009,C,C
5816620749528020224,0.902,B,0.8875,0.882,-0.005499999999999949,B,B
5816763754765392384,1.0,A,1.0,1.0,0.0,A,A
5816938817630178944,0.5678,C,0.562,0.551,-0.01100000000000001,C,C
5816984206839975168,0.87,B,0.8675,0.88,0.012499999999999956,B,B
5817258569349424896,0.5688,C,0.5655,0.5595,-0.006000000000000005,C,C
5817316499870133760,0.6848,C,0.6915,0.6785,-0.013000000000000012,C,C
5817334126415811328,0.488,D,0.457,0.5105,0.053499999999999936,subC,C
5817948134948146304,0.77,C,0.7475,0.7475,0.0,C,C
5818243456891446272,0.6128,C,0.632,0.6105,-0.021499999999999964,C,C
5818250431918510464,0.3464,X,0.347,0.358,0.01100000000000001,subC,subC
5818377318130339584,0.6856,C,0.6625,0.673,0.010500000000000065,C,C
5818787264164070784,0.5444,C,0.5325,0.548,0.01550000000000007,C,C
5818800462608599808,0.632,C,0.62,0.627,0.007000000000000006,C,C
5819812975383157760,0.882,B,0.9105,0.9085,-0.0020000000000000018,B,B
5820005149403929728,0.6342,C,0.656,0.636,-0.020000000000000018,C,C
5820366064094474624,0.954,A,0.9395,0.945,0.005499999999999949,B,B
