source_id,tier,J_R_catalogue,J_z_catalogue,J_phi_catalogue,J_R_timeavg,J_z_timeavg,J_phi_timeavg,J_R_fracdiff,J_z_fracdiff,J_phi_fracdiff,action_max_fracdiff,action_reliability_flag
1454381071520615168,A,621.0521833363747,76.15471089407443,35.43723154152046,622.4488554105629,86.48632456851054,35.43723061755986,0.0022438342717603847,0.1194595067599604,2.6073160419027294e-08,0.1194595067599604,sampled_ok
4098367886797895552,C,264.7060288983063,16.98051388859846,9.447049760380333,242.99751773515976,49.136876609570045,9.44704959418913,0.08933634946348042,0.6544242316514827,1.7591863085354212e-08,0.6544242316514827,sampled_poor
2564595173682576256,C,869.5614357728385,149.02238195190077,51.50617819098336,935.1022278034911,91.82253237877704,51.506173594376726,0.0700894405787105,0.6229391424010033,8.924379964336974e-08,0.6229391424010033,sampled_poor
1246301072944807168,C,519.9281420571523,247.5593477156139,17.64655668095343,673.1331197121893,100.39208345810572,17.646555180919577,0.22759982114762486,1.4659249931686302,8.500434437176395e-08,1.4659249931686302,sampled_poor
4627302725674241536,B,624.0068047754488,58.73397135001186,9.589617646003148,607.3021031479843,87.6543006798716,9.589616997375893,0.02750641162096218,0.32993622794940425,6.763849434186756e-08,0.32993622794940425,sampled_caution
1605770800325684992,A,679.7415949813667,16.672056308877657,31.31055678698995,621.5818279347159,82.44222977769314,31.310553675189766,0.09356735418069409,0.7977728604159041,9.938502573751243e-08,0.7977728604159041,sampled_poor
4403308915493808000,C,255.0812476228006,253.8706878633601,14.837753205832191,326.11632642334206,212.0562263947501,14.837753505482386,0.21782128965947126,0.19718572842454962,2.0195118777550313e-08,0.21782128965947126,sampled_caution
4080139491484995456,C,221.72514571318956,27.02233666264711,8.671765023393174,217.94730415027564,37.75215586707999,8.671764979812776,0.017333738435732528,0.28421738992101697,5.025551091213339e-09,0.28421738992101697,sampled_caution
4823853627575696768,B,1173.9859596248834,137.4306658712773,70.1267458639661,1219.9515636231147,83.63389310668869,70.12673764416823,0.03767822048747471,0.6432412837216851,1.1721346434958416e-07,0.6432412837216851,sampled_poor
4045563527285331584,C,75.9989878811206,67.68251824822947,6.413708172741637,88.36698792233673,60.39621204216876,6.413708179130218,0.13996177002305457,0.12064177470225108,9.960823038978153e-10,0.13996177002305457,sampled_ok
30465165103355904,C,1086.9366578920753,82.02870966255061,78.33805054508186,1083.4293986103366,82.57221492545716,78.33804488111524,0.0032371830469408456,0.006582180984211263,7.230160807537499e-08,0.006582180984211263,sampled_ok
907765016165268096,C,1040.2103715847895,53.91759023053626,81.47229419961619,1006.741948502674,86.47742712346037,81.4722865874789,0.033244291778934135,0.3765125533445824,9.343222831024016e-08,0.3765125533445824,sampled_caution
6735586756923018368,C,72.09451325501477,145.7733244017489,-0.1295171835231157,90.44182535213741,143.6754002424193,-0.12951709366488637,0.2028631335743937,0.014601832713114715,8.985822932960907e-08,0.2028631335743937,sampled_caution
1134163222058515200,B,873.4991367609856,52.12633820644609,66.03531888258118,839.167156709867,91.5725913621364,66.03531429105755,0.040911968225406325,0.4307648453421469,6.953133612648799e-08,0.4307648453421469,sampled_caution
4364961111010691712,A,536.0626440435723,13.159493904993885,18.101305017922407,473.91498436515303,86.79741421832742,18.10130316841411,0.1311367264777901,0.8483884108356856,1.0217542242216719e-07,0.8483884108356856,sampled_poor
4397483324932801280,C,366.13252158370017,118.04522680464868,29.893298843205333,420.3583517878914,76.2061894121142,29.89329851110536,0.12899905514795876,0.5490241372163859,1.1109512464395324e-08,0.5490241372163859,sampled_poor
5605836330306291968,B,966.2400749671452,3.9505152110130273,25.05840815723985,884.5476097484337,83.1173078473127,25.05840745945245,0.09235507995091968,0.9524706067445042,2.7846438387854382e-08,0.9524706067445042,sampled_poor
609201945132157312,A,761.4297061199194,6.430100233745444,14.376709939159257,689.9642981554459,82.06545048789842,14.37670941079967,0.10357841435495929,0.921646683281247,3.675107926964811e-08,0.921646683281247,sampled_poor
4065262966083493248,B,398.8339864086555,2.9239374853308298,-3.773778224161766,332.22182404612215,85.82768547918309,-3.773778174125848,0.20050507685276459,0.9659324672568503,1.3258839223399393e-08,0.9659324672568503,sampled_poor
4446549203122721024,C,402.17427422129657,119.04795454920666,11.714120995829811,456.50251002155386,78.91454771923071,11.714121045959688,0.11900971978816101,0.5085679128868128,4.279439912015512e-09,0.5085679128868128,sampled_poor
1622238254693785344,A,693.5333848483508,30.617454994092096,-0.7953058003893752,640.6458815540208,92.96254994249485,-0.7953057702086068,0.0825534118256412,0.6706474272378332,3.018076832894678e-08,0.6706474272378332,sampled_poor
5576846709795882368,A,889.2449370105219,25.855753269344888,66.4531797017993,822.2237313075228,96.4129412829477,66.45317651749511,0.08151212760110936,0.7318227934415489,4.7918013221787895e-08,0.7318227934415489,sampled_poor
4803516579472199296,B,929.4017902163744,66.31543017262634,36.76796215841488,914.2435880623518,88.33070915635003,36.76795912809908,0.01658004754088442,0.24923697764902444,8.24172968691217e-08,0.24923697764902444,sampled_caution
2260725447217651968,A,804.9821375249703,53.33486385515606,29.962463307637478,775.666584846612,92.27756044290118,29.96246163137077,0.03779401259647598,0.42201697141572997,5.5945560483697644e-08,0.42201697141572997,sampled_caution
6737191807708281472,C,155.76588127568775,66.31007403379641,11.237347591055128,188.14112318913877,34.9568997743566,11.23734729534312,0.1720795611542305,0.8969094645641207,2.631510800525962e-08,0.8969094645641207,sampled_poor
5889762633872508288,C,359.7970518513965,12.36487770439593,-6.692732641870612,320.0844258581519,65.27680787953712,-6.692732421384769,0.12406922294570977,0.8105777824305643,3.2944069631735475e-08,0.8105777824305643,sampled_poor
4122681593586124032,C,251.5788565776072,27.644644300757353,-4.9896951031103915,243.6084152253848,44.12729684269183,-4.989695137613795,0.03271825131676271,0.3735250903923035,6.9149322229358234e-09,0.3735250903923035,sampled_caution
5816763754765392384,A,654.2230965154934,0.027281408831349444,62.94567068411437,592.8306268665502,62.489377329227885,62.945667517747836,0.10355819498300471,0.9995634232569223,5.03031687070865e-08,0.9995634232569223,sampled_poor
4038020740082070400,C,142.28202222721237,40.679156036791646,15.976714334395819,159.94185256230267,23.849487364503922,15.976713670797576,0.1104140664383715,0.7056616528091897,4.153534053974233e-08,0.7056616528091897,sampled_poor
6760231043066168320,C,279.9603023789111,49.986037875011945,4.0804632107551075,287.2026451982402,52.18334836031358,4.080463140267172,0.025216838843284746,0.04210750276371172,1.7274493866364682e-08,0.04210750276371172,sampled_ok
6735304392903260544,C,102.99937198690458,125.33795436261482,12.516107143707911,131.52680441167922,103.88216434831445,12.516107213091763,0.21689443876005465,0.20653968993521948,5.543564813867143e-09,0.21689443876005465,sampled_caution
