source_id,static_E
1454381071520615168,-142399.45594666034
4098367886797895552,-184291.47932799446
2564595173682576256,-124022.40753803594
1246301072944807168,-139320.822415087
4627302725674241536,-144527.2155093665
1605770800325684992,-143201.22614425444
4403308915493808000,-160100.28634813873
4080139491484995456,-189358.51441093604
4823853627575696768,-112124.33301850165
4045563527285331584,-211735.83203223385
30465165103355904,-117094.39612532646
907765016165268096,-120137.05464652229
6735586756923018368,-199772.82628666883
1134163222058515200,-128264.55029302869
4364961111010691712,-154895.31672796435
4397483324932801280,-159648.17989387896
5605836330306291968,-127925.18705202833
609201945132157312,-139445.6749149443
4065262966083493248,-169985.87303225245
4446549203122721024,-157177.2057880501
1622238254693785344,-142154.91723917832
5576846709795882368,-129029.39120914701
4803516579472199296,-125580.50569457289
2260725447217651968,-132891.5248639127
6737191807708281472,-194300.17269208134
5889762633872508288,-172963.49804574606
4122681593586124032,-185087.4948044601
5816763754765392384,-145279.42999769657
4038020740082070400,-200424.1901396619
6760231043066168320,-178321.3591840811
6735304392903260544,-195170.3018867043
4780282558746990080,-138834.9346910717
5916045256703964544,-172812.11657942005
4044913307943727360,-189076.89442898857
810445730162365312,-124135.46785607853
5876158823216894336,-164167.2989014361
6763544936741265280,-187077.80513330907
6763240234575156352,-179782.84716685032
4233747897318977664,-164837.6230976223
4987471265709771520,-135416.7545848707
6733060564550315008,-184512.28712778215
6333908397352626176,-155320.26079335576
6207005544120495872,-164283.66930318825
6688282163217863936,-163332.3708786032
4254009869393663744,-172163.57733094617
3232335246724699904,-139881.82066171413
4148968064748132352,-185399.43816996706
1110075499275305472,-139155.70343257254
3262320754175934336,-131731.96994361878
5814050228778275712,-167035.5937763754
2308195315557676416,-142793.22631893487
6725956723035542016,-189432.41984468943
4161659486910404736,-188930.35947847366
5816984206839975168,-165673.34329126775
3432536316782347392,-118104.10420821096
4902531381123134464,-145524.73527054323
4139276556887926400,-187449.3715179417
4076649027478050688,-187332.84553448902
4469009098941937408,-160326.33608690932
4089437928231677568,-198658.51638945713
6333764361329271808,-154554.08457412146
1772492325424795904,-145695.22160110634
4185203604269449984,-177341.82593772077
6108497003152436096,-156021.58787960702
5516010937598299392,-126792.36469910084
6870071807985278720,-167131.18486180282
1165218034631512576,-152050.85899439888
6132947118094648320,-148065.3871382677
5465519061538436352,-144301.819921143
4405926028044557056,-161184.77948297217
6761283447501038848,-187572.81499085773
4001466724394139136,-128991.67539569263
4038271226927734912,-209904.69311806915
4123634801473573376,-189493.1457293624
4482408125594381184,-159862.72913055724
4372608759839749376,-173480.2920999638
4049838158028311424,-197260.39286532768
6717568651857762304,-184214.30001716115
6865189907638173952,-169560.30917898696
3168941121415464704,-138795.20218769988
4045426191412981632,-190307.7134412784
6209253362502782464,-151151.0675424081
6648152428350894848,-172874.22066800419
722905328777590784,-127626.87853864225
4046672144244076160,-198840.85372685644
4186954404726221184,-171193.57604617233
4796586598199456000,-132441.58148182326
4130887278868131072,-182126.00734446666
4078031697672879744,-188507.8932585332
6192851977609915520,-148713.822048732
2040754058596128896,-150577.77803558754
5957334044324505344,-189698.96098589053
4158036694857592192,-184504.23620158454
6720923364932035712,-190616.73235916506
4123037594829403520,-192474.8910113375
3617059489180390144,-146413.17490422618
2739862584191154688,-142783.312926989
2712478319387225600,-144547.36544741958
4039081974959195392,-179940.28674428767
4605148051709428096,-148363.4577639805
4751364750101200512,-119986.17121557203
6568723429179272960,-149075.7982898326
4126182816520536064,-193632.64943892765
4036193768463500032,-192582.86053951754
4110909844184739072,-166377.25431987114
6022125554441500288,-189927.3895545824
528886469017207424,-131817.37346761077
4077922055803817088,-183346.13994370398
3572451065491937280,-142946.63502450899
6871743267517995008,-173222.72036507417
1528927066531942656,-143527.31338477499
6029905492639226368,-184213.8388059474
4334183512807254144,-174292.09061731063
6735789552409183104,-190957.29274495144
6773155767872820352,-179141.1219602021
2145508517097287936,-143796.3152631075
4171591164967909120,-179941.0616908292
4035695891465993472,-198149.29550141672
6235865117312439808,-178486.82590660866
4072331760661612928,-199935.57369369103
1444930322403826304,-144410.84183731215
2078943464685299840,-127908.88767147045
