sample,rank,source_id_1,tier_1,vgrf_1_kms,source_id_2,tier_2,vgrf_2_kms,sep_pc,dv_kms
tierAB_headline,1,2826770250994112512,A,18.359145310967254,2826770250994112640,A,15.975827224761415,38.93790860171215,6.132473632567834
tierAB_headline,2,2067806477040504192,B,12.545429997201472,2067929587982279552,A,10.351119135141644,56.51264073188298,19.468452497977076
tierAB_headline,3,4741714714501659008,A,16.205573557706877,4936212102342356736,A,18.159338964735635,62.54248833301801,19.849143963805613
tierAB_headline,4,5465519061538436352,A,7.332354023021708,5661244569508760064,A,24.43215147945253,64.04478042746926,17.511689856942546
tierAB_headline,5,2067929587982279552,A,10.351119135141644,2069119053409349760,B,21.32183713240909,74.39913410086581,15.721342170098822
tierAB_headline,6,2020424226064132608,A,14.132932718005128,2728314787225296000,A,23.16017615412458,75.37651640277761,26.72733483627674
tierAB_headline,7,5947562894963495424,A,21.480630906403885,5948656737248094720,A,14.531050738220094,75.61426696447522,12.73098694022287
tierAB_headline,8,1506596947444170880,A,15.58960091934974,1511010421478640256,A,19.92011689996349,79.36550546083065,8.372430221645754
tierAB_headline,9,1338748491647110400,A,22.63809841711559,2020424226064132608,A,14.132932718005128,81.94714771286239,34.802709641290484
tierAB_headline,10,2944504890945973760,B,20.77506006282636,3100026206493299968,A,15.276537002258426,82.42020559712792,26.944413986343985
tierAB_headline,11,2067490779766225408,B,13.996241053886488,2067929587982279552,A,10.351119135141644,86.81553208896521,17.677259271075155
tierAB_headline,12,5816763754765392384,A,5.287273557796577,6025048640456450688,A,15.721305242664595,93.85974498201668,18.81765425831384
tierAB_headline,13,1080715442139486720,A,18.19487885762512,1692468013729660544,A,21.92933543873597,95.74883446059667,19.510205564567123
tierAB_headline,14,2067806477040504192,B,12.545429997201472,2069119053409349760,B,21.32183713240909,98.89196483103332,25.045304950601707
tierAB_headline,15,3506183087368009216,A,11.223885821857722,6157933103219224064,A,13.738880421887286,101.811810621358,23.556151786725493
tierAB_headline,16,3566782705092606208,A,11.328619668956255,5661244569508760064,A,24.43215147945253,102.01186917702657,23.35465632404716
tierAB_headline,17,3566782705092606208,A,11.328619668956255,5465519061538436352,A,7.332354023021708,102.57668566490115,12.745957772932
tierAB_headline,18,4948654828757666432,A,16.50742540096047,4966393593445830528,B,18.793415202124248,105.95191303015207,14.772715785224182
tierAB_headline,19,3799290794021416832,A,18.528801577941728,3896383443190677376,A,16.920702098892328,109.8879382216281,4.382368802527248
tierAB_headline,20,1438146507459250560,A,17.627896458337794,1636186487405423744,A,20.256939478765293,110.69979574090772,31.147356525469462
tierABC_statistical,1,6060066333473620992,C,22.327444247232616,6060252563265634304,C,17.98239075735711,20.24939276543999,8.171607356181472
tierABC_statistical,2,4233272259754700544,C,22.75852472945509,4233367642387220992,C,23.79910551334826,23.56352825042394,41.45495339127019
tierABC_statistical,3,4046324595488204160,C,16.142931186432392,4046366037744157184,C,19.12283105626618,24.19313833665067,32.519643400954905
tierABC_statistical,4,6314078017951256576,C,18.034466320941405,6314664573044824832,C,22.817188051267287,29.122672319432954,19.846268670265097
tierABC_statistical,5,1080715442139486720,A,18.19487885762512,1725076436233168384,C,24.672007015852667,37.96854182398629,32.254249585680135
tierABC_statistical,6,2826770250994112512,A,18.359145310967254,2826770250994112640,A,15.975827224761415,38.93790860171215,6.132473632567834
tierABC_statistical,7,5935007434253166464,A,17.793798939773016,5980998081484204544,C,24.27724401780217,41.57402321523085,35.80124015622174
tierABC_statistical,8,5465519061538436352,A,7.332354023021708,5646312784989058688,C,23.84974602503388,44.179823539296876,29.857897724074697
tierABC_statistical,9,5960579222913840000,C,21.698901870937487,5960987725819596032,A,16.90285500147801,50.62157542644347,21.47578124117437
tierABC_statistical,10,4076491762930723584,C,16.563810583389824,4078031697672879744,C,8.212279676659604,53.93097366310203,24.066315045389736
tierABC_statistical,11,2030594360695267712,C,21.897111929955475,2030861340199136256,C,24.125042398376785,55.88756457683574,38.93830993106583
tierABC_statistical,12,2067806477040504192,B,12.545429997201472,2067929587982279552,A,10.351119135141644,56.51264073188298,19.468452497977076
tierABC_statistical,13,6726963394620177408,C,14.341716810174198,6727168419180571008,C,13.63404991762113,57.37953638450631,10.317033127556979
tierABC_statistical,14,1291384760535820544,C,21.331696625501756,1388416077571124096,A,20.148947806206984,57.43973379267661,19.15050894644817
tierABC_statistical,15,4127683031428921344,C,16.40184376417729,4127996048637257088,C,21.527658514900835,59.93739697414581,33.35120005485313
tierABC_statistical,16,4741714714501659008,A,16.205573557706877,4936212102342356736,A,18.159338964735635,62.54248833301801,19.849143963805613
tierABC_statistical,17,2221777481188424320,A,15.028563561122928,2247088479377521920,C,23.492801125965496,62.6031355054184,32.03406999560219
tierABC_statistical,18,6108497003152436096,B,6.979070010783921,6108941579508169984,C,18.341620890495605,63.338057386826414,12.550251409712839
tierABC_statistical,19,5465519061538436352,A,7.332354023021708,5661244569508760064,A,24.43215147945253,64.04478042746926,17.511689856942546
tierABC_statistical,20,4038757589074380800,C,18.09920978156013,4038841216273068928,C,18.45072271882989,66.58762119917975,33.86650847364817
