source_id,tier,potential,n_realisations,grid_min_rsph_pc_p16,grid_min_rsph_pc_p50,grid_min_rsph_pc_p84,interp_min_rsph_pc_p16,interp_min_rsph_pc_p50,interp_min_rsph_pc_p84,interp_minus_grid_pc_p16,interp_minus_grid_pc_p50,interp_minus_grid_pc_p84,interp_minus_grid_pc_min,interp_minus_grid_pc_max,grid_P_lt_10pc,interp_P_lt_10pc,grid_P_lt_100pc,interp_P_lt_100pc,grid_P_lt_1kpc,interp_P_lt_1kpc,quadratic_used_fraction,n_cross_10pc_grid_to_interp,n_cross_100pc_grid_to_interp,det_grid_min_rsph_pc,det_interp_min_rsph_pc,det_interp_minus_grid_pc,det_grid_t_myr,det_interp_t_myr,det_quadratic_used,point_min_rsph_pc,point_R_peri_pc
4051445163000749184,C,barred,5000,15.919315293431282,27.73264143615961,53.06015208363532,12.087871510209528,24.816205556393935,51.957317689183085,-4.910110255426634,-1.3117065536659291,-0.11822272193141432,-14.401922235933862,3.617987593546035e-07,0.0482,0.1094,0.9468,0.947,1.0,1.0,1.0,306,1,12.026244774460793,7.750562162594319,-4.275682611866474,530.0,530.0205667442291,True,12.026244774460793,11.61612756550312
4049838158028311424,C,barred,5000,21.292902678251266,39.30562175810337,79.92439597845076,17.013516165506406,37.49764080596799,78.9029209957113,-4.414560880834147,-1.1554178644287498,-0.10181180926194554,-14.747494540752248,7.58786200538708e-07,0.0214,0.0528,0.8936,0.895,1.0,1.0,1.0,157,7,14.32194747030735,11.264657076424719,-3.057290393882632,2067.8,2067.7810666502037,True,15.606801025569439,15.157724730670452
4040618645539029632,C,barred,5000,21.734999790787697,40.82057625055313,84.02863919734952,17.486283624599302,38.97596988564443,83.13163265568316,-4.337059656582727,-1.1209280385355949,-0.10488137441817096,-16.369123024231673,5.772668898451627e-06,0.0178,0.0492,0.8844,0.8858,0.9996,0.9996,0.9998,157,7,17.671193927526474,9.098076623519917,-8.573117304006557,1982.0,1982.0318676350164,True,17.671193927526474,13.167778961360455
3617059489180390144,B,static,5000,37.63895481824875,103.89786213636398,234.4513767957687,36.04705292160411,103.25457263392502,234.1632127930471,-1.9361902007778242,-0.42020087031944403,-0.037005031607950954,-16.030315289489067,4.998928160304672e-06,0.0098,0.0196,0.4876,0.4902,1.0,1.0,1.0,49,13,12.678754515945911,12.207126188415117,-0.47162832753079414,1569.8000000000002,1569.7940014987528,True,15.884382650256157,14.072262682020664
4038757589074380800,C,static,5000,25.728792771697044,136.09271496534348,358.23035240173334,24.63977864477212,135.91962470585432,358.22418076729167,-0.7328447774066343,-0.07235987707545233,-0.0048062062936571354,-10.277194389181652,2.219912742518204e-05,0.0442,0.0574,0.4528,0.453,0.9996,0.9996,1.0,66,1,11.972413398325443,11.11638608033189,-0.8560273179935521,2263.7000000000003,2263.7096308350247,True,16.779927536845207,9.979693219065666
4074194608222495104,C,barred,5000,43.35338622331619,124.90328773856163,405.6445527076721,41.031593741432204,124.51726346953151,405.36933678903443,-1.8461562612435027,-0.2964817174399281,-0.0269367105709728,-15.279543742166256,6.727520762694894e-06,0.0026,0.008,0.4308,0.4342,0.9954,0.9954,0.9998,27,17,14.908174984157085,7.949396807169089,-6.958778176987996,3256.0,3256.025283112827,True,14.908174984157085,14.825714752078056
4233272259754700544,C,static,5000,37.079410552978516,120.48101052641869,274.61634039878845,35.745403058830114,119.88294486539772,274.5581692873962,-1.6311846662340421,-0.33229115291098266,-0.0241411407566783,-17.52924936884355,8.949545438063922e-06,0.0174,0.029,0.422,0.4256,1.0,1.0,1.0,58,18,16.69386588037014,14.382951806408808,-2.3109140739613308,558.0,558.0149099747879,True,16.69386588037014,12.44601421058178
5605836330306291968,B,static,5000,50.35004839301109,165.49501568078995,376.9414436817168,48.68552883376591,164.71816915303714,376.8758887703249,-1.5322843269896296,-0.32641928083634864,-0.028271111162352654,-18.283340084943923,8.798139994325993e-06,0.005,0.0104,0.3314,0.3336,0.9944,0.9944,1.0,27,11,18.652260303497314,15.24558370206987,-3.4066766014274434,2894.0,2893.98205277836,True,18.652260303497314,15.345986001193523
5890592662052286208,C,barred,5000,58.4298600256443,148.57866615056992,272.9884624481201,56.705827282830256,147.93660262773642,272.8160756275669,-1.7450195761290952,-0.43550120367551526,-0.04318854923040408,-15.73558633929175,5.571703876050549e-06,0.0024,0.0058,0.3244,0.3296,1.0,1.0,1.0,17,26,15.470369718968868,12.56965105290563,-2.900718666063238,2946.0,2946.0168509851032,True,15.470369718968868,14.695122838020325
4046672144244076160,C,static,5000,56.765590906143196,194.46217268705368,354.99311208724976,56.082054806917505,194.35622599202765,354.92141787773176,-0.3251538674060553,-0.056855432278082874,-0.004349943628834125,-7.14447671489897,2.4113209873277697e-05,0.0112,0.015,0.252,0.2522,0.9938,0.9938,1.0,19,1,14.94481973350048,14.943401720685046,-0.0014180128154357707,1348.3000000000002,1348.3004411401635,True,19.923485815525055,13.316371478140354
