source_id,J_R_catalogue,J_z_catalogue,J_phi_catalogue,J_R_timeavg,J_z_timeavg,J_phi_timeavg,J_R_fracdiff,J_z_fracdiff,J_phi_fracdiff
231283683952040960,799.6822937882649,1.6012561571357,61.31569998021498,712.7065193809357,87.82149643211184,61.31569539933349,0.12203589000824255,0.981766922425724,7.470976978465734e-08
347579131898942336,733.2880978932106,5.157873801504719,-81.36822820324251,691.3854683695895,47.847984102130255,-81.36822425042457,0.06060675475640969,0.8922029026239564,4.857938059628363e-08
366349822607618944,732.7352610181365,9.210072828947416,32.380290631936056,661.8465770049485,86.27874173855449,32.38028819201407,0.1071074271230355,0.8932521193128179,7.535207750077743e-08
528886469017207424,878.0682015670305,3.289615875909262,46.62480138874811,803.5242877295661,76.22121217803179,46.62479848399966,0.09277120178668809,0.9568412023122169,6.230050409506969e-08
609201945132157312,761.4297061199194,6.430100233745444,14.376709939159257,689.9642981554459,82.06545048789842,14.37670941079967,0.10357841435495929,0.921646683281247,3.675107926964811e-08
627195418560263808,686.1299337690928,5.719567166163351,-79.11588761193052,635.3926289461034,56.58325533737861,-79.11588359866496,0.07985189394964338,0.8989176721618377,5.072642016020022e-08
643909953807675008,786.7496126615946,40.07149337341982,-24.358159846915118,742.5243480944941,93.85959122341094,-24.358157797298542,0.059560692764612636,0.5730698072396359,8.414497488162866e-08
823565034185868416,771.9814501310843,35.95826524383689,28.165964618809912,719.1750183023081,100.06499352493414,28.165962828667844,0.07342639897786164,0.6406509012077553,6.35569278866104e-08
1059923131798151168,950.9921525311186,113.64293038416609,-48.01309561105571,981.2667477878059,89.49440758742786,-48.01309060326703,0.03085256412177342,0.26983275768541554,1.0430048590525843e-07
1317987238211656064,640.8358820800175,6.3729168038476836,58.6019981883729,573.7475360074928,78.50160033820065,58.60199377938288,0.1169300813723208,0.9188180014624939,7.523617779031829e-08
1344863597361993984,587.6565672834715,24.567629882236155,102.71792660538621,527.8365035230347,90.86662433134263,102.71792461543397,0.11333066841942334,0.7296297726142994,1.9372979409348475e-08
1347177897539700736,638.8810922788628,2.7900945622844007,91.52212631894558,605.9714659126645,35.21246236997444,91.52212229411687,0.054308871320586836,0.9207640030120839,4.397656666173082e-08
1362491586253153408,644.0836045547572,102.12000057824196,-49.896163981745104,668.7258173235999,88.57203493799669,-49.89616087106971,0.03684950114153913,0.15295985521535418,6.234298069047215e-08
1444930322403826304,650.2783568580243,8.359196289178978,71.44178729061518,601.543977494874,59.757522818067486,71.44178807186991,0.08101548878621363,0.8601147454751654,1.0935542737305279e-08
1663528863390894080,715.7926836541001,66.48702062377346,-57.674497562948915,702.1253893005288,89.44140285318483,-57.6744943967385,0.01946560338344536,0.2566415719920029,5.4897930969197926e-08
1718009565763783680,828.7490870009722,57.757074914654886,-49.515372679360475,801.7776549371732,92.65710834872526,-49.515369877272676,0.03363954071021399,0.3766579170884574,5.6590262903628635e-08
1747918854725040896,624.079551263828,3.5446123913003427,-90.82240527400614,604.3755494151887,23.874062627606136,-90.82240092539632,0.03260224849881069,0.851528730296551,4.7880366257365905e-08
1772492325424795904,644.1248103371612,25.339268539047133,-12.039561025750858,587.8181751083935,91.10341848275168,-12.039560984990137,0.09578920423545054,0.7218625935113013,3.3855653932462747e-09
1846633734516771840,666.184592818043,6.243962694320408,19.889906906087266,577.2959508957513,104.49412661654786,19.88990658583103,0.15397413022621972,0.94024580235755,1.6101444850662092e-08
1853427857385706496,717.9156980638561,25.373604904036412,-59.42092460287963,655.0382554913582,95.58788058458282,-59.4209202271573,0.09599048917430354,0.7345520713623933,7.363942379168191e-08
1863195815616129536,649.468094587285,1.3883784410011775,-43.58810515695761,603.7667302960001,47.23395722726505,-43.588101217476655,0.07569374395452289,0.9706063492770459,9.037973310947581e-08
1864137238090044160,647.378252017053,2.4662355756348444,70.62816981061819,627.912742355492,21.857040049725608,70.62817024503275,0.031000341844537076,0.8871651618872426,6.150726515054923e-09
1871905145997313280,669.8913896041526,4.570729591495095,-143.29816037612207,577.5194689144482,98.3242285955065,-143.29815272361597,0.15994598565366805,0.9535136999620053,5.340268491653436e-08
1926255277061978624,769.3609559803513,7.163682191143717,26.009899365611407,685.0593869803014,96.53750100141173,26.009897248166794,0.12305731532509304,0.9257937887677561,8.140918790774523e-08
1958311371069950080,675.4959529287943,0.6002653022478702,53.22417063416446,594.6457435704328,82.90408478281907,53.22417045086628,0.13596365606337707,0.9927595207905573,3.4438897794788994e-09
1994900983444750848,831.0024056034777,3.594811604027922,100.71136509720188,770.7560817209994,62.11175104843601,100.71136398906387,0.07816522673159572,0.9421234864039718,1.1003107932702346e-08
2000611267027733632,840.747664121795,3.6063252061685085,-117.32000709947228,797.0900188460919,43.51139916101776,-117.32000543896405,0.05477128585665157,0.9171176915542757,1.4153666512676611e-08
2067929587982279552,641.5429230180677,0.09517600632428895,91.43121990502088,641.2581961611259,0.2021102456280167,91.43121726452654,0.0004440128151909969,0.10693423930372774,2.8879571147176885e-08
2074704228890789504,669.4264382063383,2.569575082452243,-57.22898292277911,632.5496246446916,38.56215207563367,-57.228982827515246,0.058298688553266836,0.9333653610044267,1.664608728756646e-09
2096996208656812160,587.4921804953625,39.86163387728382,-116.23308532887438,544.8873055952755,89.2447289868668,-116.23308288430101,0.078190250465722,0.5533446699899797,2.103164871789588e-08
2100351230949905280,605.1753869256744,12.545224132002561,-85.87020997695097,587.3648114103682,32.33784959950632,-85.87020892228941,0.030322850755290832,0.6120575645143059,1.2282042633932005e-08
2135290927342520448,857.5871167811007,37.20783130609939,-170.8554019382727,805.058905840655,90.37681122229598,-170.85539179312377,0.06524766145602089,0.5883033401722829,5.937857054318063e-08
2140901838255266688,633.3794788316411,0.7650754807809037,-124.35511653915722,603.4283865380938,30.58799768811206,-124.355112155784,0.049634874596103364,0.9749877226818855,3.524883816608315e-08
2145508517097287936,672.2470734503081,16.453371007174194,28.673060486061164,618.7338988463703,78.41629087727196,28.673058418958508,0.0864881893552514,0.7901791729358241,7.209215793977107e-08
2281103241675421824,950.8714834220515,29.135290815457743,-108.93212796391373,885.6435966306125,95.47198683079824,-108.93211789144661,0.07365026635950996,0.6948289044503364,9.246554014458233e-08
2308195315557676416,617.3601006355827,87.15605974745912,-12.399921000490583,631.1620212312761,86.5094065143937,-12.39992094829371,0.0218674763870748,0.0074749470505017235,4.209452045669859e-09
2560193656837956864,699.2912437665622,4.947412899882951,-26.99577910040107,663.1320496371087,44.208413374049755,-26.99577732263895,0.0545278940284083,0.8880888834887011,6.585334060218978e-08
2639947316874830848,653.9077826432771,21.177135269109936,-70.5534005235054,588.2930608834941,94.69142936652186,-70.55339839737405,0.11153407395498295,0.7763563670885181,3.0135066453150616e-08
2729064001321068160,647.9718838187694,47.029936681567406,-9.425544253436666,616.7466649165113,90.08917538382194,-9.425543451904488,0.050628922179068364,0.47796240246180605,8.50382984927027e-08
2739862584191154688,672.9709933123091,16.529040704329834,53.75347021476999,601.9949173693984,94.9394169052929,53.753467813990326,0.11790145380805284,0.8258990707640598,4.46627866366823e-08
2826770250994112512,658.1413063912245,11.974877618655999,-120.23890350574843,591.4597684850447,80.58135295004789,-120.23889784157906,0.11274061476231384,0.8513939369312999,4.7107628781765665e-08
2826770250994112640,677.3721500315235,13.360783796710807,-81.3505066560318,600.4998620032607,95.57381557377217,-81.35049962187624,0.12801383129684282,0.8602045579482197,8.646726929972397e-08
2844072990602159872,688.7891087522653,5.3123541853094585,-33.50908234648905,631.1352410017369,67.05195852311198,-33.50907910266813,0.09134946681002998,0.9207725724599326,9.680423954293461e-08
2871996462779346304,761.6692409049391,32.85019267197939,53.0969082111467,704.3161383722693,98.95938680872158,53.096904642990495,0.08143090780969099,0.6680436921514533,6.720083263791101e-08
2896872638481186560,819.9976156695953,14.227621101015872,58.9002572764161,741.0282471689914,97.30549559969371,58.90025430330153,0.1065672851234712,0.8537839922264303,5.0477109206537696e-08
2960024944247308288,667.0447016930789,1.3490641711811993,-100.99656637951051,625.6874621627293,39.45603730751832,-100.9965658270718,0.066098878483829,0.9658084221518076,5.469876146897207e-09
