source_id,tier,potential,draw,grid_min_rsph_pc,interp_min_rsph_pc,delta_interp_minus_grid_pc,grid_t_myr,interp_t_myr,grid_index,interp_grid_index,quadratic_used,point_min_rsph_pc,point_R_peri_pc
3617059489180390144,B,static,-1,12.678754515945911,12.207126188415117,-0.47162832753079414,1569.8000000000002,1569.7940014987528,15698,15698,True,15.884382650256157,14.072262682020664
4233272259754700544,C,static,-1,16.69386588037014,14.382951806408808,-2.3109140739613308,558.0,558.0149099747879,5580,5580,True,16.69386588037014,12.44601421058178
4038757589074380800,C,static,-1,11.972413398325443,11.11638608033189,-0.8560273179935521,2263.7000000000003,2263.7096308350247,22637,22637,True,16.779927536845207,9.979693219065666
5605836330306291968,B,static,-1,18.652260303497314,15.24558370206987,-3.4066766014274434,2894.0,2893.98205277836,28940,28940,True,18.652260303497314,15.345986001193523
4046672144244076160,C,static,-1,14.94481973350048,14.943401720685046,-0.0014180128154357707,1348.3000000000002,1348.3004411401635,13483,13483,True,19.923485815525055,13.316371478140354
4051445163000749184,C,barred,-1,12.026244774460793,7.750562162594319,-4.275682611866474,530.0,530.0205667442291,5300,5300,True,12.026244774460793,11.61612756550312
4074194608222495104,C,barred,-1,14.908174984157085,7.949396807169089,-6.958778176987996,3256.0,3256.025283112827,32560,32560,True,14.908174984157085,14.825714752078056
5890592662052286208,C,barred,-1,15.470369718968868,12.56965105290563,-2.900718666063238,2946.0,2946.0168509851032,29460,29460,True,15.470369718968868,14.695122838020325
4049838158028311424,C,barred,-1,14.32194747030735,11.264657076424719,-3.057290393882632,2067.8,2067.7810666502037,20678,20678,True,15.606801025569439,15.157724730670452
4040618645539029632,C,barred,-1,17.671193927526474,9.098076623519917,-8.573117304006557,1982.0,1982.0318676350164,19820,19820,True,17.671193927526474,13.167778961360455
