variant,R_peri_kpc,R_apo_kpc,z_max_kpc,min_r_sph_kpc,ecc,EJ_drift_rel,source_id
static_halo_0p85,0.0861078158330113,7.785549163818359,3.185788631439209,0.8074531555175781,0.9781220609445752,,1454381071520615168
static_halo_0p85,0.0207044085105979,3.712355375289917,2.0414538383483887,0.0240542460232973,0.9889075398146882,,4098367886797895552
static_halo_0p85,0.1134591342519864,11.628350257873535,4.809407711029053,0.7453439235687256,0.980674335536723,,2564595173682576256
static_halo_0p85,0.0318317897519558,9.086685180664062,4.925669193267822,0.0358445979654789,0.9930182090234122,,1246301072944807168
static_halo_0p85,0.023081560671534,7.607816696166992,3.3403990268707275,0.6998400092124939,0.9939504996935716,,4627302725674241536
static_halo_0p85,0.0629771379966857,8.291547775268555,4.875158309936523,0.0661646574735641,0.9849238254357968,,1605770800325684992
static_halo_0p85,0.033227864644247,6.078643798828125,3.693788528442383,0.0458120927214622,0.9891267793324806,,4403308915493808000
static_halo_0p85,0.0241176840799019,3.041066646575928,1.2440968751907349,0.3596807718276977,0.9842634690261896,,4080139491484995456
static_halo_0p85,0.1463913978706146,15.117950439453123,6.002381801605225,0.7000657916069031,0.9808191667310984,,4823853627575696768
static_halo_0p85,0.0230627610255426,1.7230024337768557,1.2087323665618896,0.1278013437986374,0.9735831616205456,,4045563527285331584
static_halo_0p85,0.1716102339220971,13.219849586486816,4.7258124351501465,0.8732753992080688,0.9743701976896412,,30465165103355904
static_halo_0p85,0.1757627177357774,12.662758827209473,5.290623664855957,0.7058091163635254,0.9726194769202255,,907765016165268096
static_halo_0p85,0.0004956200173369,2.328686237335205,1.7011702060699463,0.0092766871675848,0.9995744256587158,,6735586756923018368
static_halo_0p85,0.14679677985207,10.692631721496582,4.700247287750244,0.6725858449935913,0.9729142952815631,,1134163222058515200
static_halo_0p85,0.0347043472721457,6.709317684173584,3.7709591388702393,0.0354157947003841,0.9897081156881374,,4364961111010691712
static_halo_0p85,0.0774048882972377,5.556193828582764,2.3612875938415527,0.6892865896224976,0.972520269125556,,4397483324932801280
static_halo_0p85,0.0455350965908969,11.260645866394045,6.127537727355957,0.0569592267274856,0.991945096803249,,5605836330306291968
static_halo_0p85,0.0265641850363241,9.004900932312012,5.0839033126831055,0.0289654862135648,0.9941174140206116,,609201945132157312
static_halo_0p85,0.0090808707506246,4.961544036865234,2.953852415084839,0.0158431082963943,0.9963461854718868,,4065262966083493248
static_halo_0p85,0.0301409169650521,5.8236403465271,2.462176561355591,0.7092744708061218,0.9897020692751096,,4446549203122721024
static_halo_0p85,0.0020043841195407,8.245057106018066,4.161691188812256,0.4226846992969513,0.9995139155632736,,1622238254693785344
static_halo_0p85,0.1342380595434379,10.85781192779541,5.709952354431152,0.1646361798048019,0.9755754277504088,,5576846709795882368
static_halo_0p85,0.0818548190638769,11.186931610107422,4.602877140045166,0.7615533471107483,0.9854722920558722,,4803516579472199296
static_halo_0p85,0.06796179512067,9.712379455566406,4.29525899887085,0.6649389266967773,0.9861023673144542,,2260725447217651968
static_halo_0p85,0.0281152355020146,2.974275827407837,1.4404680728912354,0.0836984142661094,0.9812714367229926,,6737191807708281472
static_halo_0p85,0.0166492773630078,4.576153755187988,2.3501477241516118,0.2441973090171814,0.99274984045908,,5889762633872508288
static_halo_0p85,0.0136659723205894,3.36023211479187,1.4487838745117188,0.3812117278575897,0.9918990011151846,,4122681593586124032
static_halo_0p85,0.1234661308273961,8.045626640319824,4.479452133178711,0.1238700821995735,0.9697723763736724,,5816763754765392384
static_halo_0p85,0.0450120156251568,2.399033784866333,0.8812242746353149,0.2378631383180618,0.9631659802642772,,4038020740082070400
static_halo_0p85,0.0113980499832142,3.727999448776245,1.5171356201171875,0.5338025689125061,0.99390380402886,,6760231043066168320
static_halo_0p85,0.0443938674132284,2.4627041816711426,1.8119817972183228,0.1209389492869377,0.964585455738804,,6735304392903260544
static_halo_0p85,0.0028156377112003,8.744997024536133,4.225113868713379,0.5155291557312012,0.9993562647441336,,4780282558746990080
static_halo_0p85,0.0474014009630468,4.267446041107178,1.8471310138702397,0.5485575795173645,0.97802870131589,,5916045256703964544
static_halo_0p85,0.0024760494977376,2.931392192840576,1.081727147102356,0.4354208409786224,0.99831209223236,,4044913307943727360
static_halo_0p85,0.1464047143616702,11.253830909729004,4.043878078460693,0.911838710308075,0.9743154932601056,,810445730162365312
static_halo_0p85,0.0166203263317021,5.581215858459473,3.176720142364502,0.022338094189763,0.9940618747019224,,5876158823216894336
static_halo_0p85,0.009110733059646,3.514454841613769,1.7788233757019043,0.0716506689786911,0.9948286853946288,,6763544936741265280
static_halo_0p85,0.0131827186913839,3.6268057823181152,1.470366597175598,0.5176018476486206,0.9927567250898032,,6763240234575156352
