source_id,P_forward_below_25,P_latent_below_25,delta_P
1454381071520615168,0.994,0.8974847705728682,-0.09651522942713175
4098367886797895552,0.573,0.10719616641868619,-0.4658038335813138
2564595173682576256,0.8255,0.25296218893362893,-0.572537811066371
1246301072944807168,0.714,0.14795037793295626,-0.5660496220670437
4627302725674241536,0.8725,0.3916034409575808,-0.48089655904241924
1605770800325684992,1.0,1.0,0.0
4403308915493808000,0.762,0.2235059450405177,-0.5384940549594823
4080139491484995456,0.522,0.10315320249403431,-0.4188467975059657
4823853627575696768,0.886,0.3044533060609088,-0.5815466939390912
4045563527285331584,0.585,0.11151514065709545,-0.4734848593429045
30465165103355904,0.7545,0.18618552633155835,-0.5683144736684416
907765016165268096,0.8505,0.29804837358280123,-0.5524516264171988
6735586756923018368,0.8405,0.26521848489105165,-0.5752815151089483
1134163222058515200,0.845,0.31766065096384716,-0.5273393490361529
4364961111010691712,0.969,0.6474420648258702,-0.3215579351741298
4397483324932801280,0.878,0.36848868703959675,-0.5095113129604032
5605836330306291968,0.8615,0.286434401046998,-0.575065598953002
609201945132157312,1.0,1.0,0.0
4379612447047428096,0.456,0.10466257328928566,-0.35133742671071433
4065262966083493248,0.8705,0.3083451650262847,-0.5621548349737153
4446549203122721024,0.7765,0.20054725393492934,-0.5759527460650706
1622238254693785344,1.0,1.0,0.0
4077910064253329280,0.4645,0.10027406467171669,-0.36422593532828335
5576846709795882368,1.0,1.0,0.0
4803516579472199296,0.933,0.563785727565283,-0.36921427243471705
2260725447217651968,1.0,1.0000000000000002,2.220446049250313e-16
6737191807708281472,0.6155,0.1311952723260389,-0.48430472767396116
5889762633872508288,0.6615,0.1233005115269548,-0.5381994884730452
4122681593586124032,0.699,0.1597462489935957,-0.5392537510064043
5816763754765392384,1.0,1.0,0.0
4038020740082070400,0.6625,0.13874968350405958,-0.5237503164959404
6760231043066168320,0.8135,0.2766467143607827,-0.5368532856392173
6735304392903260544,0.622,0.10599719102795885,-0.5160028089720412
4780282558746990080,1.0,1.0000000000000002,2.220446049250313e-16
5916045256703964544,0.6895,0.1535890124080704,-0.5359109875919296
4044913307943727360,0.6795,0.1833125382842367,-0.49618746171576333
810445730162365312,0.7935,0.20262703678463045,-0.5908729632153695
5876158823216894336,0.769,0.19038865627976803,-0.578611343720232
6763544936741265280,0.642,0.13159620080613793,-0.5104037991938621
6763240234575156352,0.7435,0.22535137403385924,-0.5181486259661408
4233747897318977664,0.6385,0.16001758322323836,-0.4784824167767616
4987471265709771520,0.838,0.2816654353794218,-0.5563345646205782
6733060564550315008,0.7365,0.1621575624821514,-0.5743424375178486
6333908397352626176,0.868,0.3588463946473549,-0.5091536053526451
6207005544120495872,0.888,0.38347711207296525,-0.5045228879270347
6688282163217863936,0.853,0.3856697569555906,-0.4673302430444094
4254009869393663744,0.5505,0.12715436290121648,-0.4233456370987835
3232335246724699904,1.0,1.0000000000000002,2.220446049250313e-16
4148968064748132352,0.748,0.17877570730731165,-0.5692242926926884
1110075499275305472,0.947,0.6621362673507188,-0.2848637326492811
3262320754175934336,0.9205,0.4215450995816413,-0.49895490041835866
5814050228778275712,0.7185,0.1600872767648743,-0.5584127232351257
2308195315557676416,0.98,0.742931129780567,-0.23706887021943301
6725956723035542016,0.5285,0.11860484298302201,-0.409895157016978
4161659486910404736,0.6475,0.13262248609997082,-0.5148775139000291
5816984206839975168,0.8705,0.26855270580293955,-0.6019472941970605
3432536316782347392,0.4855,0.08905348362770166,-0.39644651637229833
4902531381123134464,0.9935,0.889990945006249,-0.10350905499375107
4139276556887926400,0.6025,0.11630706237165105,-0.486192937628349
4076649027478050688,0.674,0.13533934444384643,-0.5386606555561536
4469009098941937408,0.9285,0.4690494669590555,-0.45945053304094446
4089437928231677568,0.685,0.14714306388802695,-0.5378569361119732
6333764361329271808,0.8755,0.3407298558052397,-0.5347701441947603
1772492325424795904,0.946,0.5612130877431541,-0.3847869122568458
4185203604269449984,0.9615,0.6689785782011894,-0.2925214217988106
6108497003152436096,0.8725,0.32706050137842746,-0.5454394986215726
5516010937598299392,1.0,1.0,0.0
6870071807985278720,0.9015,0.4165885881842888,-0.4849114118157112
1165218034631512576,0.7955,0.22030035861031308,-0.5751996413896869
6132947118094648320,0.9635,0.685131211639979,-0.278368788360021
5465519061538436352,1.0,1.0,0.0
4405926028044557056,0.786,0.20041464560112973,-0.5855853543988703
6761283447501038848,0.683,0.14283790152377673,-0.5401620984762233
4001466724394139136,0.779,0.24182809011269799,-0.537171909887302
4038271226927734912,0.6985,0.1745821530842921,-0.523917846915708
4123634801473573376,0.6085,0.1378913462182395,-0.47060865378176053
4482408125594381184,0.9415,0.515256923420435,-0.42624307657956495
4372608759839749376,0.738,0.19833296013304963,-0.5396670398669503
4049838158028311424,0.63,0.13949170870096098,-0.49050829129903906
6717568651857762304,0.73,0.1831129831865209,-0.5468870168134791
6865189907638173952,0.8695,0.3253363691086603,-0.5441636308913398
3168941121415464704,1.0,1.0,0.0
4105629091601205760,0.441,0.12772006175015652,-0.31327993824984346
4045426191412981632,0.6115,0.11407726166297093,-0.4974227383370291
6209253362502782464,0.9135,0.5567981668762909,-0.35670183312370907
6648152428350894848,0.7005,0.18441405673179256,-0.5160859432682074
722905328777590784,0.7585,0.19760690725559185,-0.5608930927444081
4046672144244076160,0.5595,0.10569665345481816,-0.45380334654518184
4186954404726221184,0.766,0.2076419809560821,-0.5583580190439179
4796586598199456000,0.967,0.7752796991372903,-0.19172030086270964
4130887278868131072,0.505,0.10155483300313672,-0.4034451669968633
4078031697672879744,0.78,0.28272024874291296,-0.49727975125708707
6192851977609915520,0.952,0.5762071423813522,-0.3757928576186478
2040754058596128896,1.0,1.0000000000000002,2.220446049250313e-16
5957334044324505344,0.6635,0.16359438697864662,-0.4999056130213534
4158036694857592192,0.6395,0.13413985844677556,-0.5053601415532244
6720923364932035712,0.5805,0.11332376452356278,-0.4671762354764372
4123037594829403520,0.7135,0.15452714921893082,-0.5589728507810692
3617059489180390144,0.8715,0.3811351649771106,-0.49036483502288947
2739862584191154688,0.9995,0.9925988396122193,-0.006901160387780769
2712478319387225600,1.0,1.0,0.0
4039081974959195392,0.659,0.1542314000437908,-0.5047685999562093
4605148051709428096,1.0,0.9999999999999999,-1.1102230246251565e-16
6735780481438519808,0.3895,0.08366776135264418,-0.3058322386473558
4751364750101200512,0.729,0.14341670852807314,-0.5855832914719268
6568723429179272960,0.9885,0.8206332464380108,-0.1678667535619892
4126182816520536064,0.516,0.10912071193187298,-0.406879288068127
4036193768463500032,0.731,0.19695997180603575,-0.5340400281939642
4110909844184739072,0.751,0.21400073961158492,-0.5369992603884151
6022125554441500288,0.5305,0.10547165907646505,-0.4250283409235349
528886469017207424,0.99,0.8695061358652892,-0.12049386413471075
4077922055803817088,0.714,0.1700127103119313,-0.5439872896880686
3572451065491937280,1.0,0.9999999999999998,-2.220446049250313e-16
6871743267517995008,0.6435,0.16231922519348127,-0.48118077480651866
1528927066531942656,1.0,1.0000000000000002,2.220446049250313e-16
6029905492639226368,0.6835,0.1380580141619853,-0.5454419858380147
4334183512807254144,0.634,0.15687449104830586,-0.47712550895169414
4045696263368884224,0.4505,0.092748597874615,-0.35775140212538503
6735789552409183104,0.667,0.15190905346065037,-0.5150909465393496
6773155767872820352,0.712,0.18900793905231575,-0.5229920609476842
2145508517097287936,1.0,1.0,0.0
4171591164967909120,0.77,0.2394272833978481,-0.5305727166021519
4035695891465993472,0.544,0.1271424075150127,-0.4168575924849873
6235865117312439808,0.636,0.14577448052077702,-0.490225519479223
4072331760661612928,0.62,0.11705037998109497,-0.502949620018905
1444930322403826304,0.9995,0.9940133024672038,-0.005486697532796292
2078943464685299840,1.0,0.9999999999999998,-2.220446049250313e-16
1762596205380921856,0.995,0.9555413644868447,-0.039458635513155316
643909953807675008,0.9855,0.8283895399434422,-0.15711046005655782
4105141148953899392,0.8115,0.25562821711071115,-0.5558717828892888
5210751080531157888,0.8225,0.26086177149316064,-0.5616382285068393
4055647565083572224,0.4335,0.09710824812534982,-0.3363917518746502
1958311371069950080,0.9795,0.8076932159925456,-0.17180678400745442
6726028771060741632,0.645,0.1740791256537411,-0.47092087434625896
6281393522987251968,0.5885,0.1002421089692807,-0.4882578910307193
4131646324146264192,0.859,0.3204926212769979,-0.5385073787230021
3906248845630232576,0.497,0.12128832875689156,-0.37571167124310845
4389818698094885248,0.8425,0.31858047917791305,-0.523919520822087
4048374501842443136,0.588,0.14909231429132752,-0.43890768570867245
6029195311181095552,0.685,0.1586773682771199,-0.5263226317228802
5383288064367539968,0.9825,0.8181168414386863,-0.1643831585613137
2337973870009655424,0.7745,0.22996291557106072,-0.5445370844289392
4131559909403775232,0.431,0.10006320336149538,-0.3309367966385046
6734908603094318848,0.6185,0.1342790394246498,-0.48422096057535025
4101093606135337600,0.8335,0.34168214182536316,-0.49181785817463686
3594763729832525696,0.5375,0.12283093938164162,-0.41466906061835834
