source_id,P_forward,P_latent,delta
1454381071520615168,0.994,0.8960342723475799,-0.09796572765242006
4098367886797895552,0.573,0.11125210530538078,-0.4617478946946192
2564595173682576256,0.8255,0.2581537135743382,-0.5673462864256618
1246301072944807168,0.714,0.15338695916197007,-0.5606130408380299
4627302725674241536,0.8725,0.4001951173419741,-0.47230488265802595
1605770800325684992,1.0,1.0,0.0
4403308915493808000,0.762,0.23426304241837995,-0.5277369575816201
4080139491484995456,0.522,0.10605878442360378,-0.41594121557639624
4823853627575696768,0.886,0.33055965258609044,-0.5554403474139096
4045563527285331584,0.585,0.11389241063954937,-0.4711075893604506
30465165103355904,0.7545,0.19388411441004796,-0.560615885589952
907765016165268096,0.8505,0.30697758001801917,-0.5435224199819808
6735586756923018368,0.8405,0.27283357591352503,-0.567666424086475
1134163222058515200,0.845,0.3177032096194327,-0.5272967903805672
4364961111010691712,0.969,0.6572753352485126,-0.3117246647514874
4397483324932801280,0.878,0.3711345294425004,-0.5068654705574995
5605836330306291968,0.8615,0.29152999129973495,-0.569970008700265
609201945132157312,1.0,0.9999999999999999,-1.1102230246251565e-16
4379612447047428096,0.456,0.10317886351078763,-0.3528211364892124
4065262966083493248,0.8705,0.3390635201829047,-0.5314364798170954
4446549203122721024,0.7765,0.20143909478601302,-0.575060905213987
1622238254693785344,1.0,1.0,0.0
4077910064253329280,0.4645,0.10378858093515195,-0.36071141906484805
5576846709795882368,1.0,1.0,0.0
4803516579472199296,0.933,0.5547266686347028,-0.3782733313652973
2260725447217651968,1.0,0.9999999999999999,-1.1102230246251565e-16
6737191807708281472,0.6155,0.14118806905206882,-0.4743119309479312
5889762633872508288,0.6615,0.13151928299718893,-0.529980717002811
4122681593586124032,0.699,0.15889458651824986,-0.5401054134817501
5816763754765392384,1.0,1.0,0.0
4038020740082070400,0.6625,0.14167169884898145,-0.5208283011510185
6760231043066168320,0.8135,0.2631696500318086,-0.5503303499681914
6735304392903260544,0.622,0.11252719713484882,-0.5094728028651512
4780282558746990080,1.0,1.0,0.0
5916045256703964544,0.6895,0.15892508468329827,-0.5305749153167018
4044913307943727360,0.6795,0.19279433783030644,-0.4867056621696936
810445730162365312,0.7935,0.2050211165382568,-0.5884788834617432
5876158823216894336,0.769,0.1951282032007401,-0.5738717967992599
6763544936741265280,0.642,0.1347603996966144,-0.5072396003033857
6763240234575156352,0.7435,0.22560896172679765,-0.5178910382732024
4233747897318977664,0.6385,0.160711672853413,-0.4777883271465869
4987471265709771520,0.838,0.28978753474970753,-0.5482124652502924
6733060564550315008,0.7365,0.17083476040069806,-0.565665239599302
6333908397352626176,0.868,0.3727734477438835,-0.4952265522561165
6207005544120495872,0.888,0.400648068808562,-0.487351931191438
6688282163217863936,0.853,0.38596788335265964,-0.46703211664734035
4254009869393663744,0.5505,0.1376113323022314,-0.41288866769776855
3232335246724699904,1.0,0.9999999999999999,-1.1102230246251565e-16
4148968064748132352,0.748,0.1879839806970259,-0.5600160193029741
1110075499275305472,0.947,0.6753587876584303,-0.2716412123415697
3262320754175934336,0.9205,0.4271862072545982,-0.49331379274540177
5814050228778275712,0.7185,0.1747585515088796,-0.5437414484911205
2308195315557676416,0.98,0.7426798936604623,-0.2373201063395377
6725956723035542016,0.5285,0.12023536361944419,-0.40826463638055577
4161659486910404736,0.6475,0.13834802257925208,-0.5091519774207479
5816984206839975168,0.8705,0.2769529024361137,-0.5935470975638864
3432536316782347392,0.4855,0.09381489262663942,-0.3916851073733606
4902531381123134464,0.9935,0.9104744051614488,-0.08302559483855121
4139276556887926400,0.6025,0.1279992992543324,-0.47450070074566764
4076649027478050688,0.674,0.13324029877469498,-0.540759701225305
4469009098941937408,0.9285,0.4841305192069175,-0.44436948079308247
4089437928231677568,0.685,0.1544639443114116,-0.5305360556885884
6333764361329271808,0.8755,0.34829400155932777,-0.5272059984406722
1772492325424795904,0.946,0.5860294789893975,-0.35997052101060245
4185203604269449984,0.9615,0.679928941158538,-0.28157105884146205
6108497003152436096,0.8725,0.32569582098181526,-0.5468041790181848
5516010937598299392,1.0,1.0,0.0
6870071807985278720,0.9015,0.42129614230698126,-0.4802038576930187
1165218034631512576,0.7955,0.21090814921039203,-0.584591850789608
6132947118094648320,0.9635,0.6784204120648091,-0.28507958793519095
5465519061538436352,1.0,1.0,0.0
4405926028044557056,0.786,0.2200465847519218,-0.5659534152480783
6761283447501038848,0.683,0.15204282361891439,-0.5309571763810856
4001466724394139136,0.779,0.24971137111681876,-0.5292886288831813
4038271226927734912,0.6985,0.1717296976895934,-0.5267703023104067
4123634801473573376,0.6085,0.13925187565792913,-0.4692481243420709
4482408125594381184,0.9415,0.558797183874314,-0.382702816125686
4372608759839749376,0.738,0.19854256533226736,-0.5394574346677327
4049838158028311424,0.63,0.1410057515205222,-0.4889942484794778
6717568651857762304,0.73,0.18623188720567246,-0.5437681127943275
6865189907638173952,0.8695,0.3353720356330182,-0.5341279643669818
3168941121415464704,1.0,1.0,0.0
4105629091601205760,0.441,0.13385273714104043,-0.30714726285895955
4045426191412981632,0.6115,0.12206112312464831,-0.4894388768753517
6209253362502782464,0.9135,0.5512936086177495,-0.3622063913822505
6648152428350894848,0.7005,0.19557274771612765,-0.5049272522838724
722905328777590784,0.7585,0.2053539842366055,-0.5531460157633945
4046672144244076160,0.5595,0.10523206129314969,-0.45426793870685034
4186954404726221184,0.766,0.2116192060162214,-0.5543807939837786
4796586598199456000,0.967,0.7738761155910093,-0.19312388440899064
4130887278868131072,0.505,0.107013686016711,-0.397986313983289
4078031697672879744,0.78,0.28190067861771034,-0.4980993213822897
6192851977609915520,0.952,0.5990217661801825,-0.3529782338198174
2040754058596128896,1.0,0.9999999999999999,-1.1102230246251565e-16
5957334044324505344,0.6635,0.1668294620141516,-0.49667053798584837
4158036694857592192,0.6395,0.13434468489462997,-0.50515531510537
6720923364932035712,0.5805,0.11482741191159485,-0.46567258808840517
