source_id,tier,vgrf_default_exact,rect_t_min_myr_p16,rect_t_min_myr_p50,rect_t_min_myr_p84,rect_abs_t_min_myr_p50,rect_d_min_pc_p16,rect_d_min_pc_p50,rect_d_min_pc_p84,v_radial_sph_kms_p50,p_rect_past,p_rect_near_now,p_rect_future,p_rect_d_lt_100_pc,p_rect_d_lt_500_pc,p_rect_d_lt_1000_pc
2226839495284849536,B,22.16342383067348,-417.3980346846083,-387.5207307781677,-353.5259230077529,387.5207307781677,1191.0004299050397,1495.5899535332214,2080.7085065954507,21.768853792863776,1.0,0.0,0.0,0.0,0.0,0.0008
6914509390755380224,B,19.3745861419613,-395.07916077972675,-307.1029924354278,-234.07441162161356,307.1029924354278,1112.6919123286243,2020.8469480726174,2927.120629463819,18.831757250445342,1.0,0.0,0.0,0.0006,0.0254,0.1242
5071663482388678912,A,16.557355794218388,426.18606307376723,484.36046757527924,527.0852110960199,484.36046757527924,1081.1524778650728,2070.95235256112,3431.9869835827326,-16.559470207131824,0.0,0.0,1.0,0.0006,0.0356,0.14
4489810102292462208,B,19.901741406759083,256.34962377173866,284.24745883313506,297.3156155630768,284.24745883313506,785.1941529032322,2234.4965074315646,3551.235192135389,-18.70486155755556,0.0,0.0,1.0,0.0002,0.0798,0.2148
6732733352447290496,B,15.707203063298929,-237.09359189544764,-183.81160782824395,-94.38422882852666,183.81160782824395,1383.4185291753615,2254.853153789747,3105.037468367348,14.604948514044043,1.0,0.0,0.0,0.0,0.0,0.0038
5815651152077075072,B,17.4791535383846,-415.99143287010884,-352.7053106666066,-294.85324001536935,352.7053106666066,1540.5287190574843,2366.3715001873434,3615.1017951633576,17.014276563115075,1.0,0.0,0.0,0.0,0.0012,0.0244
1388416077571124096,A,19.449589905702865,335.37962422265196,378.0699748673695,400.89252556998525,378.0699748673695,1305.8594984920098,2378.06663043747,3498.7856229767463,-19.139802937743305,0.0,0.0,1.0,0.0008,0.0234,0.094
4452364176521571840,A,15.41040820340654,288.10123319879153,411.4339149237171,493.78405828125653,411.4339149237171,916.7948408813102,2453.647793122849,3924.647535861066,-15.000761552065693,0.0,0.0,1.0,0.0044,0.0738,0.18
3509673418310922752,A,17.339203341131977,354.6166069721251,411.75251826035594,446.8870325343582,411.75251826035594,1339.4287092650193,2458.1349433202645,3597.174438962959,-16.868039902565194,0.0,0.0,1.0,0.0006,0.0236,0.0936
6104183069278959616,A,13.08963717322182,362.68603655248967,485.45233203967393,602.320686038791,485.45233203967393,1115.1850386706737,2461.7293275107068,4962.52123349157,-12.903293167906519,0.0012,0.0008,0.998,0.0024,0.0374,0.1338
