source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__alpha_Fe_,e__alpha_Fe_,__C_Fe_,e__C_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ba_Fe_,e__Ba_Fe_,__Eu_Fe_,e__Eu_Fe_
6651092002747797632,3655.98,90.69,0.971947,0.349812,-0.821283,0.147568,,,,,,,,,,,,,,,,,,,,,,,,
6653974376777518208,4301.0,110.66,1.448526,0.375616,-0.630609,0.099313,0.456362,0.0482942,,,0.323349,0.1890539,0.510044,0.1565504,0.483009,0.1039255,0.195525,0.0949305,0.311673,0.1116546,0.651304,0.0712881,-0.07483,0.1483246,0.235953,0.1107244,0.188291,0.1470847,0.181885,0.1277724
6656265518489870464,4504.69,124.0,2.130639,0.248277,-0.602825,0.109762,0.34707,0.0510776,,,0.562357,0.1957118,0.444334,0.1595124,0.38659,0.1078731,0.379792,0.0996606,0.332337,0.1159295,0.288539,0.0807143,-0.10218,0.1581529,-0.06363,0.1143224,0.011812,0.1543179,0.197044,0.130715
6656748410252473856,4983.1,80.13,2.381789,0.286459,-0.298574,0.053456,-0.048917,0.019777,,,0.095618,0.0856038,-0.056798,0.0401459,-0.040654,0.042507,-0.027601,0.0357998,0.177007,0.0471336,-0.059075,0.029412,-0.212176,0.0406395,-0.065072,0.0463308,0.43055,0.0524013,0.157442,0.0648579
6658599197557990400,3691.71,82.82,0.436613,0.546538,-1.200667,0.096229,,,,,,,,,,,,,,,,,,,,,,,,
6659656721585747072,5186.6,95.48,2.545479,0.259642,-0.814599,0.079375,0.112526,0.030259,,,0.489128,0.1187974,0.14833,0.0619133,-0.071538,0.0697643,0.085108,0.0512701,0.129627,0.0673239,0.100877,0.0659031,-0.322162,0.0650181,-0.213579,0.0799725,0.357606,0.0783547,0.403398,0.1127001
6662464148431548800,4772.84,144.42,2.419881,0.28352,-0.315014,0.125326,0.317254,0.0654664,,,0.84393,0.2070165,,,0.219529,0.1145749,0.411848,0.1078942,0.241523,0.1232112,0.278785,0.1107344,-0.153318,0.1755459,0.210928,0.1231497,0.211874,0.1668394,0.307988,0.1355531
6663158975359778176,4245.12,142.52,1.518328,0.342224,-0.752361,0.14317,0.313214,0.0859958,,,,,0.303796,0.2099311,0.502285,0.124327,0.314525,0.1203119,0.428106,0.1338575,0.316047,0.151714,-0.227295,0.2024061,0.053506,0.1296712,0.03206,0.1855761,0.345148,0.1422775
6664622661554930560,4332.41,113.71,1.249972,0.418054,-1.109242,0.10756,0.333355,0.0471189,,,0.598352,0.1770526,0.256234,0.130057,0.236751,0.0968086,0.29291,0.086637,0.455253,0.1039758,0.325335,0.0777167,-0.254869,0.1314055,0.020487,0.1038143,0.643177,0.1343247,0.315541,0.1297909
6670756703784161536,5072.74,177.49,2.550954,0.280064,-0.499835,0.158899,0.216377,0.0864466,,,0.380597,0.2314464,0.349343,0.2258572,0.132673,0.129054,0.110003,0.126509,0.294474,0.1390379,,,-0.054793,0.2160709,0.086275,0.2068611,0.386321,0.1948671,0.395289,0.1454166
