source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__alpha_Fe_,e__alpha_Fe_,__C_Fe_,e__C_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ba_Fe_,e__Ba_Fe_,__Eu_Fe_,e__Eu_Fe_
40233093262803712,6664.9,176.52,4.385563,0.204752,,,,,,,,,,,,,,,,,,,,,,,,,,
56993395681126272,5677.31,94.35,4.039487,0.185233,-0.605898,0.086603,0.24666,0.0369725,0.44451,0.1315418,0.42377,0.1370703,0.32642,0.0793067,0.288934,0.0730861,0.250033,0.0613956,0.227159,0.0786902,0.17513,0.0828268,-0.132011,0.0828631,0.112267,0.0857454,-0.357895,0.0947117,,
65354941093231360,3534.78,89.81,0.516265,0.420551,-1.240236,0.279448,,,,,,,,,,,,,,,,,,,,,,,,
