source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__alpha_Fe_,e__alpha_Fe_,__C_Fe_,e__C_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ba_Fe_,e__Ba_Fe_,__Eu_Fe_,e__Eu_Fe_
6477912843992512768,5157.91,110.42,2.539926,0.24343,-0.665235,0.090214,0.225463,0.0441262,,,0.544321,0.1418252,0.274237,0.0844396,0.076305,0.0759084,0.164696,0.0641871,,,0.351906,0.1080978,-0.235872,0.0879731,-0.117592,0.0894829,0.327479,0.0991642,0.358487,0.1148517
6478134155067240064,5509.33,96.14,3.864256,0.183844,-0.863273,0.087075,0.367989,0.0348665,,,0.524635,0.1211973,0.305558,0.063984,0.380517,0.0699966,0.402495,0.0525424,0.058004,0.0688083,0.380719,0.0680254,-0.257138,0.0671944,0.143414,0.0902965,0.177977,0.0804303,,
6484181572100359040,4627.35,97.56,2.575711,0.228632,0.045374,0.082417,0.10243,0.0479445,,,0.099892,0.1580276,0.198886,0.1037748,0.209921,0.0855232,0.102328,0.0741419,0.109584,0.0918821,0.082689,0.055931,-0.020531,0.1067585,0.351392,0.0927402,0.300347,0.1148832,-0.208947,0.1129582
6484205761355304320,4879.02,168.8,2.446285,0.283521,-1.192585,0.174197,0.378535,0.0752844,,,0.813569,0.2241534,0.403538,0.211271,0.335245,0.1247321,0.264793,0.1208385,0.451361,0.1343009,0.484549,0.1822493,-0.188621,0.2035609,-0.05966,0.1993251,0.352065,0.1863671,0.904066,0.1425494
6484217340587162112,4679.92,120.37,2.259633,0.256029,-0.744421,0.097297,0.233424,0.0583327,,,0.458253,0.1717564,0.258576,0.122357,0.247861,0.0936674,0.206677,0.083076,0.420792,0.100599,0.260133,0.1103002,-0.143066,0.1242722,-0.01506,0.1007696,0.24072,0.1288125,0.423506,0.1259717
6487829030125089536,5070.47,98.91,1.990952,0.26901,-2.095737,0.111499,0.358936,0.047687,,,0.887907,0.1187622,0.195021,0.0947949,,,0.317707,0.0963633,0.461671,0.0673021,,,-0.18043,0.0763215,,,-0.060656,0.0783244,,
6489323850542733696,5165.22,141.37,2.435624,0.275559,-1.700133,0.191305,0.263362,0.0885425,,,0.717601,0.1879886,0.16729,0.1468832,0.930747,0.1032938,0.462466,0.0941821,0.318199,0.1109715,,,-0.244711,0.146781,0.498637,0.1622104,-0.107217,0.1459373,1.182713,0.1272947
6558639296940980864,4623.59,79.71,1.877592,0.234873,-1.023983,0.056525,0.367888,0.0185214,,,0.382551,0.0863094,0.39884,0.040471,0.434829,0.0429267,0.480555,0.0360809,0.330777,0.0475545,0.261126,0.0325216,-0.246296,0.0410372,-0.031686,0.0468267,0.629507,0.0528898,0.265377,0.0711247
6558661596411063680,4936.7,139.9,2.441278,0.27616,-0.469009,0.123189,0.24061,0.0750188,,,0.461831,0.2028602,0.290744,0.1717476,0.256438,0.112111,0.184658,0.104838,0.517842,0.1205308,0.304831,0.1376158,-0.137548,0.1690491,0.030505,0.1182626,0.447223,0.1622014,0.193074,0.1337964
6562746419547590784,4104.16,82.89,1.384849,0.335575,-0.746324,0.066248,0.310781,0.0313592,,,,,0.279417,0.0630094,0.429291,0.0629963,0.324836,0.0519462,0.095167,0.0681151,0.294715,0.0456411,-0.236527,0.0661721,0.123123,0.0693906,-0.240449,0.0794586,0.333012,0.0912853
6578812895770214400,4756.68,136.4,2.288418,0.335583,-0.764416,0.114731,0.334856,0.0600846,,,0.992976,0.1877311,0.274194,0.1464728,0.314677,0.1031411,0.380024,0.0940015,0.36097,0.1108065,0.367962,0.1374467,-0.382299,0.1464091,-0.042815,0.1098685,0.451003,0.1456605,0.398476,0.127179
6580696496627238144,5221.2,182.61,3.35961,0.230912,-0.587311,0.165028,0.33917,0.0755284,1.186662,0.1842784,0.636729,0.2200855,0.284404,0.2033665,0.169583,0.1223212,0.212624,0.1177169,0.460387,0.1316631,0.502017,0.2168313,-0.149638,0.196734,0.169598,0.2225503,0.080042,0.1816742,0.884026,0.1409227
6580733639504561152,4092.03,103.42,1.441795,0.371025,-0.574974,0.105523,,,,,,,,,,,,,,,,,,,,,,,,
6582172041232065536,4058.79,88.04,0.96295,0.403441,-0.911502,0.075855,,,,,,,,,,,,,,,,,,,,,,,,
6582912901613639936,4582.0,85.96,2.373385,0.268053,-0.506874,0.059303,0.307413,0.0219245,,,0.473401,0.1028194,0.375405,0.0498108,0.231541,0.0527433,0.248079,0.0432927,0.360982,0.0575165,0.244123,0.0412125,-0.129462,0.0518976,0.050161,0.0581126,-0.142985,0.0651675,0.282173,0.0792779
6582932387881824128,4910.25,124.44,2.469369,0.240693,-0.441155,0.10295,0.269571,0.0474421,,,0.516711,0.1751699,0.432307,0.1272861,0.27534,0.095692,0.189906,0.085364,0.249765,0.1027746,0.12796,0.1140918,0.000949,0.1288461,-0.093909,0.1027352,0.269771,0.1323566,0.222289,0.1444327
6583077416041227520,4489.6,125.53,1.466275,0.335119,-1.071367,0.117348,0.299765,0.0554721,,,0.406369,0.1962108,0.153902,0.1603494,0.083682,0.1081689,0.199898,0.1000187,0.457277,0.1162503,0.335444,0.0944387,-0.377118,0.1589019,-0.034415,0.114599,0.409172,0.1548643,0.136121,0.1309326
6583809626362544896,4888.71,178.54,2.113139,0.305056,-1.518824,0.18693,0.267596,0.08055,,,0.771512,0.2200377,0.309246,0.2032746,0.737539,0.1222929,0.269514,0.1176803,0.247731,0.1316322,,,-0.395104,0.1966545,0.076664,0.1950794,-0.164905,0.1816192,0.84834,0.1409034
6585178552699672064,4740.17,154.55,2.040757,0.354398,-1.075636,0.149671,0.382074,0.0698269,,,0.788716,0.212689,0.243534,0.1894213,0.387327,0.1179373,0.32094,0.1121185,0.536658,0.1268754,0.357363,0.1677149,-0.234468,0.1846019,-0.079183,0.1337524,0.319912,0.1732323,0.718204,0.1462521
6585559739636072064,4920.97,149.83,2.625338,0.256634,-0.565409,0.142136,0.302007,0.0805523,,,0.873217,0.236085,0.28475,0.2354108,0.183459,0.1318027,0.226235,0.1301643,0.431277,0.1420559,0.190215,0.1651664,-0.247288,0.2242067,-0.009477,0.2116624,0.613693,0.2003301,0.303685,0.1472088
6629405132318802176,6060.73,80.65,4.1048,0.179355,-1.402353,0.09498,0.367689,0.0296037,,,0.658064,0.1051718,0.322306,0.0537386,,,0.443581,0.0444103,0.288578,0.0589514,,,-0.24747,0.0536751,,,0.138568,0.0670356,,
6629425374506921856,4874.94,139.86,2.388275,0.260074,-0.568086,0.129528,0.348124,0.0614769,,,0.738943,0.2123717,0.181334,0.1888354,0.213235,0.1177492,0.278526,0.1118806,0.394074,0.1266703,0.42629,0.1029589,-0.243732,0.1840896,0.092691,0.1350227,0.652692,0.1728728,0.292957,0.1377808
6644431062522354816,4792.62,77.77,2.239624,0.260597,-1.307413,0.05592,0.244211,0.0198019,,,0.861336,0.0815134,0.25621,0.0383841,,,0.221846,0.03422,0.293787,0.0447037,0.217424,0.0439728,-0.334983,0.0384495,-0.167039,0.044499,0.193307,0.0496371,,
6645984084039062656,4913.7,142.69,2.453108,0.33604,-0.511539,0.120112,0.261068,0.0605666,,,0.430113,0.1942982,0.242181,0.1571549,0.193592,0.107035,0.267959,0.0986488,0.379593,0.115021,0.09551,0.1363725,-0.356157,0.1560401,0.065582,0.1146132,0.346582,0.1527732,0.500453,0.1528411
