source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__alpha_Fe_,e__alpha_Fe_,__C_Fe_,e__C_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ba_Fe_,e__Ba_Fe_,__Eu_Fe_,e__Eu_Fe_
4375075655913797376,4512.15,102.52,1.562289,0.27925,-1.262565,0.085741,0.150775,0.0346474,,,0.796894,0.1393657,0.160739,0.0817536,,,0.264311,0.0627355,-0.068011,0.0801275,0.164439,0.0604593,-0.503032,0.0853065,-0.14706,0.0814847,0.648651,0.0968516,0.434327,0.1029252
4379470747487151872,4395.92,124.42,0.990414,0.433781,-1.162117,0.119614,0.171221,0.057213,,,0.442221,0.1904917,0.008984,0.150909,0.086025,0.104778,0.197992,0.0959444,0.356536,0.1125769,0.030692,0.116207,-0.34412,0.1504207,-0.140804,0.1114159,0.459578,0.1486376,0.24667,0.1446526
4382496397327473920,4966.2,153.53,2.38645,0.335027,-0.794162,0.158062,0.347371,0.0684904,,,0.985644,0.1898897,0.194521,0.1499349,0.408361,0.1044211,0.376054,0.0955193,0.409231,0.130087,,,-0.023982,0.1495412,0.089686,0.16415,0.733535,0.1479868,1.064126,0.1281459
4388896860673487232,4312.13,74.14,4.51895,0.181338,-0.81494,0.048614,0.12223,0.0202028,,,,,,,0.250832,0.0327897,0.612329,0.0300705,0.097045,0.0375581,0.132484,0.0239653,-0.305186,0.0331605,-0.106279,0.0343655,-0.132876,0.0421681,,
4395596661758440960,4407.67,82.53,1.094675,0.37843,-1.381851,0.057581,0.169555,0.020541,,,0.636766,0.0871686,0.202483,0.0408752,,,0.158454,0.0364264,0.194764,0.0480676,0.092921,0.0344092,-0.504726,0.0415291,-0.230249,0.0474287,0.640668,0.053489,,
4432618322075745664,4589.42,87.64,2.467504,0.238843,-0.614069,0.063021,0.195375,0.0249716,,,0.774424,0.1087825,0.077841,0.0539819,0.253557,0.0562868,0.299648,0.0461653,0.277563,0.0611602,0.077202,0.0385617,-0.183969,0.0565092,-0.062486,0.0620631,0.04095,0.0699542,0.386202,0.0836416
4440353077141037824,4486.79,84.24,2.185498,0.212047,-0.431829,0.061441,0.284483,0.0235543,,,0.470506,0.1106247,0.386073,0.0620566,0.435437,0.0573814,0.255619,0.0470787,0.211575,0.06229,0.290999,0.0346301,-0.096589,0.0580036,0.136047,0.0632718,0.98829,0.0714666,0.326196,0.08494
4476347170822704768,5117.16,159.74,2.969273,0.230733,-2.186205,0.242185,,,,,1.23598,0.1999436,0.441776,0.1666924,1.414888,0.110382,1.034988,0.1027134,0.381383,0.1186521,,,-0.068515,0.1645607,0.866132,0.1744294,-0.417012,0.1589704,1.905239,0.1325485
