source_id,tier,P_vgrf_below_25,rv_quality,rvs_quality_ok,source_in_old_preselection,vgrf_default_exact,vgrf_default_orbit_ic,dist_pc_final_screen,dist_source_final_screen,x_kpc,y_kpc,z_kpc,vx_kms,vy_kms,vz_kms,static_R_peri_kpc,static_R_apo_kpc,static_z_max_kpc,static_min_r_sph_kpc,static_ecc,static_n_peri,static_E_drift_rel,static_E_range_rel,static_EJ_drift_rel,static_EJ_range_rel,static_Lz_kpc_kms,static_star_idx,barred_R_peri_kpc,barred_R_apo_kpc,barred_z_max_kpc,barred_min_r_sph_kpc,barred_ecc,barred_n_peri,barred_E_drift_rel,barred_E_range_rel,barred_EJ_drift_rel,barred_EJ_range_rel,barred_Lz_kpc_kms,barred_star_idx,J_R,J_z,J_phi,Omega_R,Omega_z,Omega_phi,res_ratio_OmegaR_over_dPhi,action_accuracy_sampled,action_max_fracdiff,barred_ftlyap_norm,mh_gspphot,mh_gspphot_lo,mh_gspphot_hi,feh_spec,feh_spec_err,alpha_spec,chem_survey,chem_population,J_R_timeavg,J_z_timeavg,J_phi_timeavg,action_reliability_flag,nss_two_body,nss_solution_type
1454381071520615168,A,0.996,ok,True,True,4.558981893428205,4.558981893428205,2372.80005,bailer_jones_2021_photogeo,-7.765107775674044,0.5638059915158665,2.2925657534059454,-0.36166095481694993,-4.5373903294264215,-0.256137183545655,0.08274791188862768,7.785549163818359,2.8252391815185547,0.7832275032997131,0.9789667545359698,44,1.93777188528727e-06,2.7302153302846e-06,1.93777188528727e-06,2.7302153302846e-06,35.437232971191406,0,0.01418012841892919,8.433989524841309,3.4689905643463135,0.4119878113269806,0.9966430294369252,46,0.04219519519126771,0.10586108818950797,5.209950663540316e-07,1.2113764094819667e-06,108.13301086425781,0,621.0521833363747,76.15471089407443,35.43723154152046,67.096646396988,67.08101281443271,35.550022589518626,0.9185027467276264,True,0.1194595067599604,,,,,,,,,,622.4488554105629,86.48632456851054,35.43723061755986,sampled_ok,False,
4098367886797895552,C,0.584,ok,True,False,2.914894907649261,2.914894907649261,5121.50439,bailer_jones_2021_photogeo,-3.2717936728021377,1.3357820242238119,-0.5873789917674381,-1.4538488118216333,-2.2938563375795473,-1.0588479860445332,0.02263086488327087,3.688300371170044,1.8313002586364746,0.08845018595457077,0.9878031343381403,96,1.1324462031669534e-07,1.2718013911240292e-06,1.1324462031669534e-07,1.2718013911240292e-06,9.447050094604492,1,0.0076772035594383035,3.686239004135132,2.5170161724090576,0.031171679496765137,0.9958433255505653,113,0.008857205717479286,0.08907292882174181,4.496087207918373e-07,1.7971810363739182e-06,-76.52210235595703,1,264.7060288983063,16.98051388859846,9.447049760380333,144.19213204286277,213.81096273508228,70.45162753769944,1.3357105893795556,True,0.6544242316514827,,0.094,0.0926,0.0956,,,,,,242.99751773515976,49.136876609570045,9.44704959418913,sampled_poor,False,
2564595173682576256,C,0.814,ok,True,False,4.85848781605866,4.85848781605866,5803.21631,bailer_jones_2021_photogeo,-10.38612402925704,2.3302017340981775,-4.809407816240337,-1.4679216664449715,-4.629794949767488,0.12291689501175067,0.10582656533122314,11.811020851135254,4.809407711029053,0.5613431930541992,0.982239167519256,30,8.375118310549834e-07,1.5647256698215437e-06,8.375118310549834e-07,1.5647256698215437e-06,51.50617599487305,2,0.09830999955801037,12.027738571166992,5.7122578620910645,0.20942407846450806,0.983785319845188,31,0.021699699352588867,0.06091962973418133,7.124100535643483e-07,1.3521527020038247e-06,94.01151275634766,2,869.5614357728385,149.02238195190077,51.50617819098336,45.62679344242961,36.609902147668926,24.333774280640174,0.7378943623164067,True,0.6229391424010033,,-1.3036,-1.3056,-1.3005,,,,,,935.1022278034911,91.82253237877704,51.506173594376726,sampled_poor,False,
1246301072944807168,C,0.738,ok,True,True,3.5264189126371304,3.5264189126371233,5166.07275,bailer_jones_2021_photogeo,-6.534732540059096,0.4190960558225647,4.904801614225862,-2.2647605812361173,-2.5551779436444932,0.8817910939653079,0.03271511308438793,8.939802169799805,4.9048991203308105,0.04019981995224953,0.9927077068668801,41,1.0420823070903375e-07,1.6719516086708535e-06,1.0420823070903375e-07,1.6719516086708535e-06,17.646556854248047,3,0.014896468097860313,9.354406356811523,4.904898166656494,0.04402316361665726,0.9968201544178384,42,0.0002595660345162787,0.07072348462306892,1.229441183478839e-06,2.184802708783445e-06,40.734745025634766,3,519.9281420571523,247.5593477156139,17.64655668095343,63.41462714862703,44.877647137057956,31.969593701921823,0.912840046549354,True,1.4659249931686302,,-0.1426,-0.1515,-0.1358,,,,,,673.1331197121893,100.39208345810572,17.646555180919577,sampled_poor,False,
4627302725674241536,B,0.878,ok,True,True,2.065629919203976,2.065629919203976,3161.26318,bailer_jones_2021_photogeo,-7.241716906402268,-2.330908454229686,-1.8943478563282594,0.7776987898943127,-1.0738990576832557,-1.5839041540492786,0.022165988983707738,7.609109401702881,3.017425060272217,0.6904110908508301,0.9941907511264082,45,6.60713051740474e-07,2.8963000308069937e-06,6.60713051740474e-07,2.8963000308069937e-06,9.589616775512695,4,0.006677009497390656,8.179035186767578,3.951268196105957,0.27665939927101135,0.9983686185545497,48,0.024530415835186954,0.12500076451730058,1.3871573098757803e-06,1.79670683636166e-06,83.60360717773438,4,624.0068047754488,58.73397135001186,9.589617646003148,69.879525469906,75.02136841382824,22.556854903069492,1.163556193255376,True,0.32993622794940425,,-0.4012,-0.4063,-0.3774,,,,,,607.3021031479843,87.6543006798716,9.589616997375893,sampled_caution,False,
1605770800325684992,A,1.0,poor,False,True,4.896732249883396,4.8967322498834145,1053.82129,bailer_jones_2021_photogeo,-8.184305007342152,0.581964683346059,0.9035306950579008,2.7483641686890854,-4.0211120725116105,-0.505112684077149,0.05869871712181913,8.304121971130371,4.300173282623291,0.060887884348630905,0.9859619811759739,44,4.232637776417402e-07,2.488937278149237e-06,4.232637776417402e-07,2.488937278149237e-06,31.31055450439453,5,0.03813796658094931,8.204970359802246,3.690430164337158,0.19816093146800995,0.990746702561488,49,0.024997807534590247,0.10373229006682222,2.262525014380447e-07,1.0988074585277065e-06,169.99984741210938,5,679.7415949813667,16.672056308877657,31.31055678698995,67.75754789940196,98.2193108895273,34.1234626768793,0.946024464149158,True,0.7977728604159041,,-0.1505,-0.1514,-0.1493,,,,,,621.5818279347159,82.44222977769314,31.310553675189766,sampled_poor,True,SB1
4403308915493808000,C,0.762,ok,True,False,4.860192939317851,4.860192939317852,5897.89404,bailer_jones_2021_photogeo,-3.540146298957996,0.535334441893068,3.629058633733447,-3.0079374381165738,-3.736427700754107,-0.7828766268124091,0.0422556298491006,5.349737644195557,3.978053092956543,0.07821504026651382,0.9843265272408607,63,1.0593476060271462e-06,2.0239334612557213e-06,1.0593476060271462e-06,2.0239334612557213e-06,14.837754249572754,6,0.01852116802210684,5.8990559577941895,3.629058599472046,0.031101830303668976,0.9937402867327894,64,0.01366427366378676,0.07428012483539334,9.346322713164589e-07,1.4892764489550222e-06,72.19744110107422,6,255.0812476228006,253.8706878633601,14.837753205832191,97.71642526622288,66.69135694202193,51.67797021604643,1.0957462367610613,True,0.21782128965947126,,-0.1464,-0.1508,-0.1399,,,,,,326.11632642334206,212.0562263947501,14.837753505482386,sampled_caution,False,
4080139491484995456,C,0.5224,ok,True,False,5.269444468547162,5.269444468547165,5662.01807,bailer_jones_2021_photogeo,-2.7291925305475107,1.33344164757343,-0.7439574634227707,2.5580131508165853,-4.427216533275721,-1.274114396293291,0.023646839024587592,3.04133677482605,1.1704903841018677,0.35371965169906616,0.9845696799697541,106,4.7300958446323284e-07,1.2781808411007918e-06,4.7300958446323284e-07,1.2781808411007918e-06,8.671765327453613,7,0.03946202125153506,3.346877098083496,1.216355800628662,0.28846147656440735,0.9766934026032903,99,0.008312444188525232,0.0656847604763554,6.31851481885603e-07,8.456889174180935e-07,-150.49961853027344,7,221.72514571318956,27.02233666264711,8.671765023393174,162.03386435543598,207.71395850539406,82.07202883062796,1.3551151213211796,True,0.28421738992101697,,0.0229,0.0199,0.0255,,,,,,217.94730415027564,37.75215586707999,8.671764979812776,sampled_caution,False,
4823853627575696768,B,0.878,ok,True,False,5.869685310575846,5.869685310575846,9979.54004,bailer_jones_2021_photogeo,-12.199446443843728,-6.8985087243551515,-5.960771291139338,0.6934398465507531,-5.356230328442043,2.298508971721271,0.13568029931553188,15.3102445602417,6.038488864898682,0.4772627353668213,0.9824315733050354,23,1.1197328531755791e-07,1.9364087863882296e-06,1.1197328531755791e-07,1.9364087863882296e-06,70.12673950195312,8,0.05732007568180668,15.572896003723145,5.978212356567383,0.0879787728190422,0.9926654787892109,26,0.10659913326335417,0.11896485246436193,4.850966068231012e-07,9.423038225409766e-07,215.28964233398438,8,1173.9859596248834,137.4306658712773,70.1267458639661,34.716416399742414,28.9631079392122,18.572140506830603,0.6191384185790683,True,0.6432412837216851,0.0,0.0526,0.0519,0.0538,,,,,,1219.9515636231147,83.63389310668869,70.12673764416823,sampled_poor,False,
4045563527285331584,C,0.5896,poor,False,False,5.923760644959321,5.923760644959321,7035.16064,bailer_jones_2021_photogeo,-1.224513187631479,0.06554052594246605,-1.0421186612504632,0.7776037560089132,-5.279381877780855,2.571847500527353,0.022879929841838943,1.7106144428253174,1.1752413511276245,0.15830440819263458,0.973602533469277,178,1.0159044702500475e-06,1.5540813394621459e-06,1.0159044702500475e-06,1.5540813394621459e-06,6.413708209991455,9,0.006131134966557999,1.7146648168563843,1.361838936805725,0.017445571720600128,0.992874070908799,207,0.007666812471029096,0.05147645093484835,2.1351374865329026e-07,1.424135786042479e-06,0.5876628756523132,9,75.9989878811206,67.68251824822947,6.413708172741637,285.42411229411783,221.14317225506355,149.44049223435755,1.5268180204441555,True,0.13996177002305457,,-0.3684,-0.3696,-0.3666,,,,,,88.36698792233673,60.39621204216876,6.413708179130218,sampled_ok,False,
