source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
4179691786828215424,4537.8,16.5,1.79,0.051,-0.673,0.018,-0.6667,0.0155,0.2833,0.015,0.0214,0.0352,0.103,0.0369,0.3657,0.0364,0.3313,0.0276,0.2763,0.0523,0.2999,0.0338,0.2027,0.0413,0.0748,0.0494,-0.2458,0.0413,0.1025,0.0376,-0.0896,0.1318
4184188475847132032,3781.8,5.0,0.851,0.029,-0.7842,0.011,-0.7873,0.0093,0.2915,0.0075,0.1365,0.0132,0.0987,0.015,0.3059,0.0112,0.3324,0.0153,,,0.2039,0.0161,0.121,0.0186,,,,,0.1101,0.016,,
4185659867232147712,4239.3,8.5,1.148,0.033,-0.607,0.0123,-0.5792,0.0104,0.2085,0.0091,0.0876,0.0181,0.3154,0.0205,0.2609,0.017,0.3449,0.0178,0.3047,0.0305,0.1742,0.0203,0.2057,0.0232,0.1141,0.0265,-0.0872,0.0243,0.0444,0.0205,0.5415,0.0577
4202063343794630016,4726.8,12.1,2.384,0.031,-0.2021,0.0111,-0.2089,0.0093,0.2327,0.0084,0.1824,0.0196,0.1948,0.0227,0.2965,0.0247,0.2668,0.0162,0.314,0.0313,0.1837,0.0203,0.0889,0.0214,0.1001,0.0304,-0.0882,0.022,0.08,0.0191,-0.5339,0.1021
