source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
4081733375347693056,4218.0,6.5,1.393,0.029,-0.7261,0.0098,-0.7269,0.0085,0.2971,0.0078,0.0128,0.0149,0.1006,0.0172,0.3314,0.0135,0.3972,0.0149,0.2165,0.0219,0.2327,0.0162,0.217,0.0186,0.1225,0.0208,-0.1699,0.02,0.0725,0.0158,-0.0383,0.0404
4081811200152359936,4455.9,9.8,1.624,0.036,-0.8742,0.0119,-0.875,0.0106,0.301,0.0108,-0.053,0.0234,0.0902,0.0256,0.3779,0.0222,0.2873,0.0196,0.2653,0.0288,0.3468,0.0217,0.1853,0.0266,0.0318,0.0304,-0.2258,0.0279,0.049,0.0227,-0.0112,0.0664
4082493000438836992,4528.2,15.4,1.561,0.054,-1.2635,0.0176,-1.2814,0.0164,0.291,0.0192,-0.2988,0.0467,0.2354,0.0457,0.3599,0.0412,0.2461,0.0322,0.0117,0.0455,0.2915,0.0356,0.1995,0.0501,-0.153,0.0526,-0.258,0.0505,-0.0438,0.0428,-0.2387,0.1079
4083534822056292608,5034.1,48.7,2.958,0.09,-0.9951,0.018,-1.0009,0.021,0.3919,0.0474,,,0.2806,0.1613,0.2398,0.0857,0.4669,0.0369,0.3547,0.0551,0.2883,0.0442,0.3556,0.0587,0.0566,0.0757,-0.599,0.0553,-0.0137,0.0493,0.6913,0.236
4084437997836386432,3935.2,5.8,0.631,0.032,-1.0279,0.0113,-1.0059,0.0099,0.2969,0.009,-0.1024,0.0162,0.2052,0.0182,0.3417,0.0132,0.3814,0.0172,0.3164,0.0237,0.3733,0.0179,0.2854,0.0219,,,,,0.0863,0.0185,,
4087962692832363136,4553.3,12.0,2.072,0.038,-0.6455,0.0132,-0.6457,0.0115,0.2934,0.0112,-0.0092,0.0252,0.0655,0.0277,0.3491,0.0263,0.3529,0.0207,0.2952,0.0351,0.2556,0.0243,0.1962,0.0287,0.1406,0.0351,-0.2224,0.0295,0.0746,0.0252,-0.0956,0.0906
4088278355757514752,4857.5,15.4,2.479,0.037,-0.4225,0.0124,-0.4194,0.0108,0.2309,0.0108,0.0277,0.0277,0.2479,0.0305,0.4006,0.0362,0.2766,0.0198,0.2712,0.036,0.2341,0.0247,0.1202,0.0278,0.0712,0.0393,-0.0423,0.0281,0.0998,0.0245,-0.0948,0.1339
4088749702642097152,4916.6,15.5,2.427,0.037,-0.59,0.0118,-0.5731,0.0106,0.2742,0.0114,0.1784,0.0303,0.0532,0.0328,0.4532,0.0394,0.3407,0.0202,0.3369,0.0336,0.2569,0.0245,0.154,0.0286,0.1958,0.04,-0.084,0.029,0.1017,0.0247,-0.404,0.1319
