source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
6521747967410919296,4817.3,13.6,2.364,0.034,-0.4148,0.0114,-0.4019,0.0099,0.2895,0.0098,0.1596,0.0242,0.1506,0.0272,0.3968,0.0309,0.3465,0.0181,0.3278,0.0322,0.2806,0.0222,0.1356,0.0247,0.1714,0.0347,-0.1289,0.0252,0.0635,0.0217,-0.2565,0.1145
6561422263949930752,4710.7,21.4,1.418,0.084,-2.2969,0.0217,-2.3049,0.0233,0.1476,0.0391,-0.1323,0.1221,-0.4948,12.6305,0.2698,0.0873,0.1914,0.0559,,,0.1078,0.0539,-0.658,0.1013,0.1128,0.0878,,,,,,
6593097166721332608,5015.1,27.3,2.288,0.067,-1.6457,0.0177,-1.6834,0.0181,0.2856,0.0281,0.1222,0.0953,0.3518,0.0821,0.3176,0.0967,0.2922,0.0419,-0.3618,0.0476,0.217,0.045,0.0622,0.072,0.2731,0.08,-0.3464,0.0695,-0.1161,0.0574,0.4006,0.1874
6615708726425334912,5595.8,92.1,3.589,0.143,-1.7335,0.0255,-1.7825,0.0565,0.1151,0.0557,0.4466,0.1423,-0.2453,4.1907,,,0.1207,0.0627,-0.1691,0.0464,0.1574,0.0647,0.6174,0.0763,,,0.9601,0.0882,,,,
6619173906040077952,5485.2,78.1,3.677,0.097,-0.7235,0.0149,-0.7585,0.0247,0.4241,0.3611,0.2698,0.081,-0.0496,0.2516,0.1445,0.1402,0.4788,0.0371,0.1827,0.0501,0.3106,0.0451,0.3167,0.0552,0.4147,0.0854,-0.1422,0.0486,-0.194,0.0434,0.9475,0.373
6622489444698317568,4833.8,15.7,2.488,0.037,-0.3575,0.0128,-0.3548,0.011,0.2255,0.0108,0.1137,0.0272,0.1097,0.0301,0.3197,0.0356,0.313,0.02,0.315,0.038,0.1695,0.0252,0.087,0.028,0.133,0.0398,-0.1502,0.0283,0.0699,0.025,-0.2637,0.1379
6638402508990295168,4867.6,19.1,2.095,0.063,-1.7634,0.0163,-1.8009,0.0168,0.3228,0.0257,-0.0174,0.0792,-0.1965,0.1617,0.4099,0.0713,0.3307,0.0386,-0.3308,0.0404,0.2673,0.0395,0.1281,0.0638,-0.2459,0.0662,,,-0.0047,0.0503,,
