source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
4118192489485330048,3694.6,3.7,1.014,0.019,0.1516,0.0086,0.1634,0.0064,0.0297,0.0038,0.0466,0.0074,0.2408,0.0086,0.0731,0.0071,0.0313,0.0093,,,-0.0287,0.0107,-0.1639,0.0102,,,,,0.0459,0.0088,,
4121000646472323072,3919.2,5.6,0.812,0.031,-0.8975,0.011,-0.8981,0.0095,0.2223,0.0083,-0.057,0.0149,0.1816,0.0169,0.2474,0.0124,0.3337,0.0163,-0.1196,0.0232,0.217,0.017,0.1329,0.0203,,,,,0.0854,0.0173,,
4121224637598286464,3950.5,26.4,0.47,0.326,-0.8343,0.0429,-1.0037,0.0683,0.2502,0.1169,-0.4984,0.0811,0.7656,0.1086,0.5343,0.0978,0.376,0.0939,-0.8972,0.0728,-0.4127,0.0783,-0.0646,0.0877,,,,,0.0031,0.0556,,
4123171799615876224,3672.7,3.6,1.052,0.018,0.196,0.0085,0.2033,0.0063,0.0162,0.0037,0.0365,0.0072,0.121,0.0083,0.057,0.0069,-0.0039,0.0091,,,-0.0474,0.0104,-0.0839,0.0099,,,,,0.0263,0.0085,,
4124324362690877824,4049.6,6.9,1.08,0.033,-0.872,0.012,-0.8666,0.0104,0.2848,0.0094,-0.0341,0.0175,0.1342,0.0196,0.3203,0.0149,0.3757,0.018,0.096,0.0269,0.2171,0.0193,0.2064,0.0232,0.0925,0.024,-0.1377,0.0248,0.1053,0.02,,
4124329757169543936,4358.6,29.3,1.714,0.197,-0.2393,0.0262,-0.2709,0.0519,0.2292,0.0613,0.015,0.0567,0.3144,0.0651,0.2685,0.0574,0.3073,0.057,0.314,0.0598,0.166,0.0594,-0.0349,0.0617,0.3045,0.067,-0.0368,0.0366,0.0219,0.0351,-0.439,0.1293
4124389817989534208,4371.0,27.7,1.43,0.214,-0.8651,0.0271,-0.8938,0.0486,0.2632,0.0625,-0.0371,0.063,0.1258,0.0858,0.383,0.0604,0.3183,0.0592,0.0947,0.0667,0.2858,0.0616,0.1343,0.0714,0.0565,0.0748,-0.1583,0.0553,-0.044,0.0514,-0.0586,0.1383
4126296100579469056,4274.4,12.4,1.222,0.05,-1.1622,0.0176,-1.1664,0.0159,0.2701,0.0165,-0.2122,0.0356,0.2228,0.0363,0.3099,0.0295,0.3005,0.0292,0.0233,0.044,0.2697,0.0323,0.2825,0.0437,-0.0104,0.0439,-0.2507,0.0447,0.0077,0.0381,-0.0474,0.0815
4126420414119842048,4484.8,13.3,1.411,0.05,-1.33,0.0159,-1.3302,0.015,0.325,0.0176,-0.2227,0.0414,0.3289,0.0412,0.3821,0.0354,0.305,0.0295,-0.0412,0.0392,0.3346,0.0318,0.3001,0.0447,0.1204,0.0461,-0.323,0.0456,-0.0154,0.0376,-0.0376,0.0891
