source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
4073139141470813184,4127.1,6.1,1.225,0.028,-0.6738,0.0099,-0.6702,0.0084,0.2802,0.0074,0.042,0.0137,0.3047,0.016,0.3219,0.0124,0.3514,0.0144,0.1759,0.0218,0.2056,0.0157,0.1365,0.0178,0.1449,0.0196,-0.0995,0.0191,0.0756,0.0151,-0.1857,0.0368
4074790264342529920,4403.1,7.5,1.587,0.03,-0.7759,0.0096,-0.7721,0.0085,0.2994,0.0083,0.0277,0.0169,0.15,0.0194,0.3573,0.0161,0.3556,0.0154,0.2829,0.0218,0.2688,0.0167,0.2079,0.0195,0.0805,0.0227,-0.1816,0.0209,0.0887,0.0164,-0.1284,0.0483
4074935782158035456,4370.0,9.2,1.68,0.034,-0.6856,0.0119,-0.6965,0.0104,0.2774,0.0097,-0.0194,0.0201,0.0582,0.0226,0.3172,0.0193,0.3256,0.0183,0.2507,0.0294,0.2559,0.0207,0.1927,0.0243,0.0578,0.0282,-0.1877,0.0255,0.0299,0.0211,-0.0903,0.0629
4074973642261377152,3613.7,4.3,0.684,0.027,-0.682,0.0111,-0.6954,0.0091,0.289,0.0068,0.1947,0.0119,0.1028,0.0135,0.3038,0.0103,0.303,0.0145,,,0.1796,0.0153,-0.0122,0.0173,,,,,,,,
4076736988416222464,5082.3,19.9,2.486,0.044,-0.7953,0.013,-0.7757,0.012,0.3015,0.0145,0.3293,0.044,0.1458,0.0448,0.4933,0.0602,0.3139,0.0244,0.2519,0.0378,0.2994,0.0295,0.4714,0.0366,0.1583,0.0518,-0.224,0.0364,0.0739,0.0311,0.7336,0.1764
4076814916291829376,4327.8,10.7,1.71,0.037,-0.5458,0.0143,-0.5516,0.012,0.3218,0.0106,0.0698,0.0221,0.1266,0.0246,0.3552,0.0215,0.369,0.0205,0.3367,0.0377,0.3108,0.0243,0.1911,0.028,0.2544,0.0327,-0.1024,0.0288,0.0775,0.0252,-0.3116,0.0778
4077458194942104320,4128.9,7.7,1.301,0.032,-0.5794,0.0123,-0.593,0.0103,0.2999,0.0087,0.1163,0.0168,0.1964,0.0191,0.3569,0.0154,0.3508,0.0173,0.1168,0.0296,0.2568,0.0196,0.1033,0.0223,0.1773,0.0247,-0.0699,0.0235,0.108,0.0197,-0.2226,0.05
4077534099993187456,3889.5,5.8,1.587,0.022,0.4124,0.0109,0.4213,0.0079,0.0232,0.0046,0.074,0.0094,0.2953,0.011,0.0586,0.0095,0.0332,0.0114,0.0067,0.0289,0.0042,0.0142,-0.0797,0.0131,0.7697,0.0162,0.3435,0.0132,0.1038,0.012,,
4081049650900222848,4642.3,14.0,2.644,0.036,-0.2111,0.0138,-0.1997,0.0114,0.1882,0.0099,0.1074,0.0229,0.1067,0.0259,0.2595,0.0277,0.2652,0.0194,0.2938,0.041,0.186,0.0248,0.1033,0.0267,0.2033,0.0365,-0.058,0.027,0.0661,0.0245,-0.8827,0.1206
4081120393297054720,4026.6,6.0,0.933,0.031,-0.9228,0.0108,-0.9193,0.0095,0.2626,0.0086,-0.0952,0.0158,0.138,0.0179,0.31,0.0132,0.3263,0.0165,0.1173,0.0231,0.2807,0.0173,0.2162,0.0208,0.1113,0.0213,-0.1469,0.0224,0.065,0.0176,,
4081207740058971648,4352.1,8.8,1.943,0.031,-0.4075,0.0115,-0.406,0.0096,0.2371,0.0082,0.1223,0.0167,0.2198,0.0193,0.2782,0.0169,0.2843,0.0162,0.2577,0.0292,0.2139,0.0191,0.1143,0.0209,0.1384,0.0255,-0.0687,0.0218,0.0636,0.0185,-0.2216,0.063
