source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
4379470747487151872,4374.6,8.9,1.217,0.04,-1.3369,0.0119,-1.349,0.0113,0.2356,0.013,-0.4197,0.0278,0.2464,0.0292,0.285,0.0228,0.246,0.0222,-0.2117,0.0262,0.2501,0.0226,0.2352,0.0307,-0.1346,0.0312,-0.285,0.0325,0.0005,0.0251,-0.137,0.0534
4414911168344210304,4149.2,6.9,0.946,0.035,-1.1521,0.0113,-1.1567,0.0102,0.2897,0.0104,-0.2345,0.02,0.2731,0.022,0.3346,0.0162,0.2917,0.0189,0.0461,0.024,0.3072,0.0194,0.2328,0.0248,0.0535,0.0248,-0.1993,0.0266,0.0598,0.0206,-0.1279,0.0397
4419067425376547456,4629.6,11.4,1.902,0.039,-0.9859,0.012,-1.0131,0.011,0.3422,0.0124,0.0193,0.0291,0.1543,0.0309,0.5172,0.0287,0.3317,0.0215,0.236,0.0294,0.3485,0.0236,0.257,0.03,0.1292,0.035,-0.3368,0.0312,0.0313,0.0252,0.2025,0.08
4419952910193886848,5076.4,27.0,2.665,0.079,-1.9824,0.0188,-2.1094,0.0206,0.3336,0.0367,0.7441,0.1383,1.0519,0.11,0.7088,0.1284,0.2751,0.0516,-0.4165,0.0483,0.1796,0.0519,-0.8393,0.0933,0.2494,0.0957,-0.3511,0.0886,0.2171,0.0709,-0.3007,0.1964
4421562079825541888,4407.5,9.9,0.904,0.049,-1.8582,0.0132,-1.8829,0.0133,0.2542,0.0182,-0.5778,0.0421,0.2747,0.0407,0.3163,0.0301,0.2497,0.0287,-0.2674,0.0272,0.2369,0.0271,-0.0147,0.0424,-0.199,0.0386,,,-0.0045,0.0332,-0.0751,0.0549
4425604984078003712,5131.6,20.9,2.459,0.044,-0.7698,0.0129,-0.7644,0.012,0.2738,0.0147,0.132,0.0459,0.1594,0.0465,0.3927,0.0649,0.3029,0.0246,0.2512,0.0382,0.2895,0.03,0.1551,0.0371,0.0757,0.0535,-0.1049,0.0368,0.0144,0.0315,-0.0236,0.1888
4426687453275985664,4846.5,21.2,2.55,0.052,-0.8439,0.0174,-0.8472,0.0158,0.3248,0.0178,0.0162,0.0495,-0.0607,0.0491,0.6892,0.0576,0.3441,0.0305,0.1651,0.0518,0.3102,0.0373,0.2911,0.048,0.1481,0.0608,-0.2576,0.0472,0.1012,0.0422,0.292,0.1812
4426729509595939968,5150.2,20.6,2.315,0.045,-0.9276,0.0126,-0.9364,0.012,0.3392,0.0157,0.0345,0.0502,0.3365,0.0498,0.5622,0.0684,0.3145,0.0255,0.1584,0.0361,0.3774,0.0301,0.2351,0.0388,-0.4296,0.0543,-0.2261,0.0385,0.0787,0.0323,-0.9578,0.1798
4447536220962154368,4840.2,20.0,2.425,0.05,-0.8733,0.0165,-0.8862,0.0151,0.131,0.0172,-0.0401,0.0475,-0.1101,0.0474,0.1328,0.0546,0.116,0.0294,0.0157,0.0482,0.0745,0.0354,0.199,0.0458,-0.0188,0.0576,-0.3867,0.0453,-0.0394,0.0399,,
4449881101308578048,5194.7,20.2,2.143,0.047,-1.1885,0.012,-1.168,0.0119,0.3627,0.0169,0.0114,0.0567,0.3563,0.0546,0.4965,0.0743,0.2672,0.0266,0.2121,0.0328,0.4251,0.0299,0.1843,0.0407,-0.1768,0.0551,-0.3623,0.0405,0.0619,0.0328,0.0581,0.1688
4449956280416204928,5057.2,23.2,2.273,0.048,-0.8118,0.0146,-0.825,0.0135,0.2692,0.0164,0.0801,0.0502,0.1938,0.0499,0.2651,0.0667,0.3182,0.0274,0.1541,0.0435,0.2247,0.0334,0.1267,0.0424,0.1788,0.0585,-0.3468,0.0418,0.0737,0.0364,0.0526,0.1958
4455037707763503744,4063.5,7.4,1.271,0.033,-0.608,0.0126,-0.6125,0.0105,0.3196,0.0088,0.1021,0.0167,0.1402,0.0189,0.3613,0.015,0.3751,0.0176,0.2121,0.03,0.2347,0.0198,0.1875,0.0226,0.2503,0.0245,-0.0947,0.0238,0.1222,0.02,-0.152,0.0474
4475151241476643584,4214.5,10.0,1.487,0.035,-0.3507,0.0146,-0.3448,0.0118,0.2145,0.0094,0.0869,0.0191,0.2484,0.0216,0.2497,0.0188,0.2471,0.0193,0.208,0.0392,0.1697,0.0233,0.0598,0.0257,0.0665,0.0302,-0.0305,0.0264,0.054,0.0235,-0.1796,0.0734
