source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
3092435453086674432,5512.9,48.7,4.543,0.058,-0.8588,0.0193,-0.8804,0.0176,0.2056,0.0183,0.1689,0.0964,0.3029,0.0988,0.2166,0.1336,0.2976,0.0282,0.2174,0.035,0.2076,0.0301,0.1881,0.0405,0.0001,0.1407,-0.1936,0.0624,-0.0013,0.0445,,
3131309099007075840,4695.2,9.8,1.545,0.035,-1.0403,0.0097,-1.057,0.0091,0.162,0.0107,-0.5147,0.0252,0.2054,0.0274,0.337,0.0254,0.1432,0.0183,-0.3501,0.0226,0.1631,0.0194,0.0972,0.0245,-0.0944,0.0292,-0.1937,0.0259,-0.0914,0.02,-0.1137,0.066
3234301349610410624,4496.7,13.2,1.639,0.044,-0.8783,0.0153,-0.9061,0.0137,0.1251,0.0141,-0.282,0.0322,-0.0171,0.0338,0.1967,0.0309,0.0375,0.0252,-0.2483,0.0403,0.0453,0.029,0.1383,0.0367,-0.0974,0.0417,-0.2035,0.0375,-0.0491,0.0321,-0.0737,0.0959
3234400370080562944,4844.4,14.1,2.259,0.04,-0.879,0.0118,-0.8988,0.011,0.1384,0.0128,-0.1788,0.0334,-0.1898,0.0351,0.4706,0.0382,0.1124,0.0218,-0.2272,0.0311,0.1316,0.0249,0.1138,0.0311,-0.1054,0.0398,-0.2774,0.0319,-0.1046,0.0262,-0.1286,0.1092
3243084248492618112,4859.0,13.4,1.877,0.05,-1.8099,0.0117,-1.8358,0.0123,0.3141,0.0191,-0.2278,0.0556,-0.0421,0.0809,0.5132,0.0493,0.2868,0.0288,-0.2913,0.026,0.3025,0.0277,0.469,0.0435,0.1003,0.0456,-0.4049,0.0447,-0.1402,0.0331,-0.0113,0.0852
3247170789616103808,4745.2,14.4,1.415,0.056,-1.8584,0.0141,-1.9146,0.0147,0.27,0.0224,-0.3993,0.0631,0.6993,0.0573,0.3322,0.0514,0.2458,0.0338,-0.3477,0.0318,0.2117,0.0327,0.5416,0.0531,0.1399,0.0522,,,-0.0558,0.0411,-0.0437,0.0903
3262489799793309184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266725672634677888,4611.1,13.1,1.665,0.045,-1.1646,0.014,-1.1801,0.0131,0.2142,0.0153,-0.3232,0.037,-0.0193,0.0377,0.3073,0.0347,0.1709,0.0258,-0.1748,0.0348,0.219,0.0282,0.2511,0.038,0.0675,0.0422,-0.284,0.039,-0.0848,0.0319,0.0419,0.0912
3288831079034186240,4754.7,9.2,2.402,0.029,-0.6498,0.0085,-0.6478,0.0077,0.3034,0.0081,0.0546,0.0188,-0.0183,0.0216,0.3985,0.0216,0.3744,0.0146,0.2991,0.0207,0.247,0.0164,0.2396,0.0186,0.1611,0.0247,-0.1655,0.0197,0.0997,0.0155,-0.2091,0.0675
3308624070743978112,4984.7,19.1,3.545,0.038,-0.2678,0.0133,-0.2736,0.0114,0.0579,0.2266,-0.032,0.0314,0.0262,0.0343,0.0376,0.0461,0.1014,0.021,0.0401,0.0417,-0.0034,0.0274,-0.0077,0.0302,-0.0929,0.0458,-0.0975,0.03,0.0162,0.0271,-0.2959,0.1817
3310637349550385152,5157.5,41.4,2.607,0.077,-1.6642,0.0186,-1.7087,0.0261,0.3133,0.0315,0.2841,0.1202,-0.5318,7.5312,0.3634,0.1317,0.2975,0.0493,-0.3483,0.0521,0.2798,0.0533,0.3483,0.0838,0.1879,0.0963,,,0.1164,0.0648,-0.2317,0.2413
