source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
1188011735308219136,4629.1,15.1,2.626,0.04,-0.3803,0.0151,-0.3856,0.0128,0.2349,0.0117,0.1087,0.0273,0.1011,0.03,0.2966,0.0315,0.2745,0.0222,0.1947,0.0447,0.2573,0.0279,0.2045,0.0316,0.0608,0.0413,-0.166,0.0318,0.061,0.0288,-0.0819,0.1269
1189084618139333120,4780.9,8.7,2.455,0.025,-0.3278,0.0077,-0.3196,0.0067,0.2093,0.0065,0.0748,0.0146,0.2697,0.0177,0.2603,0.0185,0.2682,0.0122,0.2546,0.0193,0.1829,0.0142,0.1036,0.0149,0.1511,0.0214,-0.0871,0.0158,0.0573,0.0126,-0.3127,0.0671
1189378630124646656,4441.0,12.2,0.914,0.058,-1.979,0.0157,-2.0038,0.0161,0.323,0.0229,-0.5524,0.0563,0.4059,0.0517,0.409,0.0393,0.3708,0.0353,-0.2168,0.0338,0.2652,0.0336,0.295,0.0553,-0.2215,0.0489,,,0.0982,0.0435,-0.3368,0.0696
1201382346459663872,4837.0,37.9,2.257,0.102,-1.2923,0.0209,-1.3182,0.0274,0.3177,0.0327,-0.1633,0.1115,-0.0307,0.1723,0.4786,0.081,0.3435,0.0454,-0.1649,0.0606,0.2759,0.0515,0.2964,0.0731,0.0315,0.082,-0.6149,0.0682,-0.0598,0.0602,-0.5933,0.1996
1218316234275920896,4477.4,12.4,1.096,0.047,-1.3403,0.0149,-1.2851,0.014,0.0301,0.0161,-0.4872,0.0373,0.8655,0.0377,0.06,0.0322,-0.0446,0.0273,0.7362,0.0361,0.1108,0.0293,0.1945,0.0404,0.1592,0.0422,-0.2333,0.0416,0.0134,0.034,0.2123,0.0818
1223014752402299776,4038.2,5.7,1.155,0.028,-0.6644,0.0101,-0.6723,0.0085,0.3058,0.0073,0.0916,0.0133,0.2181,0.0154,0.3384,0.0118,0.3714,0.0144,0.0553,0.022,0.2339,0.0156,0.0827,0.0177,0.0717,0.019,-0.0987,0.019,0.1039,0.0151,,
1223291283873784448,4470.5,15.2,1.69,0.045,-0.6224,0.0176,-0.6291,0.0151,0.3249,0.0141,0.0698,0.032,0.2033,0.034,0.3871,0.0325,0.3784,0.0263,0.3407,0.0505,0.2662,0.0322,0.116,0.0388,0.2096,0.0459,-0.1794,0.039,0.1288,0.0354,-0.2907,0.1192
1261962413491576192,5106.1,18.2,2.853,0.047,-1.2395,0.0119,-1.2531,0.0118,0.2978,0.0168,0.2198,0.0536,0.3411,0.0518,0.495,0.0649,0.3359,0.0264,0.012,0.0314,0.2794,0.029,0.2473,0.04,-0.0134,0.0516,-0.3589,0.0401,0.0646,0.0321,-0.3238,0.1443
1268668884665231360,5159.0,26.3,3.074,0.048,-0.6895,0.0146,-0.6856,0.0134,0.2597,0.0161,0.2323,0.0518,0.108,0.0517,0.2003,0.0763,0.3429,0.0271,0.3573,0.0457,0.1729,0.0342,0.2481,0.0422,0.3099,0.062,-0.2133,0.0412,0.079,0.0365,-0.0364,0.2344
1271094338599463424,4726.2,8.4,2.819,0.025,-0.355,0.0079,-0.3504,0.0068,0.2545,0.0065,0.1164,0.0145,0.1298,0.0174,0.3124,0.0176,0.3473,0.0124,0.2748,0.0195,0.1898,0.0143,0.1661,0.0152,0.1592,0.0212,-0.0881,0.0161,0.0863,0.0128,-0.1993,0.0635
