variant,n_TierABC,median_R_peri_pc,median_R_apo_kpc,median_z_max_kpc,median_ecc,n_R_peri_lt_100pc,n_min_rsph_lt_10pc
halo_0p85,632,155.98605573177338,8.080472946166992,4.0951762199401855,0.9596312760482154,193,0
default,632,150.52451938390732,8.078655242919922,3.885276198387146,0.9610810274670547,197,0
halo_1p15,632,145.06807923316956,8.080068588256836,3.6761554479599,0.9615235520564954,203,0
