source_id,random_index,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,grvs_mag,ruwe,astrometric_excess_noise,l,b,teff_gspphot,logg_gspphot,mh_gspphot,distance_pc,U_lsr,V_lsr,W_lsr,V_grf,v_total_grf,stratum_sky,stratum_gmag,stratum_colour,stratum_dist,x_kpc,y_kpc,z_kpc,vx_kms,vy_kms,vz_kms,R_kpc,r_kpc,vR_kms,vphi_kms,Lz_kpc_kms,energy_kms2,R_peri_kpc,R_apo_kpc,Z_max_kpc,eccentricity,r_peri_kpc,r_apo_kpc,eccentricity_sph
2143055537700096.0,1751860033.0,44.873148067440994,4.018915783470149,0.1610733032478486,0.022032278,7.3107877,8.46864812472756,0.022931939,-7.343729091264422,0.018121105,15.421332,5.2148705,14.269811,14.745882,13.620576,1.1253061,13.252417,1.1003884,0.022274626,172.65757642954125,-46.12275984935652,6095.7114,3.4506,-0.4931,6208.353462902964,-49.73348231083992,-312.34805525892773,3.983907867764505,-80.34805525892773,94.5785428548842,111.0,6.0,1.0,4.0,12.445821207475142,-0.5499326952865217,-4.4501456838877935,49.73348231083992,-80.34805525892773,3.983907867764505,12.457964982202475,13.228933747872814,53.231812130055616,-78.07434549200393,-972.6474621477627,-126903.5261846448,2.351942747935285,13.747840297647425,5.171523008613417,0.7078292618880244,2.5739005531514025,14.058371812215112,0.6904932174498235
2.4953354244206106e+18,1173238045.0,38.82743700127639,-3.5294633146025816,0.2611760527969131,0.014982836,17.431683,8.051847206780755,0.01742928,-12.944531756229786,0.013988176,-32.40076,2.1373456,13.193616,13.618087,12.600835,1.017252,12.362259,1.0074775,0.0,173.89440278405962,-55.75996374060629,5820.7812,3.1216,-0.1186,3828.834953630249,56.81284293142188,-262.32273534058726,-4.369234615630161,-30.322735340587258,64.54655383219256,111.0,5.0,1.0,1.0,10.320116425119828,-0.2291378608083244,-3.140250410965425,-56.812842931421876,-30.322735340587258,-4.369234615630161,10.322659889160539,10.789739562698092,-56.125753730673004,-31.576370416017696,-325.95213233870135,-139819.6430519987,0.6276629800955019,11.431560898482683,5.837337777662993,0.8959032544025536,0.6631013435392601,11.521577588037832,0.8911581753999597
1.7731656517990016e+16,1120217888.0,51.35278585234377,13.79453722645687,0.6639911905783478,0.025015835,26.542835,21.414234188566795,0.030140586,-16.366694198878886,0.023614144,14.709276,6.905311,14.662321,15.080755,14.06228,1.0184755,13.855512,0.99503726,0.0,170.17994601114518,-34.59418128636892,6534.828,4.1288,-0.8389,1506.0440773754583,-42.7305411188745,-173.0127476100166,12.437182832246297,58.98725238998341,73.89234470250724,143.0,6.0,1.0,0.0,9.399601764390153,-0.21144761795255876,-0.8300718081534137,42.7305411188745,58.98725238998341,12.437182832246297,9.401979760894207,9.438550875582298,41.393128424462425,59.93332969281275,563.4919527748252,-148707.78470393305,1.2286043075186424,9.6703734111299,1.0800577434702574,0.7745468723334563,1.2589096784144904,9.670395212690211,0.7696267620022003
2.8913311815517696e+16,1359882301.0,46.100752924776096,13.297853734966695,0.1438829808183639,0.025885558,5.558427,4.184032731251083,0.025050657,-3.404653560366524,0.02007824,-30.434381,3.1623857,13.975343,14.542892,13.259983,1.2829094,12.961089,1.1444114,0.041074146,165.74375394000785,-38.2809867744674,5265.2944,3.0246,-0.1297,6950.092320247297,-8.18372179002125,-166.2155778671139,24.37385221296518,65.7844221328861,70.63036294253125,142.0,5.0,2.0,5.0,13.465684072949937,-1.343514309237243,-4.28071128914919,8.18372179002125,65.78442213288614,24.37385221296518,13.532541455751128,14.193455090029072,1.6121952979966554,66.27189693991974,896.8271926907303,-125733.56549556683,2.1198374399611266,14.060228984168104,5.108493734988285,0.7379692537232325,2.4483442987409783,14.464942795006682,0.7104827364225305
5.292441238575821e+16,655168521.0,60.47496689100321,20.97160698919959,0.1666137596910561,0.020414613,8.161495,3.775811215203567,0.025520016,-5.461119461501424,0.014561138,56.52026,3.5801969,14.067107,14.720526,13.286498,1.4340277,12.894654,0.99882334,0.0,171.64946087934328,-23.39094969508293,5548.976,3.1139,-0.0654,6001.905255929954,-54.90762494127376,-166.32523670158653,-44.087732859007936,65.67476329841347,96.28992678178476,175.0,6.0,2.0,4.0,13.628250413644015,-0.8000160198110733,-2.3577739082377307,54.90762494127376,65.67476329841347,-44.087732859007936,13.651711796289232,13.85382015082155,50.964597697646326,68.77958703359079,938.9590996503731,-125872.06260131068,2.231767195746117,14.110153963986356,5.30044673394315,0.7268659940368172,2.4747683791738306,14.435659998917627,0.7073086117226869
5.71054771475767e+16,241775765.0,55.53127326397984,19.54010289480225,1.5088902761705818,0.019600227,76.98331,51.4544382413399,0.022739064,-28.380580159415672,0.016535826,-27.728416,5.110023,13.946567,14.479512,13.251051,1.2284613,12.894362,1.0506915,0.0,169.08179875941715,-27.65617494537763,5874.865,4.106,-0.4906,662.7387132071019,-19.12587837221457,-164.3251504222187,59.80561966306316,67.67484957778129,92.31682745939136,175.0,5.0,2.0,0.0,8.754394209960076,-0.1111859354723476,-0.2826199025762888,19.125878372214572,67.67484957778126,59.805619663063155,8.755100244750448,8.75966062727099,18.264895084410075,67.91228236806327,594.5788399821923,-152019.7012384454,1.3461141216947583,9.020479710302014,1.0295571361888927,0.7402977017311239,1.364715610519335,9.02400539639822,0.7372697544557006
6.620249275956467e+16,1529518119.0,60.04060829860155,24.627491667996523,2.760475895961245,0.018111592,152.41486,72.32617005083053,0.023939418,-74.56189409145205,0.012432856,7.2497,3.7406418,13.863483,14.262502,13.283386,0.9791155,13.172877,1.01637,0.0,168.5475853709096,-21.09213101412825,5670.1914,4.6541,-1.5152,362.25637813504,-29.322777373509066,-161.52014110609667,0.3715116075162594,70.47985889390333,76.33723733195627,206.0,5.0,1.0,0.0,8.509256950922618,-0.06710853288472797,-0.1053647221414899,29.32277737350907,70.47985889390336,0.37151160751627277,8.509521573626264,8.510173860543789,28.76604109169474,70.70891501438722,601.699037762634,-155145.17043914204,1.3758068875619314,8.582087968781703,0.1397621087360348,0.7236751527486797,1.3769087669208906,8.582668196782622,0.7235005518931438
2.184821387879908e+17,1276854921.0,59.13017866430915,33.48247489956289,0.1818325526743248,0.0272527,6.672093,5.556674570319565,0.030004086,-4.702433191177072,0.023545546,0.69857305,3.8717043,14.930924,15.611475,14.125304,1.4861708,13.952073,0.9699915,0.0,161.57281729255055,-15.162497372805603,5138.0576,2.9417,-0.3169,5499.565315958975,-50.77452015021131,-167.1059571918364,11.999590379169833,64.89404280816359,83.26631286264481,206.0,6.0,2.0,3.0,13.213946485477157,-1.677890425235583,-1.4134524256338739,50.7745201502113,64.89404280816356,11.999590379169824,13.320048723640292,13.394832800736323,42.195543775340184,70.77305118458104,942.7004900993078,-129357.12181084284,2.194054198979782,13.593982785479737,1.478437171854193,0.7220611782022764,2.1945783078522494,13.672253760890538,0.7233753658771611
8.740571550540749e+16,589421049.0,37.22705798811637,20.31934980542444,0.2927468340641928,0.016948355,17.272875,4.141986898407468,0.02196039,-9.176410815416723,0.014872038,-69.213005,2.0363774,13.19101,13.687809,12.528845,1.1589642,12.250497,1.1304758,0.046926104,151.9126251433974,-37.00719178680903,5697.2534,2.9769,-0.0403,3415.920801318461,53.34293293500447,-155.26313898921222,-31.833400736713145,76.73686101078778,98.72881916827282,141.0,5.0,1.0,1.0,10.584564238036243,-1.2843042392199673,-2.0310948689705,-53.34293293500447,76.73686101078778,-31.833400736713145,10.662196653973051,10.853929420018929,-62.19780010803751,69.7527633403721,743.7176798930894,-137891.65740142798,1.7630146437933527,11.252667093979788,4.8505136454864655,0.7290937686841461,1.8950220893986038,11.431069230112099,0.7155922102043372
7.61593565250857e+16,267368210.0,37.24094458756341,15.382643080982282,0.2762570912852091,0.016956532,16.292074,11.2273557942137,0.018462744,-11.831912331205356,0.015488449,-127.07994,0.8533651,12.961088,13.584464,12.19609,1.3883743,11.890837,0.9856451,0.07322612,154.94994987409427,-41.34722974468139,5628.4937,2.9478,-0.1659,3619.8165822559663,33.85739915451545,-293.5280671731067,29.06344121850022,-61.52806717310671,76.0046718500102,141.0,4.0,2.0,1.0,10.639858330782607,-1.1506026084102021,-2.3663258426762317,-33.85739915451546,-61.528067173106706,29.06344121850022,10.701891032037487,10.960381820690454,-27.046021586886106,-64.81156720746851,-693.6063298699021,-139042.70565328904,1.6591989176026627,10.830682222720819,4.359185573700214,0.734313097304673,1.9646818572831717,11.115719025178986,0.6995991369167649
