source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
4563053867514281728,4237.6,6.7,1.743,0.027,-0.4193,0.0097,-0.4209,0.0081,0.2879,0.0068,0.1215,0.0131,0.1588,0.0155,0.319,0.0127,0.3429,0.0136,0.2907,0.0229,0.1989,0.0154,0.1584,0.0167,0.1961,0.0198,-0.1068,0.0177,0.0737,0.0144,-0.2809,0.0441
4565406719318418048,4465.5,7.3,2.156,0.026,-0.3669,0.0088,-0.3736,0.0074,0.2569,0.0066,0.1238,0.0134,0.1879,0.016,0.294,0.0143,0.293,0.0129,0.2615,0.0212,0.2034,0.0148,0.1273,0.0157,0.1454,0.0201,-0.1168,0.0167,0.0918,0.0135,-0.2135,0.0517
4566500664668745984,4905.8,10.3,2.306,0.029,-0.6165,0.0081,-0.6132,0.0074,0.2988,0.0081,0.0561,0.0203,0.1146,0.0233,0.472,0.0258,0.3527,0.0145,0.2597,0.0203,0.267,0.0164,0.1493,0.0185,0.0755,0.0261,-0.2431,0.0195,0.0523,0.0153,-0.2579,0.0792
4568767067372080768,4560.5,8.4,2.016,0.031,-0.8355,0.0094,-0.8365,0.0085,0.3216,0.0089,-0.0028,0.0193,0.0524,0.0219,0.4034,0.0193,0.3759,0.0161,0.2541,0.0218,0.2953,0.0174,0.2496,0.0207,0.1267,0.0249,-0.2415,0.0221,0.0142,0.0173,0.0938,0.0565
4570330366747924864,4803.5,20.0,2.353,0.053,-0.9729,0.0173,-0.978,0.0159,0.336,0.0184,-0.034,0.0504,0.0452,0.0496,0.483,0.0553,0.3284,0.0311,0.2514,0.0497,0.3884,0.037,0.2874,0.049,0.1088,0.0596,-0.3911,0.0484,0.0201,0.0426,0.0203,0.1633
4574214529012009344,3770.8,5.6,0.595,0.036,-1.2431,0.0127,-1.2744,0.0113,0.1565,0.0106,-0.1084,0.0183,0.143,0.0201,0.1313,0.014,0.2456,0.0199,,,0.1856,0.0199,0.1716,0.0258,,,,,0.0997,0.0217,,
