source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
4299049065427415552,4468.4,13.8,1.464,0.05,-1.1791,0.0166,-1.1916,0.0153,0.3172,0.017,-0.234,0.0397,0.2104,0.0399,0.3881,0.035,0.3779,0.0293,0.0584,0.0422,0.3016,0.0324,0.3101,0.0442,-0.0179,0.0467,-0.3397,0.045,-0.0217,0.038,-0.175,0.0952
4327356954346884608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4327357847700089472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4330303336272711808,4559.3,14.7,1.942,0.045,-0.8254,0.016,-0.8258,0.0142,0.31,0.0145,0.0514,0.0341,0.0945,0.0357,0.3909,0.0343,0.3405,0.026,0.3374,0.0438,0.3445,0.0306,0.2202,0.0384,0.0966,0.0449,-0.294,0.0388,0.0254,0.0339,-0.1383,0.1115
4331507301504665344,4217.9,6.9,1.534,0.028,-0.5042,0.0102,-0.4909,0.0086,0.1743,0.0073,0.0626,0.014,0.1603,0.0164,0.2194,0.0134,0.2243,0.0145,0.1994,0.024,0.1395,0.0163,0.0761,0.0179,0.0974,0.0209,-0.0737,0.0191,0.0467,0.0156,-0.0896,0.0451
4342843713070189184,4486.4,11.8,2.08,0.038,-0.5973,0.0137,-0.6019,0.0118,0.305,0.0111,0.0877,0.0243,0.0824,0.0268,0.3455,0.025,0.3785,0.0208,0.3157,0.0365,0.2564,0.0246,0.2053,0.0287,0.1831,0.0347,-0.1454,0.0295,0.1119,0.0255,-0.0544,0.0884
4358351396859603200,4360.7,7.3,1.628,0.03,-0.8009,0.0097,-0.8038,0.0086,0.313,0.0084,0.0362,0.0169,0.1158,0.0194,0.3584,0.0158,0.3639,0.0157,0.2561,0.022,0.2796,0.0169,0.2176,0.0199,0.1208,0.0227,-0.1911,0.0213,0.0526,0.0167,-0.1706,0.0466
4365618545948292992,3732.3,4.5,0.824,0.026,-0.5434,0.0103,-0.5332,0.0084,0.2903,0.0062,0.19,0.011,0.1498,0.0127,0.3328,0.0098,0.3045,0.0133,,,0.1912,0.0144,0.0847,0.0157,,,,,0.0741,0.0136,,
4371141912550404224,4442.3,10.3,1.743,0.035,-0.5536,0.0125,-0.5501,0.0107,0.2823,0.0098,0.0366,0.0208,0.116,0.0234,0.3399,0.0212,0.3317,0.0186,0.3103,0.0324,0.285,0.0219,0.1396,0.025,0.0772,0.0303,-0.1634,0.0259,0.0752,0.0221,-0.2053,0.0755
