source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
6003961072588020096,3897.4,5.6,0.775,0.031,-0.9488,0.0112,-0.9397,0.0097,0.2721,0.0085,-0.021,0.0152,0.1311,0.0172,0.3012,0.0126,0.3764,0.0166,0.0605,0.0235,0.2361,0.0173,0.2227,0.0208,,,,,0.088,0.0177,,
6011027599459834880,4220.7,8.8,1.411,0.035,-0.6963,0.013,-0.6971,0.0111,0.2732,0.01,0.0438,0.0198,0.1117,0.0222,0.3176,0.0181,0.3652,0.0192,0.3094,0.0318,0.2499,0.0217,0.1604,0.0255,0.1367,0.0283,-0.1562,0.0267,0.0982,0.0224,-0.1474,0.0585
6011385829784246272,3741.5,4.4,0.839,0.025,-0.4756,0.0101,-0.4605,0.0081,0.2813,0.0059,0.1817,0.0106,0.1522,0.0122,0.326,0.0095,0.3087,0.0128,,,0.2017,0.014,0.0693,0.015,,,,,0.0785,0.013,,
